ID,ZorginstellingenSBI2008,Perioden,Ondernemingen_1,Totaal_2,KleinerDan0_3,k_0Tot10_4,k_10Tot20_5,k_20Tot35_6,k_35OfMeer_7,Totaal_8,KleinerDan0_9,k_0Tot10_10,k_10Tot15_11,k_15Tot20_12,k_20Tot30_13,k_30OfMeer_14,Totaal_15,KleinerDan30_16,k_30Tot70_17,k_70Tot130_18,k_130OfMeer_19,Totaal_20,KleinerDan30_21,k_30Tot70_22,k_70Tot130_23,k_130OfMeer_24,Totaal_25,KleinerDan0_26,k_0Tot2_27,k_2Tot4_28,k_4OfMeer_29,Leverage_30,AandeelKapitaallasten_31,GemLeeftijdMaterieleVasteActiva_32,Debiteurentermijn_33,AandeelPersoneelskosten_34,OpbrengstenPerArbeidsjaar_35,ArbeidskostenPerArbeidsjaar_36,Parttimefactor_37,KleinerDan0_38,k_0Tot10_39,k_10Tot20_40,k_20Tot35_41,k_35OfMeer_42,KleinerDan0_43,k_0Tot10_44,k_10Tot15_45,k_15Tot20_46,k_20Tot30_47,k_30OfMeer_48,KleinerDan30_49,k_30Tot70_50,k_70Tot130_51,k_130OfMeer_52,KleinerDan30_53,k_30Tot70_54,k_70Tot130_55,k_130OfMeer_56,KleinerDan0_57,k_0Tot2_58,k_2Tot4_59,k_4OfMeer_60,MinderDan4MlnEuro_61,k_4Tot10MlnEuro_62,k_10Tot25MlnEuro_63,k_25Tot75MlnEuro_64,k_75Tot125MlnEuro_65,k_125MlnEuroOfMeer_66
10,422800  ,2009JJ00,8,18,,,,,,17,,,,,,,61,,,,,87,,,,,1,,,,,56,6.0,13,32.0,62,114115,63503,78,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0
11,422800  ,2010JJ00,8,17,,,,,,16,,,,,,,46,,,,,89,,,,,1,,,,,56,8.0,10,27.0,62,118709,66463,77,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0
12,422800  ,2011JJ00,8,17,,,,,,18,,,,,,,61,,,,,102,,,,,1,,,,,64,8.0,11,44.0,63,120091,66800,80,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0
13,422800  ,2012JJ00,8,20,,,,,,21,,,,,,,98,,,,,114,,,,,2,,,,,67,8.0,11,47.0,62,126022,69672,79,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0
14,422800  ,2013JJ00,8,21,,,,,,22,,,,,,,105,,,,,118,,,,,2,,,,,67,9.0,9,51.0,60,134901,72410,78,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0
15,422800  ,2014JJ00,8,24,,,,,,24,,,,,,,120,,,,,125,,,,,2,,,,,64,8.0,10,45.0,61,135786,73586,78,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0
16,422900  ,2007JJ00,81,10,,,,,,12,,,,,,,61,,,,,65,,,,,1,,,,,58,11.0,10,62.0,59,88184,46307,70,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,19.0,32.0,49.0
17,422900  ,2008JJ00,79,10,,,,,,12,,,,,,,64,,,,,64,,,,,1,,,,,57,11.0,10,61.0,59,93446,49074,68,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0,37.0,53.0
18,422900  ,2009JJ00,78,12,,,,,,13,,,,,,,65,,,,,65,,,,,2,,,,,58,11.0,10,62.0,58,97540,49713,68,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0,35.0,55.0
19,422900  ,2010JJ00,76,14,,,,,,14,,,,,,,70,,,,,77,,,,,2,,,,,62,14.0,6,59.0,56,103928,50960,69,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.0,30.0,62.0
20,422900  ,2011JJ00,75,15,,,,,,17,,,,,,,90,,,,,88,,,,,2,,,,,66,11.0,9,58.0,59,101955,52257,69,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.0,29.0,64.0
21,422900  ,2012JJ00,75,16,,,,,,18,,,,,,,86,,,,,96,,,,,2,,,,,67,11.0,9,56.0,58,106340,53742,69,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,28.0,67.0
22,422900  ,2013JJ00,73,19,,,,,,21,,,,,,,83,,,,,97,,,,,3,,,,,66,11.0,9,60.0,57,112820,56236,71,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,26.0,71.0
23,422900  ,2014JJ00,72,21,,,,,,22,,,,,,,93,,,,,104,,,,,2,,,,,66,10.0,10,50.0,57,113760,57313,70,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,24.0,74.0
24,423000  ,2007JJ00,27,17,,,,,,20,,,,,,,60,,,,,71,,,,,1,,,,,56,10.0,13,42.0,68,84608,51172,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,423000  ,2008JJ00,27,16,,,,,,19,,,,,,,58,,,,,77,,,,,2,,,,,58,11.0,11,43.0,69,85532,51037,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,423000  ,2009JJ00,25,17,,,,,,20,,,,,,,53,,,,,77,,,,,2,,,,,53,10.0,11,47.0,68,92167,55087,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,423000  ,2010JJ00,23,20,,,,,,20,,,,,,,60,,,,,92,,,,,2,,,,,59,10.0,9,35.0,67,95440,55668,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,423000  ,2011JJ00,23,22,,,,,,22,,,,,,,67,,,,,106,,,,,2,,,,,62,10.0,8,26.0,67,98727,58098,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,423000  ,2012JJ00,23,23,,,,,,23,,,,,,,93,,,,,98,,,,,2,,,,,55,9.0,10,41.0,68,101024,59813,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,423000  ,2013JJ00,23,24,,,,,,25,,,,,,,81,,,,,112,,,,,3,,,,,64,9.0,10,34.0,67,102214,60026,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,423000  ,2014JJ00,23,25,,,,,,26,,,,,,,87,,,,,121,,,,,1,,,,,66,8.0,11,27.0,67,102831,60516,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,800027  ,2007JJ00,102,22,-6.0,7.0,15.0,26.0,52.0,15,-5.0,7.0,12.0,17.0,23.0,38.0,43,16.0,45.0,96.0,181.0,51,23.0,46.0,96.0,192.0,1,-2.0,1.0,3.0,5.0,48,9.0,13,4.0,73,77065,50456,75,4.0,12.0,31.0,30.0,23.0,4.0,27.0,31.0,20.0,9.0,9.0,28.0,28.0,19.0,25.0,26.0,32.0,24.0,18.0,26.0,34.0,15.0,25.0,15.0,8.0,24.0,29.0,15.0,8.0
33,800027  ,2008JJ00,97,15,-16.0,8.0,15.0,27.0,58.0,15,-4.0,7.0,13.0,18.0,22.0,45.0,37,24.0,41.0,83.0,322.0,80,27.0,61.0,89.0,182.0,1,-2.0,1.0,3.0,7.0,52,10.0,13,30.0,74,78984,51777,76,6.0,21.0,37.0,21.0,16.0,6.0,21.0,24.0,22.0,19.0,8.0,22.0,50.0,16.0,12.0,6.0,14.0,34.0,46.0,32.0,34.0,17.0,17.0,13.0,7.0,27.0,29.0,11.0,13.0
34,800027  ,2009JJ00,95,16,-16.0,6.0,15.0,26.0,50.0,16,-4.0,8.0,13.0,17.0,23.0,45.0,56,24.0,40.0,85.0,165.0,81,25.0,52.0,90.0,171.0,2,-3.0,1.0,3.0,6.0,51,9.0,13,36.0,73,82574,52912,76,3.0,13.0,41.0,21.0,22.0,3.0,17.0,23.0,26.0,21.0,9.0,8.0,41.0,27.0,24.0,7.0,15.0,34.0,44.0,10.0,33.0,24.0,33.0,15.0,5.0,24.0,29.0,11.0,16.0
35,800027  ,2010JJ00,95,18,-10.0,6.0,16.0,24.0,51.0,17,-8.0,8.0,13.0,18.0,23.0,39.0,67,25.0,48.0,89.0,195.0,83,28.0,53.0,90.0,196.0,2,-5.0,1.0,3.0,7.0,53,10.0,13,31.0,73,84491,54684,75,9.0,8.0,29.0,33.0,22.0,9.0,13.0,14.0,29.0,23.0,13.0,6.0,31.0,32.0,30.0,2.0,14.0,45.0,39.0,15.0,27.0,31.0,27.0,18.0,6.0,19.0,30.0,11.0,15.0
36,800027  ,2011JJ00,100,21,-4.0,6.0,16.0,24.0,52.0,18,-3.0,8.0,13.0,17.0,23.0,43.0,66,25.0,52.0,93.0,190.0,90,,54.0,96.0,217.0,2,-3.0,1.0,3.0,8.0,55,10.0,11,29.0,73,87503,56203,75,6.0,6.0,22.0,36.0,29.0,6.0,15.0,12.0,24.0,27.0,16.0,7.0,35.0,27.0,31.0,0.0,9.0,49.0,40.0,17.0,25.0,19.0,39.0,21.0,7.0,15.0,33.0,8.0,16.0
37,800027  ,2012JJ00,111,22,-13.0,5.0,16.0,24.0,54.0,20,-4.0,5.0,13.0,18.0,23.0,44.0,71,24.0,50.0,100.0,230.0,86,0.0,62.0,98.0,191.0,2,-2.0,1.0,3.0,8.0,62,11.0,10,28.0,73,90315,58155,76,7.0,10.0,20.0,31.0,33.0,7.0,15.0,13.0,23.0,27.0,15.0,5.0,35.0,22.0,38.0,0.0,6.0,45.0,50.0,16.0,36.0,13.0,36.0,25.0,10.0,14.0,28.0,7.0,15.0
38,800027  ,2013JJ00,117,23,-24.0,7.0,17.0,24.0,52.0,20,-13.0,6.0,13.0,17.0,23.0,44.0,65,24.0,47.0,86.0,228.0,113,,63.0,95.0,206.0,1,-4.0,1.0,3.0,7.0,63,11.0,9,23.0,73,91524,59396,76,5.0,12.0,19.0,24.0,40.0,5.0,14.0,15.0,17.0,31.0,18.0,5.0,27.0,32.0,36.0,,3.0,44.0,53.0,26.0,25.0,15.0,33.0,29.0,9.0,15.0,24.0,9.0,13.0
39,800027  ,2014JJ00,130,25,-23.0,7.0,17.0,25.0,56.0,21,-13.0,6.0,13.0,18.0,24.0,44.0,92,27.0,55.0,90.0,223.0,123,,56.0,98.0,208.0,1,-3.0,1.0,3.0,7.0,63,10.0,9,28.0,74,89790,58909,75,8.0,6.0,15.0,29.0,37.0,8.0,15.0,12.0,12.0,27.0,21.0,4.0,18.0,29.0,44.0,2.0,4.0,36.0,53.0,26.0,27.0,13.0,29.0,38.0,8.0,9.0,24.0,5.0,13.0
40,800029  ,2007JJ00,150,20,-15.0,8.0,14.0,27.0,46.0,16,-10.0,8.0,13.0,17.0,24.0,57.0,38,16.0,42.0,94.0,186.0,53,22.0,43.0,94.0,178.0,1,-2.0,1.0,3.0,6.0,50,10.0,14,3.0,71,63553,40527,62,3.0,14.0,37.0,22.0,24.0,3.0,21.0,33.0,19.0,13.0,12.0,35.0,24.0,19.0,21.0,20.0,35.0,25.0,21.0,26.0,43.0,15.0,17.0,23.0,8.0,19.0,31.0,14.0,5.0
41,800029  ,2008JJ00,150,21,-54.0,5.0,15.0,27.0,48.0,16,-9.0,7.0,13.0,18.0,24.0,45.0,37,14.0,46.0,90.0,215.0,52,20.0,42.0,99.0,194.0,2,-3.0,1.0,3.0,7.0,48,10.0,14,3.0,71,67097,41872,63,2.0,10.0,31.0,29.0,28.0,2.0,17.0,25.0,25.0,15.0,15.0,35.0,24.0,18.0,23.0,23.0,26.0,26.0,25.0,26.0,32.0,21.0,20.0,23.0,11.0,17.0,28.0,14.0,7.0
42,800029  ,2009JJ00,141,23,-5.0,8.0,16.0,25.0,49.0,18,-5.0,6.0,12.0,18.0,23.0,46.0,43,14.0,55.0,93.0,221.0,59,19.0,42.0,92.0,195.0,3,-3.0,1.0,3.0,7.0,49,11.0,12,4.0,70,70065,42628,62,3.0,10.0,18.0,35.0,35.0,3.0,10.0,18.0,25.0,22.0,22.0,27.0,21.0,24.0,29.0,27.0,29.0,24.0,19.0,11.0,28.0,21.0,40.0,23.0,12.0,14.0,28.0,14.0,9.0
43,800029  ,2010JJ00,140,25,,6.0,16.0,26.0,49.0,20,,7.0,13.0,18.0,23.0,49.0,50,15.0,46.0,92.0,230.0,65,18.0,47.0,92.0,199.0,2,-2.0,1.0,3.0,7.0,48,11.0,12,4.0,70,71153,43815,62,1.0,7.0,18.0,38.0,36.0,1.0,10.0,11.0,29.0,23.0,26.0,23.0,20.0,25.0,33.0,12.0,27.0,27.0,34.0,15.0,31.0,26.0,28.0,22.0,14.0,12.0,28.0,12.0,11.0
44,800029  ,2011JJ00,140,27,-18.0,5.0,16.0,26.0,52.0,21,-10.0,7.0,13.0,18.0,23.0,54.0,50,16.0,41.0,89.0,244.0,69,23.0,42.0,91.0,216.0,2,-2.0,1.0,3.0,6.0,47,11.0,12,3.0,70,73706,45370,62,3.0,4.0,16.0,36.0,41.0,3.0,7.0,14.0,24.0,31.0,22.0,23.0,19.0,27.0,32.0,9.0,26.0,28.0,37.0,17.0,31.0,20.0,32.0,25.0,12.0,12.0,27.0,14.0,11.0
45,800029  ,2012JJ00,140,30,-15.0,8.0,17.0,26.0,51.0,22,-7.0,7.0,13.0,18.0,22.0,43.0,68,17.0,54.0,96.0,220.0,86,24.0,47.0,91.0,200.0,3,-3.0,1.0,3.0,7.0,48,11.0,11,3.0,69,78473,47031,62,1.0,2.0,15.0,39.0,42.0,1.0,9.0,9.0,24.0,31.0,26.0,13.0,21.0,23.0,42.0,7.0,16.0,31.0,46.0,5.0,27.0,24.0,44.0,23.0,12.0,12.0,26.0,13.0,14.0
46,800029  ,2013JJ00,150,30,-25.0,9.0,17.0,25.0,51.0,24,-6.0,8.0,14.0,17.0,23.0,47.0,93,23.0,54.0,100.0,216.0,103,17.0,55.0,103.0,214.0,2,-3.0,1.0,3.0,7.0,51,11.0,10,3.0,70,80161,49926,63,2.0,5.0,12.0,32.0,47.0,2.0,13.0,7.0,21.0,30.0,25.0,8.0,20.0,28.0,42.0,3.0,19.0,31.0,44.0,15.0,33.0,19.0,32.0,27.0,13.0,10.0,24.0,12.0,13.0
47,800029  ,2014JJ00,165,33,-11.0,10.0,18.0,27.0,50.0,26,-7.0,5.0,12.0,18.0,24.0,45.0,111,19.0,56.0,96.0,206.0,119,24.0,59.0,98.0,206.0,2,-3.0,1.0,3.0,6.0,50,11.0,10,3.0,70,82686,51067,62,7.0,1.0,8.0,30.0,53.0,7.0,8.0,8.0,16.0,30.0,29.0,6.0,16.0,24.0,53.0,3.0,13.0,25.0,57.0,8.0,30.0,22.0,38.0,32.0,13.0,9.0,22.0,11.0,12.0
48,800028  ,2007JJ00,537,22,-14.0,6.0,15.0,26.0,47.0,16,-8.0,7.0,13.0,17.0,26.0,40.0,57,15.0,49.0,96.0,189.0,66,18.0,50.0,95.0,179.0,0,-3.0,1.0,3.0,6.0,53,11.0,11,10.0,72,64679,40815,54,7.0,17.0,39.0,22.0,16.0,7.0,24.0,32.0,12.0,15.0,10.0,17.0,33.0,23.0,27.0,16.0,27.0,34.0,23.0,39.0,34.0,13.0,14.0,27.0,25.0,17.0,20.0,6.0,4.0
49,800028  ,2008JJ00,491,22,-6.0,8.0,15.0,26.0,45.0,17,-5.0,7.0,12.0,17.0,24.0,40.0,56,15.0,48.0,95.0,194.0,66,18.0,50.0,95.0,188.0,0,-4.0,1.0,3.0,6.0,52,11.0,12,10.0,72,68083,42880,54,5.0,9.0,23.0,30.0,33.0,5.0,18.0,14.0,22.0,22.0,20.0,18.0,23.0,25.0,35.0,18.0,22.0,27.0,33.0,25.0,27.0,18.0,29.0,23.0,26.0,18.0,20.0,8.0,5.0
50,800028  ,2009JJ00,473,24,-8.0,7.0,15.0,26.0,45.0,18,-6.0,7.0,13.0,17.0,24.0,40.0,59,16.0,47.0,88.0,194.0,73,20.0,48.0,97.0,185.0,2,-2.0,1.0,3.0,7.0,52,11.0,11,9.0,71,70013,43015,53,6.0,7.0,22.0,30.0,36.0,6.0,16.0,14.0,15.0,26.0,23.0,16.0,21.0,28.0,35.0,16.0,24.0,23.0,37.0,17.0,26.0,25.0,32.0,26.0,23.0,18.0,21.0,7.0,5.0
51,800028  ,2010JJ00,465,24,-7.0,8.0,16.0,26.0,46.0,20,-9.0,8.0,13.0,18.0,24.0,43.0,73,16.0,48.0,89.0,189.0,85,19.0,49.0,95.0,184.0,2,-2.0,1.0,3.0,6.0,58,12.0,11,8.0,71,69428,43503,52,5.0,8.0,20.0,34.0,33.0,5.0,19.0,13.0,13.0,24.0,26.0,9.0,25.0,29.0,38.0,4.0,22.0,30.0,44.0,17.0,31.0,19.0,33.0,30.0,21.0,17.0,19.0,6.0,6.0
52,800028  ,2011JJ00,454,25,-12.0,8.0,15.0,26.0,45.0,21,-7.0,6.0,13.0,17.0,23.0,43.0,82,18.0,51.0,92.0,198.0,95,20.0,52.0,96.0,202.0,2,-2.0,1.0,3.0,6.0,61,11.0,12,7.0,72,69899,44079,52,5.0,8.0,19.0,32.0,36.0,5.0,15.0,10.0,14.0,26.0,29.0,12.0,22.0,27.0,39.0,6.0,19.0,31.0,44.0,17.0,28.0,27.0,28.0,24.0,23.0,18.0,21.0,8.0,7.0
53,800028  ,2012JJ00,465,27,-27.0,6.0,16.0,26.0,45.0,22,-16.0,6.0,13.0,18.0,24.0,43.0,96,18.0,50.0,98.0,188.0,105,19.0,51.0,100.0,187.0,3,-2.0,1.0,3.0,7.0,60,11.0,12,7.0,71,72625,44844,52,4.0,5.0,17.0,34.0,41.0,4.0,13.0,9.0,13.0,30.0,32.0,9.0,15.0,28.0,48.0,5.0,14.0,32.0,49.0,13.0,24.0,24.0,40.0,23.0,22.0,17.0,22.0,8.0,8.0
54,800028  ,2013JJ00,467,29,-12.0,8.0,17.0,28.0,46.0,24,-7.0,5.0,12.0,17.0,23.0,42.0,98,17.0,48.0,97.0,196.0,110,21.0,51.0,102.0,195.0,1,-4.0,1.0,3.0,6.0,59,11.0,11,7.0,73,74569,47640,53,5.0,4.0,15.0,32.0,40.0,5.0,14.0,8.0,9.0,29.0,31.0,6.0,18.0,29.0,43.0,3.0,14.0,32.0,46.0,21.0,27.0,21.0,27.0,25.0,19.0,17.0,20.0,8.0,7.0
55,800028  ,2014JJ00,471,30,-18.0,8.0,16.0,28.0,46.0,25,-7.0,6.0,12.0,18.0,25.0,44.0,117,23.0,44.0,103.0,200.0,124,19.0,46.0,101.0,189.0,2,-3.0,1.0,3.0,6.0,59,11.0,11,5.0,73,76182,48827,55,7.0,4.0,12.0,31.0,43.0,7.0,13.0,8.0,8.0,26.0,34.0,7.0,12.0,31.0,47.0,4.0,11.0,30.0,51.0,21.0,24.0,21.0,30.0,26.0,18.0,17.0,22.0,6.0,8.0
56,426500  ,2007JJ00,48,17,-30.0,6.0,16.0,29.0,48.0,9,-9.0,4.0,11.0,17.0,23.0,43.0,128,,46.0,102.0,195.0,123,,45.0,98.0,185.0,-1,-3.0,1.0,3.0,8.0,60,9.0,10,6.0,72,68202,42334,75,16.0,9.0,16.0,25.0,34.0,16.0,30.0,16.0,5.0,14.0,20.0,0.0,7.0,36.0,57.0,9.0,23.0,30.0,39.0,39.0,27.0,11.0,23.0,41.0,39.0,14.0,,,
57,426500  ,2008JJ00,45,20,-50.0,6.0,16.0,27.0,49.0,10,-17.0,4.0,12.0,17.0,23.0,46.0,114,,62.0,89.0,191.0,128,,55.0,98.0,186.0,0,-4.0,1.0,3.0,10.0,59,9.0,10,5.0,71,71416,44220,72,9.0,7.0,11.0,27.0,45.0,9.0,30.0,16.0,16.0,9.0,20.0,0.0,9.0,45.0,45.0,5.0,11.0,32.0,52.0,23.0,34.0,16.0,27.0,30.0,45.0,18.0,,,
58,426500  ,2009JJ00,41,22,-7.0,7.0,16.0,29.0,53.0,11,-2.0,4.0,13.0,17.0,25.0,55.0,128,,65.0,81.0,200.0,135,,60.0,98.0,198.0,1,-2.0,1.0,3.0,11.0,56,9.0,9,7.0,70,75780,45904,71,10.0,15.0,15.0,22.0,39.0,10.0,34.0,17.0,7.0,20.0,12.0,0.0,12.0,22.0,66.0,7.0,24.0,37.0,32.0,37.0,20.0,10.0,34.0,24.0,49.0,20.0,,,
59,426500  ,2010JJ00,42,26,-21.0,6.0,15.0,25.0,53.0,13,-8.0,4.0,12.0,17.0,26.0,48.0,127,25.0,66.0,103.0,199.0,132,21.0,50.0,78.0,197.0,1,-3.0,1.0,3.0,7.0,53,10.0,8,4.0,71,78381,49311,72,10.0,7.0,5.0,29.0,50.0,10.0,29.0,19.0,14.0,14.0,14.0,2.0,10.0,24.0,64.0,2.0,5.0,29.0,64.0,29.0,19.0,21.0,31.0,24.0,40.0,29.0,,,
60,426500  ,2011JJ00,38,29,-13.0,8.0,15.0,26.0,54.0,13,-6.0,5.0,11.0,17.0,25.0,43.0,120,,53.0,98.0,195.0,138,,69.0,106.0,210.0,1,-2.0,1.0,3.0,7.0,55,10.0,7,5.0,70,80052,50027,72,8.0,5.0,3.0,26.0,58.0,8.0,18.0,18.0,24.0,18.0,13.0,0.0,8.0,32.0,61.0,0.0,11.0,24.0,66.0,32.0,26.0,18.0,24.0,16.0,45.0,32.0,5.0,0.0,3.0
61,426500  ,2012JJ00,36,31,-6.0,8.0,12.0,29.0,54.0,15,-3.0,6.0,13.0,17.0,27.0,51.0,140,,37.0,85.0,206.0,144,0.0,38.0,84.0,223.0,1,-1.0,1.0,3.0,7.0,50,9.0,7,5.0,70,81638,50517,73,8.0,3.0,6.0,28.0,56.0,8.0,22.0,19.0,25.0,14.0,11.0,0.0,6.0,25.0,69.0,0.0,3.0,28.0,69.0,28.0,28.0,14.0,31.0,17.0,36.0,39.0,3.0,3.0,3.0
