ID,Toepassingsgroepen,SectorenEnGewassen,Perioden,BedrijvenMetGebruik_1,OppervlakteMetGebruik_2,GebruikPerJaar_3,GebruikPerHectare_4,GebruikInJanuari_5,GebruikInFebruari_6,GebruikInMaart_7,GebruikInApril_8,GebruikInMei_9,GebruikInJuni_10,GebruikInJuli_11,GebruikInAugustus_12,GebruikInSeptember_13,GebruikInOktober_14,GebruikInNovember_15,GebruikInDecember_16
64,TOTAAL,ERG,2008JJ00,771.0,5969.0,11453.0,1.9,1.8,0.0,0.0,14.7,49.0,25.5,9.1,0.0,0.0,0.0,0.0,0.0
65,TOTAAL,GRA,1995JJ00,2930.0,21893.0,40142.0,1.8,14.1,0.0,0.0,36.5,21.1,7.6,1.0,3.2,7.8,8.6,0.0,0.0
66,TOTAAL,GRA,1998JJ00,3589.0,28418.0,40075.0,1.4,16.3,0.0,0.0,39.8,22.6,10.4,4.9,1.5,4.2,0.4,0.0,0.0
67,TOTAAL,GRA,2000JJ00,2773.0,21960.0,35676.0,1.6,11.0,0.0,0.0,45.8,21.1,6.4,1.9,6.7,3.9,3.3,0.0,0.0
68,TOTAAL,GRA,2004JJ00,2503.0,23810.0,36282.0,1.4,14.5,0.0,0.0,29.4,18.6,16.0,3.3,3.2,9.4,5.7,0.0,0.0
69,TOTAAL,GRA,2008JJ00,1758.0,14683.0,24781.0,1.6,5.0,0.0,0.0,41.5,18.6,18.6,1.5,4.2,4.9,5.7,0.0,0.0
70,TOTAAL,KOO,1995JJ00,,,,,,,,,,,,,,,,
71,TOTAAL,KOO,1998JJ00,,,,,,,,,,,,,,,,
72,TOTAAL,KOO,2000JJ00,108.0,854.0,1022.0,1.2,20.4,0.0,0.0,14.0,5.0,2.7,0.0,2.1,45.9,9.8,0.0,0.0
73,TOTAAL,KOO,2004JJ00,,,,,,,,,,,,,,,,
74,TOTAAL,KOO,2008JJ00,282.0,2137.0,1046.0,0.4,4.9,0.0,0.0,25.5,10.2,0.0,0.4,13.2,29.3,16.5,0.0,0.0
75,TOTAAL,PUI,1995JJ00,,,,,,,,,,,,,,,,
76,TOTAAL,PUI,1998JJ00,1046.0,4505.0,98771.0,21.9,8.2,0.0,0.0,10.0,17.9,35.3,25.8,2.7,0.0,0.0,0.0,0.0
77,TOTAAL,PUI,2000JJ00,1116.0,5282.0,108661.0,20.6,3.7,0.0,0.0,11.8,21.6,38.2,22.5,2.2,0.0,0.0,0.0,0.0
78,TOTAAL,PUI,2004JJ00,891.0,5603.0,108305.0,19.3,1.7,0.0,0.0,10.9,16.6,46.4,23.7,0.7,0.0,0.0,0.0,0.0
79,TOTAAL,PUI,2008JJ00,695.0,4951.0,95482.0,18.5,2.5,0.0,0.0,9.0,19.1,38.2,27.8,3.5,0.0,0.0,0.0,0.0
80,TOTAAL,PUZ,1995JJ00,,,,,,,,,,,,,,,,
81,TOTAAL,PUZ,1998JJ00,,,98771.0,21.9,,,,,,,,,,,,
82,TOTAAL,PUZ,2000JJ00,,,108661.0,20.6,,,,,,,,,,,,
83,TOTAAL,PUZ,2004JJ00,891.0,5603.0,108289.0,19.3,,,,,,,,,,,,
84,TOTAAL,PUZ,2008JJ00,695.0,4951.0,95482.0,18.5,,,,,,,,,,,,
85,TOTAAL,POO,1995JJ00,3346.0,37799.0,784478.0,20.8,0.2,0.0,0.0,7.4,10.3,29.0,34.1,17.6,1.4,0.1,0.0,0.0
86,TOTAAL,POO,1998JJ00,3276.0,39948.0,666723.0,16.7,0.1,0.0,0.0,1.9,13.9,37.2,33.5,11.8,1.2,0.4,0.0,0.0
87,TOTAAL,POO,2000JJ00,3319.0,41802.0,598534.0,14.3,0.1,0.0,0.0,6.4,19.1,38.0,29.1,6.2,0.9,0.2,0.0,0.0
88,TOTAAL,POO,2004JJ00,2451.0,39739.0,567664.0,14.3,0.7,0.0,0.0,13.5,18.8,36.3,23.9,5.2,1.5,0.3,0.0,0.0
89,TOTAAL,POO,2008JJ00,2057.0,36435.0,654210.0,17.9,0.1,0.0,0.0,5.0,18.1,43.5,29.8,3.0,0.3,0.1,0.0,0.0
90,TOTAAL,SNY,1995JJ00,39085.0,219217.0,680642.0,3.1,0.0,0.0,0.0,3.2,42.2,51.2,3.0,0.0,0.0,0.4,0.0,0.0
91,TOTAAL,SNY,1998JJ00,35922.0,219940.0,431965.0,2.0,0.1,0.0,0.0,7.3,43.6,40.1,8.4,0.3,0.0,0.1,0.0,0.0
92,TOTAAL,SNY,2000JJ00,31236.0,205321.0,162769.0,0.8,1.2,0.0,0.0,1.1,34.5,61.0,2.2,0.0,0.0,0.0,0.0,0.0
93,TOTAAL,SNY,2004JJ00,27022.0,219897.0,183083.0,0.8,3.3,0.0,0.0,1.8,21.1,69.7,2.3,0.0,0.0,1.8,0.0,0.0
94,TOTAAL,SNY,2008JJ00,24669.0,206364.0,221574.0,0.9,0.0,0.0,0.0,16.9,54.1,29.0,0.0,0.0,0.0,0.0,0.0,0.0
95,TOTAAL,SUI,1995JJ00,19189.0,116081.0,414059.0,3.6,0.7,0.0,0.0,30.1,50.8,14.0,3.8,0.2,0.3,0.1,0.0,0.0
96,TOTAAL,SUI,1998JJ00,18256.0,113032.0,394651.0,3.5,1.6,0.0,0.0,14.7,56.5,23.1,1.9,1.3,0.9,0.0,0.0,0.0
97,TOTAAL,SUI,2000JJ00,17098.0,110981.0,394753.0,3.6,1.1,0.0,0.0,23.9,58.8,15.0,0.5,0.4,0.3,0.0,0.0,0.0
98,TOTAAL,SUI,2004JJ00,13924.0,97366.0,331355.0,3.4,4.3,0.0,0.0,32.2,51.0,11.6,0.4,0.2,0.2,0.0,0.0,0.0
99,TOTAAL,SUI,2008JJ00,9198.0,67630.0,326343.0,4.5,0.5,0.0,0.0,23.2,58.0,12.7,1.4,3.1,1.1,0.0,0.0,0.0
100,TOTAAL,VEL,1995JJ00,,,,,,,,,,,,,,,,
101,TOTAAL,VEL,1998JJ00,,,,,,,,,,,,,,,,
102,TOTAAL,VEL,2000JJ00,147.0,679.0,1828.0,2.7,8.5,0.0,0.0,9.0,15.9,13.7,24.7,15.5,12.7,0.0,0.0,0.0
103,TOTAAL,VEL,2004JJ00,,,,,,,,,,,,,,,,
104,TOTAAL,VEL,2008JJ00,,,,,,,,,,,,,,,,
105,TOTAAL,VLA,1995JJ00,,,,,,,,,,,,,,,,
106,TOTAAL,VLA,1998JJ00,,,,,,,,,,,,,,,,
107,TOTAAL,VLA,2000JJ00,684.0,4379.0,7357.0,1.7,6.3,0.0,0.0,26.3,65.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0
108,TOTAAL,VLA,2004JJ00,595.0,4461.0,7916.0,1.8,18.6,0.0,0.0,14.9,62.8,3.0,0.7,0.0,0.0,0.0,0.0,0.0
109,TOTAAL,VLA,2008JJ00,352.0,2562.0,3883.0,1.5,1.5,0.0,0.0,35.3,60.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0
110,TOTAAL,WTA,1995JJ00,12354.0,125599.0,336308.0,2.7,4.4,0.0,0.0,40.7,30.4,19.3,3.1,0.4,0.2,1.5,0.0,0.0
111,TOTAAL,WTA,1998JJ00,11763.0,128276.0,404308.0,3.2,15.8,0.0,0.0,44.6,29.0,10.0,0.3,0.0,0.2,0.0,0.0,0.0
112,TOTAAL,WTA,2000JJ00,11553.0,120510.0,328333.0,2.7,8.1,0.0,0.0,51.5,29.0,7.6,1.8,0.9,0.1,1.0,0.0,0.0
113,TOTAAL,WTA,2004JJ00,10038.0,117224.0,365017.0,3.1,7.8,0.0,0.0,44.2,21.6,5.8,1.2,0.9,0.4,18.1,0.0,0.0
114,TOTAAL,WTA,2008JJ00,9396.0,137559.0,409017.0,2.9,15.8,0.0,0.0,32.9,31.0,3.2,1.3,0.2,1.0,14.7,0.0,0.0
115,TOTAAL,ZUI,1995JJ00,3030.0,11659.0,201357.0,17.3,1.5,0.0,0.0,15.8,11.2,17.0,34.0,19.6,0.8,0.0,0.0,0.0
116,TOTAAL,ZUI,1998JJ00,2985.0,13225.0,306386.0,23.2,0.8,0.0,0.0,6.8,9.9,19.8,32.0,27.5,3.1,0.0,0.0,0.0
117,TOTAAL,ZUI,2000JJ00,2968.0,13988.0,297914.0,21.3,1.2,0.0,0.0,12.6,8.1,18.6,34.5,24.6,0.5,0.0,0.0,0.0
118,TOTAAL,ZUI,2004JJ00,3172.0,19888.0,412293.0,20.7,0.9,0.0,0.0,7.2,4.0,23.8,39.0,25.1,0.0,0.0,0.0,0.0
119,TOTAAL,ZUI,2008JJ00,2861.0,20301.0,446413.0,22.0,0.0,0.0,0.0,4.6,8.9,17.5,41.8,26.7,0.5,0.0,0.0,0.0
120,TOTAAL,ZET,1995JJ00,3735.0,61345.0,652277.0,10.6,0.5,0.0,0.0,8.3,12.8,13.2,32.4,19.8,11.6,1.4,0.0,0.0
121,TOTAAL,ZET,1998JJ00,3516.0,56962.0,627750.0,11.0,0.6,0.0,0.0,6.6,9.2,21.1,32.4,20.6,9.2,0.3,0.0,0.0
122,TOTAAL,ZET,2000JJ00,2918.0,50958.0,616715.0,12.1,0.0,0.0,0.0,5.0,10.4,29.8,30.1,19.9,4.8,0.0,0.0,0.0
123,TOTAAL,ZET,2004JJ00,2163.0,51496.0,652646.0,12.7,0.4,0.0,0.0,6.3,5.4,37.6,34.1,12.4,3.7,0.2,0.0,0.0
124,TOTAAL,ZET,2008JJ00,1741.0,46034.0,675961.0,14.7,0.3,0.0,0.0,4.2,7.4,28.3,34.7,18.9,5.9,0.3,0.0,0.0
125,TOTAAL,ZTA,1995JJ00,,,,,,,,,,,,,,,,
126,TOTAAL,ZTA,1998JJ00,,,,,,,,,,,,,,,,
127,TOTAAL,ZTA,2000JJ00,,,,,,,,,,,,,,,,
128,TOTAAL,ZTA,2004JJ00,3386.0,19420.0,35703.0,1.7,0.3,0.0,0.0,1.5,70.3,25.4,0.8,1.7,0.0,0.0,0.0,0.0
129,TOTAAL,ZTA,2008JJ00,2353.0,15542.0,28360.0,1.8,0.0,0.0,0.0,5.4,50.6,29.6,0.0,12.0,2.5,0.0,0.0,0.0
130,TOTAAL,ZOM,1995JJ00,6907.0,32480.0,51184.0,1.6,0.2,0.0,0.0,6.4,68.1,19.8,4.6,0.7,0.0,0.2,0.0,0.0
131,TOTAAL,ZOM,1998JJ00,6626.0,36658.0,45252.0,1.2,0.7,0.0,0.0,5.9,74.5,16.4,0.4,0.0,2.0,0.0,0.0,0.0
132,TOTAAL,ZOM,2000JJ00,3113.0,43537.0,59749.0,1.4,0.1,0.0,0.0,3.2,62.5,31.8,1.1,0.3,0.0,1.0,0.0,0.0
133,TOTAAL,ZOM,2004JJ00,6160.0,43259.0,56471.0,1.3,0.0,0.0,0.0,9.1,71.8,17.0,2.1,0.1,0.0,0.0,0.0,0.0
134,TOTAAL,ZOM,2008JJ00,4959.0,43981.0,60195.0,1.3,1.8,0.0,0.0,4.7,59.8,28.9,0.3,4.5,0.0,0.0,0.0,0.0
135,TOTAAL,ZOZ,1995JJ00,,,51184.0,1.6,,,,,,,,,,,,
136,TOTAAL,ZOZ,1998JJ00,,,45252.0,1.2,,,,,,,,,,,,
137,TOTAAL,ZOZ,2000JJ00,,,59071.0,1.4,,,,,,,,,,,,
138,TOTAAL,ZOZ,2004JJ00,6160.0,43259.0,56471.0,1.3,,,,,,,,,,,,
139,TOTAAL,ZOZ,2008JJ00,4959.0,43981.0,60195.0,1.3,,,,,,,,,,,,
140,TOTAAL,AAR,1995JJ00,1491.0,1763.0,17237.0,9.8,0.9,0.0,0.0,6.5,17.7,16.5,14.7,17.3,16.4,9.9,0.0,0.0
141,TOTAAL,AAR,1998JJ00,1310.0,1968.0,16701.0,8.5,5.1,0.0,0.0,7.4,19.6,15.7,17.4,16.5,9.2,9.1,0.0,0.0
142,TOTAAL,AAR,2000JJ00,1005.0,1746.0,15687.0,9.0,2.1,0.0,0.0,11.3,25.0,22.2,14.2,12.7,9.0,3.4,0.0,0.0
143,TOTAAL,AAR,2004JJ00,713.0,2012.0,21427.0,10.1,2.9,0.0,0.0,6.6,17.8,18.7,18.2,13.9,9.7,12.1,0.0,0.0
144,TOTAAL,AAR,2008JJ00,334.0,1200.0,7278.0,5.8,1.4,0.0,0.0,8.1,23.7,22.1,20.7,16.1,5.7,2.2,0.0,0.0
145,TOTAAL,AAZ,1995JJ00,,,17237.0,9.8,,,,,,,,,,,,
146,TOTAAL,AAZ,1998JJ00,,,16701.0,8.5,,,,,,,,,,,,
147,TOTAAL,AAZ,2000JJ00,,,15687.0,9.0,,,,,,,,,,,,
148,TOTAAL,AAZ,2004JJ00,713.0,2012.0,21370.0,10.0,,,,,,,,,,,,
149,TOTAAL,AAZ,2008JJ00,334.0,1200.0,7262.0,5.8,,,,,,,,,,,,
150,TOTAAL,ASP,1995JJ00,1789.0,2324.0,14099.0,6.1,1.7,0.0,0.0,3.4,4.4,17.9,17.2,33.0,20.3,2.1,0.0,0.0
151,TOTAAL,ASP,1998JJ00,1591.0,2304.0,15230.0,6.6,1.6,0.0,0.0,1.5,5.3,16.5,17.5,38.6,18.4,0.6,0.0,0.0
152,TOTAAL,ASP,2000JJ00,1370.0,2084.0,17347.0,8.3,1.1,0.0,0.0,1.2,6.8,20.1,17.2,39.1,14.4,0.0,0.0,0.0
153,TOTAAL,ASP,2004JJ00,954.0,2275.0,9751.0,4.1,2.2,0.0,0.0,4.9,4.3,22.6,18.5,30.4,17.0,0.0,0.0,0.0
154,TOTAAL,ASP,2008JJ00,525.0,1738.0,13931.0,5.6,0.2,0.0,0.0,0.3,5.5,16.7,25.5,34.4,17.4,0.0,0.0,0.0
155,TOTAAL,BLK,1995JJ00,,,,,,,,,,,,,,,,
156,TOTAAL,BLK,1998JJ00,,,,,,,,,,,,,,,,
157,TOTAAL,BLK,2000JJ00,,,,,,,,,,,,,,,,
158,TOTAAL,BLK,2004JJ00,395.0,2292.0,2760.0,1.2,11.9,0.0,0.0,10.9,10.2,17.1,26.0,11.0,5.7,7.3,0.0,0.0
159,TOTAAL,BLK,2008JJ00,306.0,2480.0,2951.0,1.2,2.6,0.0,0.0,13.7,15.6,11.5,25.6,15.3,9.8,5.7,0.0,0.0
160,TOTAAL,PRE,1995JJ00,1663.0,3854.0,27099.0,7.0,1.2,0.0,0.0,2.2,4.3,6.2,21.3,21.2,22.7,20.9,0.0,0.0
161,TOTAAL,PRE,1998JJ00,1360.0,3641.0,30114.0,8.3,3.5,0.0,0.0,6.3,3.5,9.5,14.4,17.8,28.3,16.7,0.0,0.0
162,TOTAAL,PRE,2000JJ00,1035.0,3184.0,24133.0,7.6,2.4,0.0,0.0,1.8,2.2,6.8,13.7,26.3,27.2,19.6,0.0,0.0
163,TOTAAL,PRE,2004JJ00,721.0,3007.0,22741.0,7.5,0.5,0.0,0.0,1.8,1.4,3.9,15.1,22.0,30.4,24.7,0.0,0.0
164,TOTAAL,PRE,2008JJ00,473.0,2510.0,7047.0,2.3,2.0,0.0,0.0,3.8,12.4,12.4,20.5,25.2,18.9,4.8,0.0,0.0
165,TOTAAL,SCH,1995JJ00,458.0,1480.0,20052.0,13.5,0.0,0.0,0.0,8.1,10.4,5.4,30.9,31.2,12.7,1.2,0.0,0.0
166,TOTAAL,SCH,1998JJ00,477.0,1839.0,24441.0,13.3,0.0,0.0,0.0,4.5,8.8,14.9,40.8,25.5,5.5,0.0,0.0,0.0
167,TOTAAL,SCH,2000JJ00,,,,,,,,,,,,,,,,
168,TOTAAL,SCH,2004JJ00,233.0,1020.0,9705.0,9.5,0.0,0.0,0.0,9.9,7.9,8.9,40.2,26.8,6.3,0.0,0.0,0.0
169,TOTAAL,SCH,2008JJ00,179.0,959.0,5488.0,5.7,0.3,0.0,0.0,4.0,25.5,11.9,20.9,26.1,11.3,0.0,0.0,0.0
170,TOTAAL,SCZ,1995JJ00,,,8255.0,5.5,,,,,,,,,,,,
171,TOTAAL,SCZ,1998JJ00,,,12062.0,6.6,,,,,,,,,,,,
172,TOTAAL,SCZ,2000JJ00,,,,,,,,,,,,,,,,
173,TOTAAL,SCZ,2004JJ00,233.0,1020.0,2705.0,2.7,,,,,,,,,,,,
174,TOTAAL,SCZ,2008JJ00,179.0,959.0,1973.0,2.1,,,,,,,,,,,,
175,TOTAAL,SLA,1995JJ00,586.0,1042.0,5159.0,5.0,3.6,0.0,0.0,4.4,11.2,21.0,22.5,22.6,14.2,0.4,0.0,0.0
176,TOTAAL,SLA,1998JJ00,,,,,,,,,,,,,,,,
177,TOTAAL,SLA,2000JJ00,,,,,,,,,,,,,,,,
178,TOTAAL,SLA,2004JJ00,,,,,,,,,,,,,,,,
179,TOTAAL,SLA,2008JJ00,,,,,,,,,,,,,,,,
180,TOTAAL,SLU,1995JJ00,1602.0,2922.0,6661.0,2.3,0.0,0.0,0.0,2.0,17.5,16.6,14.6,26.8,17.5,4.9,0.0,0.0
181,TOTAAL,SLU,1998JJ00,1135.0,2941.0,7038.0,2.4,1.1,0.0,0.0,2.5,28.4,15.0,13.3,22.9,14.4,2.4,0.0,0.0
