ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
310,A052933,A019164,2023JJ00,37.0
311,A052933,A019164,2024JJ00,39.0
312,A052933,A019165,2021JJ00,40.0
313,A052933,A019165,2022JJ00,38.0
314,A052933,A019165,2023JJ00,38.0
315,A052933,A019165,2024JJ00,39.0
316,A052933,A044427,2021JJ00,5.0
317,A052933,A044427,2022JJ00,7.0
318,A052933,A044427,2023JJ00,7.0
319,A052933,A044427,2024JJ00,7.0
320,A052934,T001103,2021JJ00,3080.0
321,A052934,T001103,2022JJ00,3123.0
322,A052934,T001103,2023JJ00,3355.0
323,A052934,T001103,2024JJ00,3468.0
324,A052934,A019151,2021JJ00,10.0
325,A052934,A019151,2022JJ00,0.0
326,A052934,A019151,2023JJ00,0.0
327,A052934,A019151,2024JJ00,0.0
328,A052934,A019154,2021JJ00,95.0
329,A052934,A019154,2022JJ00,103.0
330,A052934,A019154,2023JJ00,121.0
331,A052934,A019154,2024JJ00,129.0
332,A052934,A019155,2021JJ00,
333,A052934,A019155,2022JJ00,
334,A052934,A019155,2023JJ00,
335,A052934,A019155,2024JJ00,
336,A052934,A019156,2021JJ00,617.0
337,A052934,A019156,2022JJ00,641.0
338,A052934,A019156,2023JJ00,719.0
339,A052934,A019156,2024JJ00,773.0
340,A052934,A019158,2021JJ00,1683.0
341,A052934,A019158,2022JJ00,1680.0
342,A052934,A019158,2023JJ00,1757.0
343,A052934,A019158,2024JJ00,1761.0
344,A052934,A019163,2021JJ00,673.0
345,A052934,A019163,2022JJ00,694.0
346,A052934,A019163,2023JJ00,754.0
347,A052934,A019163,2024JJ00,801.0
348,A052934,A019164,2021JJ00,581.0
349,A052934,A019164,2022JJ00,603.0
350,A052934,A019164,2023JJ00,656.0
351,A052934,A019164,2024JJ00,700.0
352,A052934,A019165,2021JJ00,92.0
353,A052934,A019165,2022JJ00,91.0
354,A052934,A019165,2023JJ00,98.0
355,A052934,A019165,2024JJ00,101.0
356,A052934,A044427,2021JJ00,3.0
357,A052934,A044427,2022JJ00,4.0
358,A052934,A044427,2023JJ00,4.0
359,A052934,A044427,2024JJ00,4.0
360,A052935,T001103,2021JJ00,4250.0
361,A052935,T001103,2022JJ00,4552.0
362,A052935,T001103,2023JJ00,5020.0
363,A052935,T001103,2024JJ00,5282.0
364,A052935,A019151,2021JJ00,61.0
365,A052935,A019151,2022JJ00,34.0
366,A052935,A019151,2023JJ00,32.0
367,A052935,A019151,2024JJ00,41.0
368,A052935,A019154,2021JJ00,19.0
369,A052935,A019154,2022JJ00,25.0
370,A052935,A019154,2023JJ00,31.0
371,A052935,A019154,2024JJ00,34.0
372,A052935,A019155,2021JJ00,
373,A052935,A019155,2022JJ00,
374,A052935,A019155,2023JJ00,
375,A052935,A019155,2024JJ00,
376,A052935,A019156,2021JJ00,1137.0
377,A052935,A019156,2022JJ00,1206.0
378,A052935,A019156,2023JJ00,1322.0
379,A052935,A019156,2024JJ00,1414.0
380,A052935,A019158,2021JJ00,1326.0
381,A052935,A019158,2022JJ00,1338.0
382,A052935,A019158,2023JJ00,1432.0
383,A052935,A019158,2024JJ00,1475.0
384,A052935,A019163,2021JJ00,1706.0
385,A052935,A019163,2022JJ00,1948.0
386,A052935,A019163,2023JJ00,2203.0
387,A052935,A019163,2024JJ00,2319.0
388,A052935,A019164,2021JJ00,1639.0
389,A052935,A019164,2022JJ00,1879.0
390,A052935,A019164,2023JJ00,2134.0
391,A052935,A019164,2024JJ00,2248.0
392,A052935,A019165,2021JJ00,67.0
393,A052935,A019165,2022JJ00,69.0
394,A052935,A019165,2023JJ00,69.0
395,A052935,A019165,2024JJ00,71.0
396,A052935,A044427,2021JJ00,0.0
397,A052935,A044427,2022JJ00,0.0
398,A052935,A044427,2023JJ00,0.0
399,A052935,A044427,2024JJ00,0.0
400,A052936,T001103,2021JJ00,22410.0
401,A052936,T001103,2022JJ00,23016.0
402,A052936,T001103,2023JJ00,25052.0
403,A052936,T001103,2024JJ00,27417.0
404,A052936,A019151,2021JJ00,2316.0
405,A052936,A019151,2022JJ00,2275.0
406,A052936,A019151,2023JJ00,2532.0
