ID,Systemen,Perioden,InGebruikGenomenInstallaties_1,UitGebruikGenomenInstallaties_2,OpgesteldeInstallatiesEindeVanJaar_3,InGebruikGenomenCollectoroppervlak_4,UitGebruikGenomenCollectoroppervlak_5,OpgesteldCollectoroppervlakEindeJaar_6,Warmteproductie_7
83,E006646,2003JJ00,,,,4235,493,37187,66
84,E006646,2004JJ00,,,,5061,610,41639,74
85,E006646,2005JJ00,,,,2582,0,44221,79
86,E006646,2006JJ00,,,,1751,0,45972,82
87,E006646,2007JJ00,,,,2485,0,48457,86
88,E006646,2008JJ00,,,,3139,0,51596,92
89,E006646,2009JJ00,,,,11016,0,62612,111
90,E006646,2010JJ00,,,,18070,1206,79475,138
91,E006646,2011JJ00,,,,8805,716,87564,151
92,E006646,2012JJ00,,,,8332,555,95341,164
93,E006646,2013JJ00,,,,8228,1749,101821,175
94,E006646,2014JJ00,,,,5674,2175,105320,181
95,E006646,2015JJ00,,,,5855,2005,109170,187
96,E006646,2016JJ00,,,,6605,1841,113934,194
97,E006646,2017JJ00,,,,10305,3680,120559,204
98,E006646,2018JJ00,,,,14735,3512,131782,220
99,E006646,2019JJ00,,,,24996,2407,154371,254
100,E006646,2020JJ00,,,,7077,3080,158367,260
101,E006646,2021JJ00,,,,10354,3414,165307,273
102,E006646,2022JJ00,,,,11847,6002,171151,283
103,E006646,2023JJ00,,,,10201,4235,177116,293
104,E006646,2024JJ00,,,,8953,5061,181009,300
105,E006647,1990JJ00,,,,6378,1110,56719,71
106,E006647,1991JJ00,,,,5617,4015,58321,73
107,E006647,1992JJ00,,,,10041,2450,65913,83
108,E006647,1993JJ00,,,,6527,3890,68549,86
109,E006647,1994JJ00,,,,7272,1864,73957,93
110,E006647,1995JJ00,,,,7750,2108,79598,100
111,E006647,1996JJ00,,,,6750,3942,82406,104
112,E006647,1997JJ00,,,,7814,4559,85662,108
113,E006647,1998JJ00,,,,10432,3202,92891,117
114,E006647,1999JJ00,,,,7800,1649,99042,125
115,E006647,2000JJ00,,,,7800,3941,102901,129
116,E006647,2001JJ00,,,,7500,6223,104178,131
117,E006647,2002JJ00,,,,7500,4492,107186,135
118,E006647,2003JJ00,,,,2007,2862,106331,134
119,E006647,2004JJ00,,,,7533,5144,108719,137
120,E006647,2005JJ00,,,,6179,0,114898,145
121,E006647,2006JJ00,,,,6203,0,121101,152
122,E006647,2007JJ00,,,,5716,0,126817,160
123,E006647,2008JJ00,,,,3810,0,130627,164
124,E006647,2009JJ00,,,,1318,0,131945,166
125,E006647,2010JJ00,,,,3227,6378,128795,162
126,E006647,2011JJ00,,,,2621,5617,125799,158
127,E006647,2012JJ00,,,,2621,10041,118378,149
128,E006647,2013JJ00,,,,2621,6527,114473,144
129,E006647,2014JJ00,,,,2621,7272,109822,138
130,E006647,2015JJ00,,,,2621,7750,104693,132
131,E006647,2016JJ00,,,,2621,6750,100564,127
132,E006647,2017JJ00,,,,2621,7814,95371,120
133,E006647,2018JJ00,,,,2621,10432,87561,110
134,E006647,2019JJ00,,,,2621,7800,82382,104
135,E006647,2020JJ00,,,,2621,7800,77203,97
136,E006647,2021JJ00,,,,2621,7500,72324,91
137,E006647,2022JJ00,,,,2621,7500,67445,85
138,E006647,2023JJ00,,,,2621,2007,68059,86
139,E006647,2024JJ00,,,,2621,7533,63147,79
