ID,KenmerkenInstallaties,Perioden,Aankoop_1,ProductieUitSlibgisting_2,AfleveringExtern_3,Afgefakkeld_4,Afgeblazen_5,Totaal_6,VerbruikVoorProductieAardgasEnLNG_7,VerbruikInGasmotorenWKKInstallaties_8,VerbruikVoorOpwarmingSlibgistingstank_9,OverigVerbruik_10,Aankoop_11,ZelfOpgewektViaWindEnZonneEnergie_12,ZelfOpgewektInWKKInstallaties_13,AfleveringExtern_14,Totaal_15,VerbruikBeluchtingZuiveringsproces_16,VerbruikDoorAfvalwatertransportgemalen_17,VerbruikVoorSlibontwatering_18,OverigVerbruik_19,Aankoop_20,ProductieUitBiogas_21,AfleveringExtern_22,Totaal_23,VerbruikGasmotorenVanWKKInstallaties_24,VerbruikVoorSlibontwatering_25,OverigVerbruik_26,ProductieWarmteInWKKInstallaties_27,VerbruikInZuiveringsproces_28,VerbruikVanHuisbrandolie_29,Totaal_30,Elektriciteit_31,Aardgas_32,Biogas_33,Warmte_34,OverigeBrandstoffen_35
109,A027809   ,2023JJ00,0.0,9211.0,38.0,241.0,0.0,8933.0,0.0,8713.0,220.0,0.0,28898.0,1669.0,19899.0,1226.0,49240.0,21431.0,5408.0,2284.0,20117.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,102.0,45.0,0.0,349.0,153.0,3.0,208.0,-15.0,0.0
110,A027811   ,2013JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,0.0,0.0,0.0,1180.0,502.0,63.0,0.0,614.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,,,,,,
111,A027811   ,2014JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0.0,0.0,0.0,568.0,239.0,36.0,0.0,293.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,
112,A027811   ,2015JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,0.0,674.0,111.0,145.0,0.0,419.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,
113,A027811   ,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,0.0,0.0,0.0,729.0,240.0,196.0,0.0,293.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,,,,,
114,A027811   ,2017JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,0.0,0.0,673.0,251.0,115.0,0.0,307.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,
115,A027811   ,2018JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,A027811   ,2019JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,A027811   ,2020JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,A027811   ,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,A027811   ,2022JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,A027811   ,2023JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,A027812   ,2013JJ00,0.0,333.0,0.0,19.0,0.0,314.0,0.0,306.0,8.0,0.0,1734.0,0.0,536.0,0.0,2270.0,752.0,91.0,0.0,1427.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0,2.0,2.0,0.0,,,,,,
122,A027812   ,2014JJ00,0.0,434.0,0.0,77.0,0.0,357.0,0.0,341.0,16.0,0.0,1731.0,0.0,539.0,0.0,2270.0,842.0,84.0,0.0,1344.0,17.0,0.0,0.0,17.0,17.0,0.0,0.0,2.0,2.0,0.0,,,,,,
123,A027812   ,2015JJ00,0.0,337.0,0.0,83.0,0.0,254.0,0.0,232.0,22.0,0.0,1897.0,0.0,425.0,17.0,2304.0,868.0,98.0,0.0,1338.0,34.0,0.0,0.0,34.0,34.0,0.0,0.0,2.0,2.0,0.0,,,,,,
124,A027812   ,2016JJ00,0.0,443.0,0.0,78.0,0.0,365.0,0.0,349.0,16.0,0.0,1726.0,0.0,541.0,0.0,2268.0,832.0,78.0,0.0,1358.0,17.0,0.0,0.0,17.0,14.0,0.0,3.0,4.0,3.0,0.0,,,,,,
125,A027812   ,2017JJ00,0.0,589.0,0.0,216.0,0.0,373.0,0.0,322.0,51.0,0.0,1932.0,0.0,651.0,0.0,2582.0,894.0,213.0,0.0,1475.0,9.0,0.0,0.0,9.0,1.0,0.0,8.0,3.0,3.0,0.0,,,,,,
126,A027812   ,2018JJ00,0.0,550.0,0.0,22.0,0.0,527.0,0.0,525.0,2.0,0.0,1397.0,0.0,1220.0,0.0,2616.0,880.0,179.0,0.0,1557.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,5.0,0.0,,,,,,
127,A027812   ,2019JJ00,0.0,598.0,0.0,30.0,0.0,568.0,0.0,566.0,2.0,0.0,1411.0,0.0,1306.0,0.0,2717.0,814.0,191.0,0.0,1713.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,3.0,0.0,21.0,7.0,0.0,13.0,0.0,0.0
128,A027812   ,2020JJ00,0.0,625.0,0.0,27.0,0.0,598.0,0.0,596.0,2.0,0.0,1182.0,628.0,1346.0,398.0,2759.0,787.0,208.0,0.0,1764.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,7.0,3.0,0.0,21.0,7.0,0.0,14.0,0.0,0.0
