ID,Technieken,Perioden,Locaties_1,TotaalVerbruik_2,VoorOmzettingInElektriciteitWarmte_3,VoorToevoegingAanHetAardgasnet_4,FinaalVerbruik_5,BrutoElektriciteitsproductieInKWh_6,BrutoElektriciteitsproductieInTJ_7,WarmteproductieUitOmzettingen_8,AardgasproductieDoorToevoegenBiogas_9
81,E006662     ,2001JJ00,,5408.0,5408.0,,,591.0,2128.0,58.0,
82,E006662     ,2002JJ00,,9866.0,9866.0,,,1134.0,4084.0,222.0,
83,E006662     ,2003JJ00,,7127.0,7127.0,,,795.0,2861.0,81.0,
84,E006662     ,2004JJ00,,14123.0,14123.0,,,1609.0,5791.0,325.0,
85,E006662     ,2005JJ00,,30522.0,30522.0,,,3449.0,12416.0,693.0,
86,E006662     ,2006JJ00,,29445.0,29445.0,,,3244.0,11678.0,552.0,
87,E006662     ,2007JJ00,,15702.0,15702.0,,,1816.0,6538.0,821.0,
88,E006662     ,2008JJ00,,19692.0,19692.0,,,2248.0,8094.0,789.0,
89,E006662     ,2009JJ00,,22788.0,22788.0,,,2615.0,9414.0,939.0,
90,E006662     ,2010JJ00,,28545.0,28545.0,,,3237.0,11653.0,1267.0,
91,E006662     ,2011JJ00,,27855.0,27855.0,,,3182.0,11457.0,920.0,
92,E006662     ,2012JJ00,,26295.0,26295.0,,,2953.0,10632.0,658.0,
93,E006662     ,2013JJ00,,15691.0,15691.0,,,1814.0,6531.0,417.0,
94,E006662     ,2014JJ00,,8173.0,8173.0,,,933.0,3358.0,217.0,
95,E006662     ,2015JJ00,,4675.0,4675.0,,,514.0,1849.0,38.0,
96,E006662     ,2016JJ00,,4083.0,4083.0,,,442.0,1591.0,57.0,
97,E006662     ,2017JJ00,,4883.0,4883.0,,,530.0,1909.0,426.0,
98,E006662     ,2018JJ00,,5674.0,5674.0,,,654.0,2353.0,533.0,
99,E006662     ,2019JJ00,,15525.0,15525.0,,,1865.0,6715.0,1210.0,
100,E006662     ,2020JJ00,,40359.0,40359.0,,,4762.0,17145.0,2543.0,
101,E006662     ,2021JJ00,,56488.0,56488.0,,,6770.0,24373.0,3339.0,
102,E006662     ,2022JJ00,,46035.0,46035.0,,,5541.0,19947.0,2365.0,
103,E006662     ,2023JJ00,,31971.0,31971.0,,,3776.0,13592.0,1779.0,
104,E006662     ,2024JJ00,,27551.0,27551.0,,,3319.0,11950.0,1282.0,
105,E006669     ,1990JJ00,,2165.0,440.0,,1725.0,34.0,124.0,233.0,
106,E006669     ,1991JJ00,,2165.0,440.0,,1725.0,34.0,122.0,225.0,
107,E006669     ,1992JJ00,,2155.0,400.0,,1755.0,30.0,109.0,195.0,
108,E006669     ,1993JJ00,,2116.0,330.0,,1786.0,25.0,90.0,147.0,
109,E006669     ,1994JJ00,,2226.0,410.0,,1816.0,31.0,111.0,177.0,
110,E006669     ,1995JJ00,,2424.0,477.0,,1946.0,36.0,131.0,247.0,
111,E006669     ,1996JJ00,,2390.0,378.0,,2012.0,30.0,108.0,198.0,
112,E006669     ,1997JJ00,,2471.0,394.0,,2077.0,31.0,110.0,216.0,
113,E006669     ,1998JJ00,,2487.0,359.0,,2128.0,27.0,96.0,165.0,
114,E006669     ,1999JJ00,,3108.0,912.0,,2196.0,66.0,238.0,176.0,
115,E006669     ,2000JJ00,,5545.0,3333.0,,2212.0,234.0,843.0,188.0,
116,E006669     ,2001JJ00,,5778.0,3510.0,,2268.0,239.0,862.0,283.0,
117,E006669     ,2002JJ00,,5643.0,3114.0,,2529.0,233.0,838.0,303.0,
118,E006669     ,2003JJ00,,5862.0,3025.0,,2836.0,223.0,801.0,254.0,
119,E006669     ,2004JJ00,,6780.0,3094.0,,3686.0,235.0,846.0,336.0,
120,E006669     ,2005JJ00,,7629.0,3524.0,,4106.0,253.0,910.0,468.0,
121,E006669     ,2006JJ00,,9178.0,3677.0,,5501.0,256.0,922.0,576.0,
122,E006669     ,2007JJ00,,10126.0,3981.0,,6145.0,279.0,1004.0,626.0,
123,E006669     ,2008JJ00,,16363.0,9929.0,,6434.0,741.0,2669.0,695.0,
124,E006669     ,2009JJ00,,19664.0,13152.0,,6512.0,1009.0,3632.0,700.0,
125,E006669     ,2010JJ00,,18202.0,12725.0,,5477.0,1015.0,3653.0,784.0,
126,E006669     ,2011JJ00,,15360.0,10138.0,,5222.0,806.0,2902.0,994.0,
127,E006669     ,2012JJ00,,17825.0,12504.0,,5321.0,1007.0,3625.0,1169.0,
128,E006669     ,2013JJ00,,18922.0,13512.0,,5410.0,1084.0,3904.0,1305.0,
129,E006669     ,2014JJ00,,21749.0,14549.0,,7199.0,1166.0,4199.0,1187.0,
130,E006669     ,2015JJ00,,25451.0,17544.0,,7908.0,1388.0,4995.0,1963.0,
131,E006669     ,2016JJ00,,27774.0,19418.0,,8356.0,1465.0,5273.0,2356.0,
132,E006669     ,2017JJ00,,28931.0,20131.0,,8800.0,1242.0,4471.0,4321.0,
133,E006669     ,2018JJ00,,30560.0,20009.0,,10551.0,849.0,3055.0,7403.0,
134,E006669     ,2019JJ00,,35156.0,24949.0,,10207.0,972.0,3500.0,10817.0,
135,E006669     ,2020JJ00,,39218.0,28703.0,,10515.0,1022.0,3680.0,12644.0,
136,E006669     ,2021JJ00,,44033.0,33120.0,,10913.0,1071.0,3857.0,15265.0,
137,E006669     ,2022JJ00,,43234.0,32500.0,,10733.0,1214.0,4369.0,13215.0,
138,E006669     ,2023JJ00,,36845.0,27774.0,,9071.0,1180.0,4247.0,10989.0,
139,E006669     ,2024JJ00,,36787.0,28285.0,,8501.0,965.0,3476.0,12782.0,
140,E006670     ,1990JJ00,,440.0,440.0,,,34.0,124.0,233.0,
141,E006670     ,1991JJ00,,440.0,440.0,,,34.0,122.0,225.0,
142,E006670     ,1992JJ00,,400.0,400.0,,,30.0,109.0,195.0,
143,E006670     ,1993JJ00,,330.0,330.0,,,25.0,90.0,147.0,
144,E006670     ,1994JJ00,,410.0,410.0,,,31.0,111.0,177.0,
145,E006670     ,1995JJ00,,477.0,477.0,,,36.0,131.0,247.0,
146,E006670     ,1996JJ00,,378.0,378.0,,,30.0,108.0,198.0,
147,E006670     ,1997JJ00,,394.0,394.0,,,31.0,110.0,216.0,
148,E006670     ,1998JJ00,,359.0,359.0,,,27.0,96.0,165.0,
149,E006670     ,1999JJ00,,912.0,912.0,,,66.0,238.0,176.0,
150,E006670     ,2000JJ00,4.0,3333.0,3333.0,,,234.0,843.0,188.0,
151,E006670     ,2001JJ00,5.0,3510.0,3510.0,,,239.0,862.0,283.0,
152,E006670     ,2002JJ00,4.0,3114.0,3114.0,,,233.0,838.0,303.0,
153,E006670     ,2003JJ00,5.0,3025.0,3025.0,,,223.0,801.0,254.0,
154,E006670     ,2004JJ00,5.0,3094.0,3094.0,,,235.0,846.0,336.0,
155,E006670     ,2005JJ00,5.0,3524.0,3524.0,,,253.0,910.0,468.0,
156,E006670     ,2006JJ00,6.0,3677.0,3677.0,,,256.0,922.0,576.0,
157,E006670     ,2007JJ00,13.0,3981.0,3981.0,,,279.0,1004.0,626.0,
158,E006670     ,2008JJ00,17.0,9929.0,9929.0,,,741.0,2669.0,695.0,
159,E006670     ,2009JJ00,17.0,13152.0,13152.0,,,1009.0,3632.0,700.0,
160,E006670     ,2010JJ00,18.0,12725.0,12725.0,,,1015.0,3653.0,784.0,
161,E006670     ,2011JJ00,18.0,10138.0,10138.0,,,806.0,2902.0,994.0,
162,E006670     ,2012JJ00,18.0,12482.0,12482.0,,,1007.0,3625.0,1150.0,
163,E006670     ,2013JJ00,20.0,13436.0,13436.0,,,1084.0,3904.0,1241.0,
164,E006670     ,2014JJ00,18.0,14127.0,14127.0,,,1166.0,4199.0,829.0,
165,E006670     ,2015JJ00,19.0,16624.0,16624.0,,,1388.0,4995.0,1179.0,
166,E006670     ,2016JJ00,19.0,18075.0,18075.0,,,1465.0,5273.0,1205.0,
167,E006670     ,2017JJ00,19.0,18934.0,18934.0,,,1242.0,4471.0,3298.0,
168,E006670     ,2018JJ00,25.0,18524.0,18524.0,,,849.0,3055.0,6131.0,
169,E006670     ,2019JJ00,33.0,22156.0,22156.0,,,972.0,3500.0,8473.0,
170,E006670     ,2020JJ00,,24062.0,24062.0,,,1022.0,3680.0,8676.0,
171,E006670     ,2021JJ00,,27091.0,27091.0,,,1071.0,3857.0,10260.0,
172,E006670     ,2022JJ00,,26988.0,26988.0,,,1214.0,4369.0,8399.0,
173,E006670     ,2023JJ00,,23502.0,23502.0,,,1180.0,4247.0,7210.0,
174,E006670     ,2024JJ00,,23730.0,23730.0,,,965.0,3476.0,8579.0,
175,E006671     ,1990JJ00,,1725.0,0.0,,1725.0,,,0.0,
176,E006671     ,1991JJ00,,1725.0,0.0,,1725.0,,,0.0,
177,E006671     ,1992JJ00,,1755.0,0.0,,1755.0,,,0.0,
178,E006671     ,1993JJ00,,1786.0,0.0,,1786.0,,,0.0,
179,E006671     ,1994JJ00,,1816.0,0.0,,1816.0,,,0.0,
180,E006671     ,1995JJ00,,1946.0,0.0,,1946.0,,,0.0,
181,E006671     ,1996JJ00,,2012.0,0.0,,2012.0,,,0.0,
182,E006671     ,1997JJ00,,2077.0,0.0,,2077.0,,,0.0,
183,E006671     ,1998JJ00,,2128.0,0.0,,2128.0,,,0.0,
184,E006671     ,1999JJ00,,2196.0,0.0,,2196.0,,,0.0,
185,E006671     ,2000JJ00,,2212.0,0.0,,2212.0,,,0.0,
186,E006671     ,2001JJ00,,2268.0,0.0,,2268.0,,,0.0,
187,E006671     ,2002JJ00,,2529.0,0.0,,2529.0,,,0.0,
188,E006671     ,2003JJ00,,2836.0,0.0,,2836.0,,,0.0,
189,E006671     ,2004JJ00,,3686.0,0.0,,3686.0,,,0.0,
190,E006671     ,2005JJ00,,4106.0,0.0,,4106.0,,,0.0,
191,E006671     ,2006JJ00,,5501.0,0.0,,5501.0,,,0.0,
192,E006671     ,2007JJ00,,6145.0,0.0,,6145.0,,,0.0,
193,E006671     ,2008JJ00,,6434.0,0.0,,6434.0,,,0.0,
194,E006671     ,2009JJ00,,6512.0,0.0,,6512.0,,,0.0,
195,E006671     ,2010JJ00,,5477.0,0.0,,5477.0,,,0.0,
196,E006671     ,2011JJ00,,5222.0,0.0,,5222.0,,,0.0,
197,E006671     ,2012JJ00,,5344.0,23.0,,5321.0,,,19.0,
198,E006671     ,2013JJ00,,5485.0,76.0,,5410.0,,,64.0,
199,E006671     ,2014JJ00,,7622.0,422.0,,7199.0,,,359.0,
200,E006671     ,2015JJ00,,8827.0,919.0,,7908.0,,,784.0,
201,E006671     ,2016JJ00,,9699.0,1343.0,,8356.0,,,1151.0,
202,E006671     ,2017JJ00,,9996.0,1196.0,,8800.0,,,1023.0,
203,E006671     ,2018JJ00,,12037.0,1486.0,,10551.0,,,1273.0,
204,E006671     ,2019JJ00,,12999.0,2792.0,,10207.0,,,2345.0,
205,E006671     ,2020JJ00,,15156.0,4641.0,,10515.0,,,3967.0,
206,E006671     ,2021JJ00,,16941.0,6029.0,,10913.0,,,5006.0,
207,E006671     ,2022JJ00,,16246.0,5513.0,,10733.0,,,4816.0,
208,E006671     ,2023JJ00,,13343.0,4272.0,,9071.0,,,3779.0,
209,E006671     ,2024JJ00,,13057.0,4556.0,,8501.0,,,4203.0,
210,E006664     ,1990JJ00,,12851.0,,,12851.0,,,,
211,E006664     ,1991JJ00,,12776.0,,,12776.0,,,,
212,E006664     ,1992JJ00,,12816.0,,,12816.0,,,,
213,E006664     ,1993JJ00,,12944.0,,,12944.0,,,,
214,E006664     ,1994JJ00,,13127.0,,,13127.0,,,,
215,E006664     ,1995JJ00,,13347.0,,,13347.0,,,,
216,E006664     ,1996JJ00,,13744.0,,,13744.0,,,,
217,E006664     ,1997JJ00,,13851.0,,,13851.0,,,,
218,E006664     ,1998JJ00,,13940.0,,,13940.0,,,,
219,E006664     ,1999JJ00,,13999.0,,,13999.0,,,,
220,E006664     ,2000JJ00,,14027.0,,,14027.0,,,,
221,E006664     ,2001JJ00,,13938.0,,,13938.0,,,,
222,E006664     ,2002JJ00,,13856.0,,,13856.0,,,,
223,E006664     ,2003JJ00,,14186.0,,,14186.0,,,,
224,E006664     ,2004JJ00,,14901.0,,,14901.0,,,,
225,E006664     ,2005JJ00,,15664.0,,,15664.0,,,,
226,E006664     ,2006JJ00,,16394.0,,,16394.0,,,,
227,E006664     ,2007JJ00,,16377.0,,,16377.0,,,,
228,E006664     ,2008JJ00,,16522.0,,,16522.0,,,,
229,E006664     ,2009JJ00,,16763.0,,,16763.0,,,,
230,E006664     ,2010JJ00,,17099.0,,,17099.0,,,,
231,E006664     ,2011JJ00,,17414.0,,,17414.0,,,,
232,E006664     ,2012JJ00,,16938.0,,,16938.0,,,,
233,E006664     ,2013JJ00,,17012.0,,,17012.0,,,,
234,E006664     ,2014JJ00,,16898.0,,,16898.0,,,,
235,E006664     ,2015JJ00,,16743.0,,,16743.0,,,,
236,E006664     ,2016JJ00,,16569.0,,,16569.0,,,,
237,E006664     ,2017JJ00,,16432.0,,,16432.0,,,,
238,E006664     ,2018JJ00,,16446.0,,,16446.0,,,,
239,E006664     ,2019JJ00,,16278.0,,,16278.0,,,,
240,E006664     ,2020JJ00,,16168.0,,,16168.0,,,,
241,E006664     ,2021JJ00,,16189.0,,,16189.0,,,,
242,E006664     ,2022JJ00,,16195.0,,,16195.0,,,,
243,E006664     ,2023JJ00,,16180.0,,,16180.0,,,,
244,E006664     ,2024JJ00,,16155.0,,,16155.0,,,,
245,E006665     ,1990JJ00,554000.0,3834.0,,,3834.0,,,,
246,E006665     ,1991JJ00,543000.0,3762.0,,,3762.0,,,,
247,E006665     ,1992JJ00,532000.0,3688.0,,,3688.0,,,,
248,E006665     ,1993JJ00,521000.0,3612.0,,,3612.0,,,,
249,E006665     ,1994JJ00,509000.0,3535.0,,,3535.0,,,,
250,E006665     ,1995JJ00,501000.0,3457.0,,,3457.0,,,,
251,E006665     ,1996JJ00,492000.0,3399.0,,,3399.0,,,,
252,E006665     ,1997JJ00,483000.0,3341.0,,,3341.0,,,,
253,E006665     ,1998JJ00,475000.0,3282.0,,,3282.0,,,,
254,E006665     ,1999JJ00,466000.0,3224.0,,,3224.0,,,,
255,E006665     ,2000JJ00,461000.0,3165.0,,,3165.0,,,,
256,E006665     ,2001JJ00,455000.0,3127.0,,,3127.0,,,,
257,E006665     ,2002JJ00,449000.0,3090.0,,,3090.0,,,,
258,E006665     ,2003JJ00,443000.0,3050.0,,,3050.0,,,,
259,E006665     ,2004JJ00,438000.0,3011.0,,,3011.0,,,,
260,E006665     ,2005JJ00,435000.0,2972.0,,,2972.0,,,,
261,E006665     ,2006JJ00,433000.0,2952.0,,,2952.0,,,,
262,E006665     ,2007JJ00,421000.0,2938.0,,,2938.0,,,,
263,E006665     ,2008JJ00,409000.0,2856.0,,,2856.0,,,,
264,E006665     ,2009JJ00,398000.0,2777.0,,,2777.0,,,,
265,E006665     ,2010JJ00,387000.0,2700.0,,,2700.0,,,,
266,E006665     ,2011JJ00,375000.0,2624.0,,,2624.0,,,,
267,E006665     ,2012JJ00,364000.0,2549.0,,,2549.0,,,,
268,E006665     ,2013JJ00,353000.0,2472.0,,,2472.0,,,,
269,E006665     ,2014JJ00,342000.0,2397.0,,,2397.0,,,,
270,E006665     ,2015JJ00,331000.0,2322.0,,,2322.0,,,,
271,E006665     ,2016JJ00,320000.0,2247.0,,,2247.0,,,,
272,E006665     ,2017JJ00,310000.0,2174.0,,,2174.0,,,,
273,E006665     ,2018JJ00,299000.0,2103.0,,,2103.0,,,,
274,E006665     ,2019JJ00,289000.0,2008.0,,,2008.0,,,,
275,E006665     ,2020JJ00,280000.0,1917.0,,,1917.0,,,,
276,E006665     ,2021JJ00,270000.0,1845.0,,,1845.0,,,,
277,E006665     ,2022JJ00,261000.0,1775.0,,,1775.0,,,,
278,E006665     ,2023JJ00,252000.0,1707.0,,,1707.0,,,,
279,E006665     ,2024JJ00,243000.0,1642.0,,,1642.0,,,,
280,E006666     ,1990JJ00,168000.0,2612.0,,,2612.0,,,,
281,E006666     ,1991JJ00,188000.0,2988.0,,,2988.0,,,,
282,E006666     ,1992JJ00,209000.0,3460.0,,,3460.0,,,,
283,E006666     ,1993JJ00,229000.0,3991.0,,,3991.0,,,,
284,E006666     ,1994JJ00,249000.0,4556.0,,,4556.0,,,,
285,E006666     ,1995JJ00,248000.0,5141.0,,,5141.0,,,,
286,E006666     ,1996JJ00,246000.0,5379.0,,,5379.0,,,,
287,E006666     ,1997JJ00,244000.0,5344.0,,,5344.0,,,,
288,E006666     ,1998JJ00,241000.0,5296.0,,,5296.0,,,,
289,E006666     ,1999JJ00,238000.0,5238.0,,,5238.0,,,,
290,E006666     ,2000JJ00,234000.0,5171.0,,,5171.0,,,,
291,E006666     ,2001JJ00,230000.0,5088.0,,,5088.0,,,,
292,E006666     ,2002JJ00,226000.0,4998.0,,,4998.0,,,,
293,E006666     ,2003JJ00,221000.0,4894.0,,,4894.0,,,,
294,E006666     ,2004JJ00,216000.0,4785.0,,,4785.0,,,,
295,E006666     ,2005JJ00,207000.0,4672.0,,,4672.0,,,,
296,E006666     ,2006JJ00,198000.0,4483.0,,,4483.0,,,,
297,E006666     ,2007JJ00,195000.0,4295.0,,,4295.0,,,,
298,E006666     ,2008JJ00,192000.0,4214.0,,,4214.0,,,,
299,E006666     ,2009JJ00,190000.0,4154.0,,,4154.0,,,,
300,E006666     ,2010JJ00,189000.0,4115.0,,,4115.0,,,,
301,E006666     ,2011JJ00,187000.0,4080.0,,,4080.0,,,,
302,E006666     ,2012JJ00,184000.0,3357.0,,,3357.0,,,,
303,E006666     ,2013JJ00,185000.0,3157.0,,,3157.0,,,,
304,E006666     ,2014JJ00,185000.0,3002.0,,,3002.0,,,,
305,E006666     ,2015JJ00,185000.0,2849.0,,,2849.0,,,,
306,E006666     ,2016JJ00,184000.0,2701.0,,,2701.0,,,,
307,E006666     ,2017JJ00,184000.0,2562.0,,,2562.0,,,,
308,E006666     ,2018JJ00,184000.0,2421.0,,,2421.0,,,,
309,E006666     ,2019JJ00,185000.0,2266.0,,,2266.0,,,,
310,E006666     ,2020JJ00,185000.0,2242.0,,,2242.0,,,,
311,E006666     ,2021JJ00,185000.0,2239.0,,,2239.0,,,,
312,E006666     ,2022JJ00,184000.0,2229.0,,,2229.0,,,,
313,E006666     ,2023JJ00,184000.0,2222.0,,,2222.0,,,,
314,E006666     ,2024JJ00,184000.0,2218.0,,,2218.0,,,,
315,E006667     ,1990JJ00,176000.0,6135.0,,,6135.0,,,,
316,E006667     ,1991JJ00,171000.0,5756.0,,,5756.0,,,,
317,E006667     ,1992JJ00,166000.0,5398.0,,,5398.0,,,,
318,E006667     ,1993JJ00,162000.0,5070.0,,,5070.0,,,,
319,E006667     ,1994JJ00,158000.0,4766.0,,,4766.0,,,,
320,E006667     ,1995JJ00,172000.0,4479.0,,,4479.0,,,,
321,E006667     ,1996JJ00,186000.0,4695.0,,,4695.0,,,,
322,E006667     ,1997JJ00,202000.0,4897.0,,,4897.0,,,,
323,E006667     ,1998JJ00,218000.0,5091.0,,,5091.0,,,,
324,E006667     ,1999JJ00,234000.0,5267.0,,,5267.0,,,,
325,E006667     ,2000JJ00,247000.0,5421.0,,,5421.0,,,,
326,E006667     ,2001JJ00,260000.0,5453.0,,,5453.0,,,,
327,E006667     ,2002JJ00,271000.0,5498.0,,,5498.0,,,,
328,E006667     ,2003JJ00,283000.0,5972.0,,,5972.0,,,,
329,E006667     ,2004JJ00,296000.0,6835.0,,,6835.0,,,,
330,E006667     ,2005JJ00,307000.0,7750.0,,,7750.0,,,,
331,E006667     ,2006JJ00,319000.0,8689.0,,,8689.0,,,,
332,E006667     ,2007JJ00,336000.0,8875.0,,,8875.0,,,,
333,E006667     ,2008JJ00,357000.0,9182.0,,,9182.0,,,,
