ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswonendenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20192021_7,Eenpersoonshuishoudens31122021_8,Eenpersoonshuishoudens31122020_9,Eenpersoonshuishoudens31122019_10,Gemiddelde20192021_11,Meerpersoonshuishoudens31122021_12,Meerpersoonshuishoudens31122020_13,Meerpersoonshuishoudens31122019_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleidenGemiddelde20162020_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122020_25,PersonenMetBijstand31122021_26,WajongUitkeringen31122021_27,PersonenMetLoonkostensubs31122021_28,PsychischMedicijngebruikOuders2021_29
10,GM0484,72210.0,22160.0,49410.0,17610.0,12370.0,1420.0,390.0,380.0,400.0,390.0,460.0,450.0,480.0,460.0,46900.0,26200.0,16800.0,27300.0,22400.0,2100.0,1900.0,60.0,9.0,15.0,9730.0,1880.0,1470.0,130.0,1230.0
11,GM1723,6380.0,1870.0,4330.0,1570.0,1020.0,90.0,20.0,10.0,20.0,20.0,20.0,20.0,30.0,30.0,4000.0,27500.0,1500.0,29400.0,1800.0,200.0,200.0,6.0,1.0,14.0,760.0,90.0,70.0,10.0,60.0
12,GM1959,35700.0,11910.0,23010.0,8990.0,6170.0,490.0,130.0,130.0,140.0,120.0,160.0,160.0,170.0,160.0,21400.0,26100.0,8500.0,27300.0,11900.0,700.0,700.0,29.0,7.0,23.0,4640.0,580.0,540.0,80.0,640.0
13,GM0060,2290.0,680.0,1760.0,510.0,350.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,22400.0,500.0,23500.0,800.0,100.0,100.0,1.0,0.0,12.0,270.0,10.0,30.0,10.0,30.0
14,GM0307,105900.0,33900.0,70600.0,25210.0,18720.0,2070.0,870.0,860.0,890.0,880.0,940.0,930.0,950.0,960.0,67500.0,26100.0,24500.0,27800.0,35100.0,3700.0,3400.0,87.0,10.0,11.0,14210.0,4020.0,1900.0,160.0,1800.0
15,GM0362,58060.0,19190.0,43960.0,14730.0,11110.0,1330.0,310.0,330.0,320.0,290.0,340.0,360.0,350.0,320.0,41800.0,28000.0,13200.0,32500.0,16700.0,1500.0,1300.0,47.0,4.0,9.0,9990.0,1330.0,660.0,40.0,600.0
16,GM0363,657980.0,148740.0,494080.0,116660.0,85250.0,15490.0,9400.0,9340.0,9450.0,9390.0,9650.0,10030.0,9490.0,9440.0,452300.0,23700.0,109000.0,25700.0,141700.0,34400.0,30900.0,509.0,48.0,9.0,130630.0,50490.0,8500.0,960.0,6200.0
17,GM0200,104450.0,31010.0,75000.0,24400.0,17260.0,1970.0,830.0,800.0,840.0,850.0,890.0,860.0,900.0,900.0,72600.0,24600.0,23200.0,25800.0,30700.0,3500.0,3200.0,84.0,13.0,15.0,17460.0,4150.0,3220.0,180.0,1490.0
18,GM0202,113130.0,29890.0,83210.0,23090.0,17300.0,2470.0,1640.0,1610.0,1650.0,1670.0,1710.0,1650.0,1720.0,1750.0,77300.0,21800.0,21500.0,23900.0,28400.0,5500.0,4800.0,83.0,11.0,13.0,23510.0,8420.0,3950.0,260.0,1720.0
19,GM0106,43790.0,13300.0,31910.0,10150.0,7400.0,990.0,400.0,380.0,410.0,420.0,490.0,480.0,490.0,490.0,31400.0,23000.0,10100.0,23700.0,14200.0,1900.0,1800.0,35.0,4.0,12.0,8220.0,2280.0,1620.0,140.0,800.0
20,GM0743,10630.0,3100.0,7330.0,2550.0,1660.0,140.0,30.0,30.0,30.0,30.0,50.0,60.0,50.0,50.0,7100.0,25200.0,2500.0,27700.0,3300.0,300.0,300.0,10.0,2.0,20.0,1320.0,220.0,160.0,20.0,100.0
21,GM0744,4100.0,1130.0,3070.0,980.0,650.0,70.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,3000.0,24400.0,900.0,27800.0,1000.0,100.0,100.0,4.0,1.0,20.0,620.0,110.0,60.0,10.0,60.0
22,GM0308,14790.0,4740.0,11160.0,3570.0,2600.0,280.0,70.0,70.0,70.0,70.0,80.0,80.0,90.0,90.0,11800.0,27800.0,3400.0,31200.0,4600.0,400.0,400.0,13.0,2.0,14.0,2520.0,420.0,760.0,10.0,220.0
23,GM0489,31270.0,10510.0,19500.0,8570.0,5910.0,680.0,150.0,140.0,150.0,140.0,180.0,170.0,180.0,180.0,18900.0,29000.0,8400.0,29800.0,11200.0,800.0,800.0,26.0,3.0,13.0,3830.0,630.0,380.0,40.0,430.0
24,GM0203,37330.0,15520.0,22890.0,9550.0,7100.0,500.0,130.0,130.0,150.0,130.0,170.0,180.0,180.0,160.0,20800.0,25300.0,8500.0,26200.0,13900.0,900.0,1000.0,30.0,7.0,23.0,4630.0,710.0,690.0,80.0,670.0
25,GM0888,9600.0,2400.0,7370.0,2270.0,1450.0,180.0,50.0,50.0,50.0,50.0,60.0,60.0,60.0,60.0,7400.0,25300.0,2400.0,27100.0,2700.0,300.0,300.0,7.0,1.0,16.0,1470.0,300.0,190.0,10.0,110.0
26,GM1954,21690.0,5700.0,16290.0,5310.0,3390.0,350.0,90.0,90.0,90.0,100.0,120.0,120.0,120.0,120.0,16300.0,25200.0,5400.0,26700.0,5900.0,600.0,500.0,19.0,4.0,20.0,3430.0,560.0,450.0,40.0,260.0
27,GM0889,8280.0,2260.0,5980.0,2030.0,1320.0,150.0,50.0,50.0,50.0,60.0,50.0,50.0,60.0,60.0,5800.0,23800.0,2100.0,24900.0,2500.0,200.0,200.0,8.0,2.0,21.0,1190.0,250.0,220.0,20.0,110.0
28,GM1945,21330.0,5720.0,15910.0,5080.0,3340.0,350.0,150.0,160.0,150.0,150.0,180.0,160.0,180.0,190.0,15800.0,24200.0,5000.0,26200.0,6100.0,500.0,500.0,18.0,4.0,20.0,3500.0,870.0,690.0,40.0,280.0
29,GM1724,11820.0,3310.0,8050.0,2830.0,1800.0,170.0,30.0,30.0,20.0,30.0,40.0,40.0,40.0,40.0,7600.0,26400.0,2800.0,27800.0,3600.0,300.0,300.0,9.0,2.0,16.0,1420.0,160.0,160.0,40.0,140.0
30,GM0893,8180.0,2070.0,5720.0,1950.0,1150.0,120.0,30.0,30.0,30.0,40.0,40.0,40.0,40.0,50.0,5600.0,23800.0,2000.0,25000.0,2400.0,200.0,200.0,7.0,1.0,20.0,1140.0,180.0,170.0,20.0,100.0
31,GM0373,16420.0,4390.0,13980.0,4060.0,2500.0,350.0,60.0,70.0,60.0,60.0,70.0,70.0,70.0,70.0,14300.0,29100.0,4000.0,30800.0,4900.0,400.0,400.0,13.0,1.0,11.0,2820.0,360.0,470.0,30.0,140.0
32,GM0748,42610.0,12310.0,30750.0,9980.0,6920.0,940.0,420.0,420.0,430.0,420.0,520.0,520.0,520.0,510.0,30600.0,24400.0,9700.0,25700.0,12100.0,1900.0,1700.0,32.0,6.0,18.0,8040.0,2180.0,1020.0,80.0,680.0
33,GM1859,26590.0,7560.0,19040.0,6390.0,4160.0,400.0,110.0,100.0,120.0,120.0,140.0,130.0,140.0,130.0,19000.0,24100.0,6500.0,25400.0,8600.0,700.0,600.0,23.0,5.0,23.0,3440.0,630.0,630.0,130.0,290.0
34,GM1721,19980.0,6040.0,12990.0,4970.0,3310.0,320.0,60.0,60.0,60.0,70.0,80.0,80.0,80.0,80.0,11900.0,26300.0,4700.0,28100.0,6400.0,500.0,400.0,17.0,3.0,19.0,2270.0,360.0,320.0,60.0,250.0
35,GM0753,19990.0,5700.0,13340.0,4910.0,3270.0,370.0,100.0,90.0,100.0,110.0,120.0,110.0,110.0,130.0,12000.0,27400.0,4700.0,28700.0,6000.0,400.0,400.0,16.0,2.0,14.0,2670.0,460.0,250.0,60.0,300.0
36,GM0209,16780.0,4820.0,11380.0,4180.0,2790.0,280.0,90.0,80.0,90.0,100.0,100.0,100.0,100.0,110.0,10700.0,26000.0,4200.0,27400.0,5000.0,500.0,400.0,14.0,2.0,16.0,2050.0,440.0,270.0,20.0,260.0
37,GM0375,27580.0,7970.0,19440.0,6730.0,4650.0,620.0,240.0,250.0,240.0,240.0,280.0,280.0,280.0,280.0,18700.0,23800.0,6300.0,24700.0,7900.0,1100.0,1000.0,23.0,5.0,23.0,4330.0,1070.0,610.0,40.0,410.0
38,GM0310,25470.0,9180.0,19370.0,6680.0,4930.0,490.0,130.0,150.0,130.0,120.0,170.0,180.0,170.0,160.0,19500.0,30900.0,6100.0,34000.0,8600.0,800.0,700.0,20.0,2.0,10.0,3440.0,710.0,410.0,30.0,440.0
39,GM1728,13060.0,3750.0,8880.0,3080.0,2040.0,190.0,30.0,30.0,30.0,30.0,40.0,40.0,40.0,40.0,8400.0,25600.0,3000.0,27200.0,3900.0,300.0,300.0,12.0,2.0,17.0,1500.0,180.0,210.0,50.0,180.0
40,GM0376,7010.0,2870.0,5170.0,2030.0,1560.0,140.0,20.0,30.0,20.0,20.0,40.0,40.0,30.0,30.0,4200.0,38600.0,1300.0,42500.0,1800.0,200.0,200.0,5.0,1.0,16.0,1040.0,150.0,60.0,10.0,110.0
41,GM0377,13140.0,5250.0,9890.0,3630.0,2710.0,230.0,30.0,30.0,30.0,30.0,50.0,60.0,50.0,40.0,9900.0,40200.0,3300.0,46100.0,4800.0,300.0,300.0,10.0,1.0,6.0,2050.0,260.0,180.0,0.0,170.0
42,GM1901,22100.0,7600.0,14800.0,5640.0,3970.0,360.0,80.0,80.0,80.0,70.0,110.0,100.0,110.0,110.0,13500.0,29000.0,5200.0,29400.0,7300.0,600.0,600.0,18.0,3.0,14.0,2620.0,400.0,330.0,50.0,310.0
43,GM0755,7130.0,2160.0,4340.0,1740.0,1140.0,110.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,4100.0,24400.0,1600.0,26400.0,2200.0,200.0,200.0,7.0,1.0,20.0,780.0,110.0,150.0,30.0,70.0
44,GM1681,15570.0,4350.0,11320.0,3610.0,2400.0,220.0,90.0,80.0,100.0,100.0,110.0,90.0,110.0,120.0,11100.0,23700.0,3600.0,24600.0,4700.0,500.0,500.0,13.0,2.0,19.0,2660.0,490.0,440.0,40.0,160.0
45,GM0147,14530.0,5000.0,10040.0,3800.0,2760.0,240.0,60.0,50.0,60.0,60.0,80.0,80.0,70.0,80.0,9300.0,25800.0,3500.0,26800.0,4600.0,400.0,300.0,13.0,2.0,13.0,1840.0,360.0,390.0,50.0,190.0
46,GM0654,14160.0,4570.0,9650.0,3380.0,2330.0,220.0,50.0,50.0,50.0,50.0,60.0,50.0,50.0,70.0,9500.0,25400.0,3400.0,26400.0,5000.0,400.0,400.0,13.0,2.0,19.0,1810.0,250.0,280.0,30.0,220.0
47,GM0757,20650.0,6110.0,14770.0,4900.0,3380.0,380.0,110.0,100.0,120.0,120.0,130.0,120.0,130.0,130.0,13500.0,25000.0,4500.0,26300.0,5900.0,700.0,600.0,18.0,3.0,17.0,3050.0,490.0,380.0,120.0,330.0
48,GM0758,121660.0,34070.0,89180.0,26480.0,19140.0,2470.0,1000.0,990.0,1000.0,990.0,1120.0,1120.0,1130.0,1120.0,87400.0,24700.0,25500.0,27900.0,33900.0,4300.0,4000.0,101.0,13.0,13.0,18590.0,5130.0,2090.0,10.0,1620.0
49,GM0501,11110.0,3040.0,7970.0,2700.0,1800.0,200.0,60.0,60.0,60.0,50.0,60.0,70.0,70.0,60.0,7500.0,27800.0,2500.0,28900.0,2900.0,300.0,300.0,8.0,1.0,15.0,1530.0,240.0,190.0,10.0,140.0
50,GM1876,21690.0,5950.0,15630.0,5170.0,3250.0,300.0,60.0,60.0,60.0,60.0,80.0,70.0,80.0,80.0,15700.0,25500.0,5400.0,26400.0,7000.0,500.0,500.0,20.0,4.0,18.0,2730.0,370.0,450.0,60.0,240.0
51,GM0213,12650.0,3410.0,9190.0,3000.0,1930.0,180.0,60.0,50.0,60.0,60.0,60.0,50.0,70.0,80.0,9300.0,25400.0,3100.0,26200.0,3900.0,300.0,300.0,9.0,2.0,20.0,1770.0,290.0,340.0,60.0,210.0
52,GM0899,17020.0,4200.0,13680.0,3930.0,2540.0,360.0,190.0,170.0,190.0,210.0,180.0,160.0,190.0,200.0,13900.0,21800.0,4200.0,22600.0,4600.0,900.0,800.0,14.0,3.0,23.0,3430.0,810.0,620.0,60.0,260.0
53,GM0312,9260.0,3420.0,6620.0,2450.0,1810.0,150.0,20.0,20.0,20.0,20.0,30.0,40.0,30.0,30.0,6300.0,30000.0,2200.0,31800.0,3100.0,100.0,100.0,10.0,1.0,9.0,940.0,160.0,120.0,10.0,150.0
54,GM0313,14330.0,5100.0,8620.0,3730.0,2670.0,200.0,40.0,30.0,40.0,30.0,50.0,50.0,50.0,50.0,7900.0,25800.0,3500.0,27400.0,4900.0,300.0,300.0,10.0,3.0,25.0,1460.0,220.0,220.0,20.0,240.0
55,GM0214,17280.0,5110.0,11300.0,4270.0,2850.0,240.0,50.0,50.0,50.0,50.0,70.0,70.0,70.0,70.0,10600.0,27200.0,4100.0,28100.0,5400.0,400.0,400.0,14.0,3.0,21.0,2190.0,260.0,200.0,10.0,210.0
56,GM0502,42130.0,12830.0,31560.0,10600.0,7210.0,1480.0,630.0,610.0,660.0,640.0,610.0,600.0,620.0,610.0,30900.0,25000.0,10600.0,25500.0,12400.0,2300.0,2100.0,35.0,6.0,19.0,7500.0,2080.0,750.0,90.0,520.0
57,GM0383,21680.0,6550.0,16030.0,5470.0,3660.0,390.0,60.0,70.0,60.0,60.0,90.0,100.0,90.0,90.0,15400.0,28900.0,5100.0,30600.0,6500.0,400.0,400.0,20.0,3.0,13.0,2640.0,420.0,370.0,50.0,210.0
58,GM0109,21500.0,6290.0,15690.0,5130.0,3430.0,380.0,160.0,160.0,170.0,160.0,210.0,200.0,220.0,210.0,15600.0,23700.0,5200.0,24200.0,6800.0,900.0,900.0,17.0,3.0,19.0,3680.0,870.0,490.0,40.0,300.0
59,GM1706,12680.0,3490.0,8980.0,2960.0,1910.0,190.0,50.0,40.0,40.0,50.0,70.0,60.0,60.0,80.0,8800.0,25500.0,3100.0,26900.0,3700.0,400.0,300.0,11.0,2.0,20.0,2180.0,280.0,180.0,20.0,170.0
60,GM0216,18780.0,6010.0,12890.0,4740.0,3400.0,340.0,100.0,90.0,100.0,100.0,130.0,120.0,140.0,150.0,11900.0,25400.0,4500.0,26600.0,6000.0,600.0,600.0,16.0,2.0,14.0,2730.0,570.0,310.0,60.0,310.0
61,GM0148,17920.0,5990.0,11920.0,4540.0,3160.0,230.0,40.0,40.0,40.0,40.0,70.0,80.0,70.0,70.0,11200.0,25200.0,4300.0,26300.0,6100.0,400.0,400.0,15.0,2.0,14.0,1920.0,310.0,320.0,40.0,270.0
62,GM1891,11470.0,3770.0,7910.0,2910.0,1920.0,180.0,90.0,90.0,80.0,90.0,90.0,90.0,90.0,90.0,8000.0,21700.0,3000.0,22800.0,4000.0,500.0,500.0,9.0,2.0,23.0,2240.0,500.0,360.0,80.0,190.0
63,GM0503,74580.0,15370.0,59330.0,12290.0,8780.0,1360.0,790.0,750.0,800.0,810.0,770.0,750.0,780.0,780.0,53200.0,20700.0,11700.0,26000.0,14400.0,2600.0,2300.0,55.0,5.0,10.0,12410.0,3380.0,1260.0,190.0,790.0
64,GM0762,20310.0,6070.0,14020.0,4850.0,3160.0,350.0,70.0,70.0,70.0,80.0,90.0,90.0,100.0,100.0,13600.0,24300.0,4800.0,25800.0,6000.0,600.0,500.0,18.0,4.0,20.0,2810.0,420.0,550.0,80.0,220.0
65,GM0150,66570.0,19370.0,47330.0,15220.0,11030.0,1340.0,660.0,650.0,680.0,670.0,690.0,660.0,690.0,720.0,44900.0,23300.0,14900.0,24600.0,20100.0,2700.0,2400.0,52.0,9.0,16.0,11350.0,3120.0,1940.0,200.0,1240.0
66,GM0384,22150.0,5520.0,16230.0,4580.0,3280.0,480.0,120.0,120.0,130.0,120.0,140.0,140.0,140.0,140.0,13200.0,23300.0,3800.0,27100.0,4500.0,700.0,600.0,16.0,1.0,8.0,3250.0,590.0,220.0,20.0,180.0
67,GM1980,55640.0,18370.0,36540.0,14400.0,10120.0,1200.0,300.0,290.0,300.0,300.0,340.0,360.0,340.0,340.0,34000.0,25100.0,13100.0,25600.0,18000.0,1800.0,1500.0,45.0,7.0,15.0,7680.0,1260.0,1520.0,200.0,870.0
68,GM1774,16630.0,4860.0,10520.0,4210.0,2580.0,230.0,40.0,30.0,40.0,30.0,60.0,60.0,60.0,60.0,10200.0,25600.0,4100.0,27800.0,5500.0,300.0,300.0,12.0,2.0,14.0,1650.0,270.0,300.0,50.0,130.0
69,GM0221,6680.0,1700.0,5290.0,1600.0,1020.0,150.0,60.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,5200.0,23100.0,1700.0,23200.0,2100.0,400.0,300.0,6.0,1.0,21.0,1280.0,300.0,240.0,20.0,130.0
70,GM0222,37130.0,10820.0,26330.0,8720.0,6060.0,710.0,280.0,280.0,280.0,270.0,310.0,290.0,310.0,320.0,25700.0,23700.0,8500.0,24700.0,11000.0,1200.0,1100.0,28.0,5.0,17.0,6220.0,1420.0,1510.0,170.0,570.0
71,GM0766,16660.0,4810.0,11410.0,4110.0,2770.0,280.0,60.0,60.0,70.0,60.0,80.0,80.0,90.0,80.0,11000.0,25200.0,3900.0,26700.0,5000.0,400.0,400.0,15.0,3.0,19.0,2100.0,380.0,260.0,40.0,240.0
72,GM0505,77630.0,22340.0,55510.0,18350.0,12620.0,1840.0,1030.0,1010.0,1030.0,1050.0,1020.0,1000.0,1010.0,1040.0,55600.0,23600.0,18000.0,24600.0,22500.0,3600.0,3200.0,62.0,9.0,14.0,14410.0,4380.0,1580.0,360.0,1380.0
73,GM0498,12380.0,3900.0,8380.0,3110.0,2130.0,230.0,50.0,50.0,50.0,50.0,70.0,70.0,70.0,70.0,8100.0,26100.0,2900.0,27600.0,4000.0,300.0,300.0,12.0,3.0,22.0,1470.0,200.0,280.0,30.0,130.0
74,GM1719,17120.0,4640.0,11830.0,4110.0,2660.0,280.0,40.0,50.0,40.0,40.0,50.0,60.0,50.0,50.0,11500.0,26200.0,4000.0,27900.0,5000.0,300.0,300.0,13.0,2.0,15.0,2240.0,220.0,370.0,40.0,210.0
75,GM0303,27910.0,8590.0,18290.0,6480.0,4580.0,540.0,150.0,160.0,150.0,140.0,170.0,170.0,180.0,170.0,17000.0,24200.0,6100.0,25300.0,8700.0,1000.0,1000.0,22.0,3.0,12.0,4180.0,730.0,610.0,60.0,460.0
76,GM0225,12350.0,3560.0,8040.0,3040.0,2060.0,200.0,70.0,70.0,70.0,70.0,80.0,70.0,90.0,80.0,7800.0,24300.0,2900.0,26500.0,3800.0,400.0,400.0,10.0,2.0,17.0,1780.0,330.0,460.0,30.0,190.0
77,GM0226,16260.0,4500.0,10710.0,4130.0,2630.0,280.0,100.0,90.0,100.0,100.0,110.0,100.0,110.0,110.0,10600.0,25400.0,4400.0,26100.0,5500.0,500.0,400.0,14.0,2.0,11.0,2230.0,510.0,330.0,40.0,240.0
78,GM1711,19380.0,4760.0,14380.0,4530.0,2810.0,310.0,80.0,80.0,80.0,90.0,120.0,120.0,120.0,120.0,14700.0,24300.0,4600.0,26200.0,5000.0,600.0,500.0,17.0,2.0,13.0,3370.0,520.0,590.0,40.0,230.0
79,GM0385,23000.0,6910.0,15190.0,5950.0,3920.0,360.0,60.0,70.0,60.0,60.0,100.0,110.0,100.0,100.0,14600.0,27700.0,5800.0,30300.0,7500.0,400.0,400.0,20.0,5.0,24.0,2480.0,370.0,280.0,20.0,230.0
80,GM0228,75920.0,25910.0,50690.0,17840.0,12990.0,1130.0,350.0,360.0,350.0,360.0,480.0,480.0,480.0,470.0,47700.0,24500.0,16200.0,26100.0,24300.0,2400.0,2300.0,61.0,11.0,17.0,10770.0,2100.0,1870.0,140.0,1220.0
81,GM0317,5890.0,1890.0,4050.0,1550.0,1060.0,130.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3700.0,28700.0,1500.0,29000.0,1900.0,200.0,200.0,5.0,1.0,11.0,730.0,100.0,100.0,10.0,100.0
82,GM1979,27480.0,7860.0,21320.0,6350.0,4280.0,670.0,380.0,350.0,380.0,400.0,410.0,390.0,420.0,430.0,22200.0,22200.0,6800.0,22800.0,8500.0,1500.0,1300.0,22.0,4.0,19.0,6030.0,1600.0,970.0,130.0,370.0
83,GM0770,12320.0,3620.0,8350.0,2940.0,1930.0,160.0,20.0,20.0,20.0,20.0,40.0,40.0,50.0,50.0,7900.0,27400.0,2700.0,29300.0,3400.0,300.0,300.0,10.0,2.0,24.0,1620.0,140.0,410.0,40.0,160.0
84,GM1903,15420.0,4490.0,11260.0,3890.0,2530.0,180.0,40.0,40.0,40.0,40.0,60.0,60.0,60.0,60.0,10700.0,26900.0,3800.0,28800.0,4400.0,300.0,300.0,14.0,2.0,13.0,1970.0,300.0,200.0,10.0,180.0
85,GM0772,165510.0,39700.0,123760.0,32010.0,23160.0,3150.0,1650.0,1640.0,1650.0,1650.0,1660.0,1620.0,1670.0,1680.0,112900.0,23000.0,29600.0,25300.0,38200.0,6300.0,5600.0,126.0,15.0,12.0,28060.0,7650.0,2840.0,590.0,1880.0
86,GM0230,14710.0,5200.0,9510.0,3740.0,2650.0,240.0,60.0,60.0,70.0,60.0,80.0,90.0,80.0,70.0,9200.0,24000.0,3600.0,24400.0,5300.0,400.0,400.0,12.0,2.0,20.0,2090.0,310.0,360.0,40.0,320.0
87,GM0114,66960.0,18920.0,49110.0,15980.0,10680.0,1450.0,790.0,750.0,810.0,830.0,840.0,790.0,870.0,880.0,48800.0,22000.0,16100.0,22800.0,20200.0,3300.0,3000.0,51.0,11.0,22.0,13410.0,3800.0,2110.0,310.0,990.0
88,GM0388,11580.0,3490.0,8710.0,2770.0,1950.0,280.0,90.0,80.0,100.0,100.0,90.0,90.0,90.0,110.0,8500.0,23700.0,2700.0,24500.0,3500.0,400.0,400.0,11.0,2.0,17.0,1800.0,340.0,400.0,20.0,180.0
89,GM0153,108690.0,28060.0,80540.0,22300.0,15960.0,2280.0,1400.0,1340.0,1420.0,1450.0,1550.0,1480.0,1560.0,1620.0,77000.0,20400.0,22200.0,22600.0,28900.0,5900.0,5200.0,79.0,12.0,16.0,22030.0,7340.0,3760.0,360.0,1380.0
90,GM0232,19750.0,5950.0,14370.0,4840.0,3210.0,270.0,100.0,90.0,100.0,100.0,120.0,100.0,120.0,130.0,14100.0,25600.0,4700.0,26100.0,6000.0,600.0,500.0,16.0,3.0,20.0,3020.0,460.0,480.0,40.0,280.0
91,GM0233,16610.0,5180.0,11420.0,3860.0,2590.0,250.0,70.0,70.0,80.0,70.0,90.0,100.0,100.0,90.0,11800.0,25400.0,3600.0,27500.0,4900.0,400.0,400.0,13.0,2.0,16.0,2870.0,420.0,840.0,50.0,240.0
92,GM0777,27540.0,8730.0,19090.0,7010.0,4940.0,580.0,180.0,180.0,180.0,180.0,220.0,230.0,220.0,220.0,18400.0,25400.0,6700.0,26700.0,8600.0,900.0,800.0,23.0,4.0,19.0,3930.0,860.0,480.0,40.0,440.0
93,GM1940,31180.0,9830.0,22360.0,7580.0,5250.0,500.0,160.0,150.0,170.0,170.0,190.0,180.0,190.0,210.0,22100.0,24300.0,7600.0,25200.0,10800.0,1000.0,900.0,27.0,4.0,14.0,4370.0,870.0,580.0,70.0,380.0
