ID,BedrijfstakBrancheSBI2008,Perioden,IndexcijfersOmzet_1,Omzetontwikkeling_2
329,36000,2012MM06,99.3,-14.2
330,36000,2012KW02,98.5,-13.5
331,36000,2012MM07,112.6,-4.9
332,36000,2012MM08,90.8,-6.6
333,36000,2012MM09,93.2,-11.1
334,36000,2012KW03,98.9,-7.4
335,36000,2012MM10,108.4,-7.2
336,36000,2012MM11,90.3,-8.4
337,36000,2012MM12,98.1,-10.4
338,36000,2012KW04,98.9,-8.7
339,36000,2012JJ00,100.3,-7.7
