ID,Watergebruikers,Perioden,GebruikVanLeidingwater_1,TotaalGebruikVanGrondwater_2,GebruikVanGrondwaterVoorKoeling_3,OverigeGebruikVanGrondWater_4,GebruikVanOppervlakteWater_5
179,30,2008JJ00,26.1,,,,
180,31,2003JJ00,10.0,,,,
181,31,2004JJ00,7.7,,,,
182,31,2005JJ00,7.7,,,,
183,31,2006JJ00,7.6,,,,
184,31,2007JJ00,7.9,,,,
185,31,2008JJ00,8.4,,,,
186,32,2003JJ00,31.0,,,,
187,32,2004JJ00,23.9,,,,
188,32,2005JJ00,25.0,,,,
189,32,2006JJ00,26.3,,,,
190,32,2007JJ00,28.3,,,,
191,32,2008JJ00,30.7,,,,
192,33,2003JJ00,20.3,,,,
193,33,2004JJ00,15.4,,,,
194,33,2005JJ00,15.4,,,,
195,33,2006JJ00,15.2,,,,
196,33,2007JJ00,15.7,,,,
197,33,2008JJ00,16.6,,,,
198,34,2003JJ00,30.0,,,,
199,34,2004JJ00,24.4,,,,
200,34,2005JJ00,24.3,,,,
201,34,2006JJ00,25.5,,,,
202,34,2007JJ00,25.6,,,,
203,34,2008JJ00,28.4,,,,
204,35,2003JJ00,19.1,,,,
205,35,2004JJ00,15.0,,,,
206,35,2005JJ00,15.5,,,,
207,35,2006JJ00,15.8,,,,
208,35,2007JJ00,16.4,,,,
209,35,2008JJ00,17.7,,,,
210,36,2003JJ00,3.2,1.9,0.0,1.9,529.7
211,36,2004JJ00,3.3,2.3,0.0,2.3,531.4
212,36,2005JJ00,2.6,1.4,0.0,1.4,480.6
213,36,2006JJ00,3.4,2.5,0.0,2.5,516.4
214,36,2007JJ00,2.7,2.6,0.0,2.6,481.6
215,36,2008JJ00,3.7,1.2,0.0,1.2,430.8
216,37,2003JJ00,7.8,,,,
217,37,2004JJ00,6.0,,,,
218,37,2005JJ00,6.2,,,,
219,37,2006JJ00,6.2,,,,
220,37,2007JJ00,6.5,,,,
221,37,2008JJ00,7.1,,,,
