ID,Balansposten,Sectoren,Perioden,TotaalEnergiedragers_1,TotaalKoolEnKoolproducten_2,SteenkoolEnBruinkool_3,TotaalKoolproducten_4,Cokeovencokes_5,Cokesovengas_6,Hoogovengas_7,Steenkoolteer_8,TotaalAardoliegrondstoffenEnProducten_9,TotaalAardoliegrondstoffen_10,RuweAardolie_11,Aardgascondensaat_12,OverigeAardoliegrondstoffen_13,TotaalAardolieproducten_14,RestgassenUitOlie_15,Lpg_16,Nafta_17,Benzine_18,Kerosine_19,GasEnDieselolie_20,Stookolie_21,Smeermiddelen_22,Bitumen_23,OverigeAardolieproducten_24,Aardgas_25,TotaalHernieuwbareEnergie_26,Windenergie_27,Waterkracht_28,ZonneEnergie_29,Aardwarmte_30,TotaalBiomassa_31,BiogeenHuishoudelijkAfval_32,VasteEnVloeibareBiomassa_33,Biogas_34,Kernenergie_35,AfvalEnAndereEnergiedragers_36,Elektriciteit_37,Warmte_38,TotaalEnergiedragers_39,TotaalKoolEnKoolproducten_40,SteenkoolEnBruinkool_41,TotaalKoolproducten_42,Cokeovencokes_43,Cokesovengas_44,Hoogovengas_45,Steenkoolteer_46,TotaalAardoliegrondstoffenEnProducten_47,TotaalAardoliegrondstoffen_48,RuweAardolie_49,Aardgascondensaat_50,OverigeAardoliegrondstoffen_51,TotaalAardolieproducten_52,RestgassenUitOlie_53,Lpg_54,Nafta_55,Benzine_56,Kerosine_57,GasEnDieselolie_58,Stookolie_59,Smeermiddelen_60,Bitumen_61,OverigeAardolieproducten_62,Aardgas_63,TotaalHernieuwbareEnergie_64,Windenergie_65,Waterkracht_66,ZonneEnergie_67,Aardwarmte_68,TotaalBiomassa_69,BiogeenHuishoudelijkAfval_70,VasteEnVloeibareBiomassa_71,Biogas_72,Kernenergie_73,AfvalEnAndereEnergiedragers_74,Elektriciteit_75,Warmte_76
20, 0,802000,1996JJ00,567.2,266.85,347.39,-80.54,-83.05,-12.16,20.37,-5.7,191.01,2554.94,2436.32,112.01,6.61,-2363.93,22.5,-57.91,-248.19,-404.79,-281.45,-889.49,-448.85,-24.28,-21.22,-10.25,405.41,3.71,1.53,0.29,0.0,0.0,1.89,0.0,0.38,1.52,44.54,0.2,-236.83,-107.69,567.0,267.0,13026.0,-81.0,-2914.0,-384.0,644.0,-136.0,4306.0,59756.0,57057.0,2546.0,153.0,-55450.0,498.0,-1281.0,-5641.0,-9200.0,-6472.0,-20831.0,-10948.0,-587.0,-506.0,-482.0,12809.0,4.0,425.0,79.0,0.0,0.0,2.0,0.0,0.0,48.0,45.0,0.0,-65786.0,-108.0
21, 0,802000,1997JJ00,559.26,252.85,330.82,-77.96,-82.53,-12.27,22.3,-5.46,195.34,2548.34,2442.88,98.18,7.28,-2353.0,28.06,-59.54,-250.07,-391.69,-258.01,-894.15,-470.29,-21.42,-17.86,-18.03,430.59,3.81,1.66,0.33,0.0,0.0,1.81,0.0,0.36,1.46,25.24,0.19,-241.03,-107.73,559.0,253.0,12809.0,-78.0,-2896.0,-388.0,704.0,-130.0,4321.0,59611.0,57210.0,2231.0,169.0,-55289.0,621.0,-1317.0,-5683.0,-8902.0,-5932.0,-20940.0,-11470.0,-517.0,-426.0,-721.0,13605.0,4.0,462.0,92.0,0.0,0.0,2.0,0.0,0.0,46.0,25.0,0.0,-66953.0,-108.0
22, 0,802000,1998JJ00,586.18,264.87,337.73,-72.86,-80.61,-10.13,23.2,-5.31,207.54,2613.13,2498.56,109.48,5.09,-2405.59,26.67,-53.22,-258.3,-374.14,-274.83,-893.54,-525.36,-24.62,-14.48,-13.76,441.75,4.93,2.16,0.4,0.0,0.0,2.37,0.0,0.91,1.46,39.33,0.26,-255.5,-117.01,586.0,265.0,13183.0,-73.0,-2829.0,-320.0,733.0,-127.0,4510.0,61121.0,58514.0,2488.0,118.0,-56611.0,590.0,-1178.0,-5870.0,-8503.0,-6318.0,-20926.0,-12814.0,-595.0,-346.0,-652.0,13957.0,5.0,601.0,112.0,0.0,0.0,2.0,0.0,1.0,46.0,39.0,0.0,-70971.0,-117.0
23, 0,802000,1999JJ00,536.45,225.34,280.58,-55.25,-66.06,-7.61,22.95,-4.52,185.51,2443.44,2345.84,92.68,4.92,-2257.93,28.84,-53.14,-275.0,-379.66,-293.04,-848.0,-383.38,-23.98,-22.67,-7.9,446.62,5.77,2.05,0.32,0.0,0.0,3.4,0.0,1.92,1.48,39.74,0.22,-239.8,-126.96,536.0,225.0,10764.0,-55.0,-2318.0,-240.0,725.0,-108.0,4149.0,57158.0,54938.0,2106.0,113.0,-53008.0,638.0,-1176.0,-6250.0,-8629.0,-6736.0,-19859.0,-9351.0,-579.0,-541.0,-526.0,14111.0,6.0,568.0,90.0,0.0,0.0,3.0,0.0,2.0,47.0,40.0,0.0,-66611.0,-127.0
24, 0,802000,2000JJ00,556.06,244.2,295.33,-51.13,-60.31,-7.18,20.5,-4.14,189.72,2453.78,2350.74,94.98,8.07,-2264.06,29.0,-54.93,-245.36,-396.06,-304.48,-857.85,-371.04,-24.68,-24.7,-13.96,442.54,8.95,2.5,0.51,0.0,0.0,5.94,0.0,4.48,1.46,40.5,0.36,-247.46,-122.76,556.0,244.0,11596.0,-51.0,-2116.0,-227.0,648.0,-99.0,4299.0,57394.0,55052.0,2159.0,184.0,-53095.0,642.0,-1215.0,-5576.0,-9001.0,-7000.0,-20090.0,-9050.0,-596.0,-590.0,-619.0,13982.0,9.0,694.0,142.0,0.0,0.0,6.0,0.0,4.0,46.0,41.0,0.0,-68739.0,-123.0
25, 0,802000,2001JJ00,604.2,260.98,312.63,-51.65,-62.8,-7.09,22.04,-3.79,201.26,2461.13,2337.55,114.49,9.09,-2259.87,29.96,-50.13,-236.59,-412.89,-269.21,-918.03,-344.18,-21.85,-24.44,-12.52,472.82,12.68,2.44,0.42,0.01,0.0,9.81,0.0,8.26,1.55,40.87,0.4,-258.91,-125.89,604.0,261.0,12256.0,-52.0,-2204.0,-224.0,696.0,-91.0,4510.0,57553.0,54744.0,2602.0,207.0,-53042.0,663.0,-1109.0,-5377.0,-9384.0,-6189.0,-21499.0,-8395.0,-528.0,-583.0,-641.0,14939.0,13.0,678.0,117.0,0.0,0.0,10.0,0.0,8.0,49.0,41.0,0.0,-71918.0,-126.0
26, 0,802000,2002JJ00,598.79,262.38,311.19,-48.81,-60.29,-6.83,21.9,-3.59,183.4,2227.08,2059.74,156.38,10.97,-2043.68,34.68,-44.57,-218.28,-348.44,-266.66,-763.7,-372.81,-24.05,-20.69,-19.15,486.9,17.18,2.72,0.4,0.01,0.0,14.06,0.0,12.28,1.78,40.32,0.32,-264.04,-127.68,599.0,262.0,12090.0,-49.0,-2116.0,-216.0,692.0,-86.0,4013.0,52041.0,48237.0,3554.0,250.0,-48028.0,767.0,-986.0,-4961.0,-7919.0,-6132.0,-17885.0,-9093.0,-581.0,-494.0,-744.0,15384.0,17.0,756.0,110.0,0.0,0.0,14.0,0.0,12.0,56.0,40.0,0.0,-73344.0,-128.0
27, 0,802000,2003JJ00,611.22,268.9,318.08,-49.19,-61.1,-7.21,23.11,-3.99,194.71,2370.29,2156.3,198.5,15.49,-2175.58,35.74,-47.97,-233.66,-359.69,-282.22,-831.74,-395.8,-22.74,-12.46,-25.02,482.38,15.66,4.05,0.26,0.01,0.0,11.35,0.0,9.46,1.89,41.26,0.3,-264.14,-127.86,611.0,269.0,12271.0,-49.0,-2144.0,-228.0,730.0,-95.0,4228.0,55362.0,50499.0,4511.0,352.0,-51135.0,791.0,-1061.0,-5311.0,-8175.0,-6489.0,-19479.0,-9654.0,-549.0,-297.0,-910.0,15241.0,16.0,1125.0,72.0,0.0,0.0,11.0,0.0,9.0,60.0,41.0,0.0,-73372.0,-128.0
28, 0,802000,2004JJ00,626.2,261.88,313.13,-51.24,-62.85,-8.99,24.7,-4.11,194.89,2455.69,2255.09,180.12,20.47,-2260.79,35.25,-59.86,-276.07,-342.93,-292.64,-828.02,-434.09,-24.36,-16.89,-21.17,519.65,24.68,6.19,0.34,0.01,0.0,18.14,0.0,16.55,1.59,39.42,0.22,-278.31,-136.24,626.0,262.0,12023.0,-51.0,-2205.0,-284.0,780.0,-98.0,4199.0,57372.0,52813.0,4094.0,466.0,-53173.0,780.0,-1324.0,-6274.0,-7794.0,-6729.0,-19392.0,-10588.0,-588.0,-403.0,-860.0,16419.0,25.0,1720.0,95.0,0.0,0.0,18.0,0.0,17.0,50.0,39.0,0.0,-77308.0,-136.0
29, 0,802000,2005JJ00,610.07,246.91,297.87,-50.97,-63.78,-8.3,24.99,-3.88,184.34,2468.14,2243.42,206.06,18.67,-2283.8,33.56,-62.06,-281.43,-353.68,-311.58,-882.03,-373.21,-21.56,-12.33,-19.47,494.73,40.42,6.43,0.32,0.01,0.0,33.66,0.0,32.89,0.77,41.27,0.54,-267.64,-130.49,610.0,247.0,11424.0,-51.0,-2238.0,-262.0,790.0,-93.0,4014.0,57647.0,52539.0,4683.0,425.0,-53633.0,743.0,-1373.0,-6396.0,-8038.0,-7165.0,-20657.0,-9103.0,-521.0,-294.0,-829.0,15631.0,40.0,1786.0,88.0,0.0,0.0,34.0,0.0,33.0,24.0,41.0,1.0,-74346.0,-130.0
