ID,RegioS,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
162,NL01  ,2007MM08,3483.9,2299.5,1184.3,999.3,324.3,128.9,175.3,71.9,17.8,73.9,73.2,12.8,8.4,40.1,72.6,104.4,62.4,11.3,7.0,14548.1,10906.2,3641.8,3267.8,1476.8,412.8,452.6,176.2,46.5,186.1,189.6,29.4,18.8,106.7,172.1,205.6,127.6,25.4,15.4
163,NL01  ,2007MM09,2850.2,1839.4,1010.8,806.2,289.7,90.3,164.6,44.7,14.8,28.8,41.0,13.2,9.3,34.0,75.7,121.5,60.5,13.7,8.8,7864.9,5262.6,2602.3,2225.1,1164.0,211.0,317.4,80.8,29.4,59.9,90.0,23.9,17.3,75.6,155.7,217.9,114.2,26.4,18.7
164,NL01  ,2007KW03,9414.4,6022.1,3392.4,2786.0,981.9,342.1,510.5,176.3,57.1,136.4,168.2,49.2,31.2,111.9,221.2,364.8,180.4,37.5,23.8,34302.0,24143.1,10158.9,8984.1,4602.6,1018.8,1150.5,384.7,144.2,322.2,417.0,116.9,66.5,274.5,486.2,696.5,349.1,79.1,50.1
165,NL01  ,2007MM10,2703.5,1778.4,925.1,743.2,254.8,84.8,158.4,42.4,15.0,26.5,34.0,14.5,10.9,33.2,68.6,107.3,54.4,12.7,7.6,7205.0,4933.3,2271.7,1950.5,979.6,197.8,296.2,72.8,31.5,51.1,69.4,28.9,18.3,66.6,138.3,188.6,92.6,25.3,14.7
166,NL01  ,2007MM11,2169.7,1367.2,802.5,636.7,143.9,106.5,148.7,46.9,10.9,30.5,30.1,10.5,9.3,33.3,66.1,100.9,48.9,9.1,7.0,4802.2,3120.6,1681.6,1394.4,402.9,272.9,259.8,90.3,17.9,57.0,59.3,17.9,15.8,71.5,129.1,174.0,83.1,17.0,13.2
167,NL01  ,2007MM12,1792.2,1150.6,641.6,512.5,111.6,71.8,128.9,41.6,9.5,31.4,28.9,6.9,5.6,25.5,50.7,71.7,41.4,8.3,7.8,4375.9,2952.8,1423.1,1197.4,354.0,182.6,262.4,79.8,18.3,63.7,58.1,12.8,9.5,57.2,99.1,123.8,72.2,16.3,13.5
168,NL01  ,2007KW04,6665.4,4296.1,2369.3,1892.4,510.4,263.1,435.9,130.9,35.4,88.5,93.0,31.9,25.8,92.0,185.4,279.9,144.6,30.1,22.4,16383.1,11006.7,5376.4,4542.3,1736.5,653.4,818.4,242.9,67.6,171.8,186.8,59.6,43.6,195.3,366.5,486.4,247.9,58.5,41.3
169,NL01  ,2007JJ00,30260.2,19252.3,11008.0,8904.0,2832.9,1100.7,1902.5,612.7,176.5,398.1,435.5,163.0,116.3,400.6,765.2,1273.6,617.2,121.3,91.9,88267.0,60314.8,27952.2,24107.2,10980.9,2863.7,3802.0,1248.5,381.9,845.5,965.9,340.4,223.0,881.5,1573.8,2299.9,1118.9,244.8,181.4
170,NL01  ,2008MM01,1590.7,991.6,599.1,482.5,122.0,62.7,115.9,35.2,8.3,27.0,21.5,7.7,6.5,27.7,47.9,67.2,37.7,6.4,5.3,3707.8,2406.9,1300.8,1093.6,387.6,148.8,206.8,64.5,14.3,58.3,42.4,13.2,10.9,55.2,91.7,118.8,65.3,13.3,9.9
171,NL01  ,2008MM02,1787.9,1143.0,644.9,525.3,112.4,85.3,131.9,43.5,8.3,22.2,25.7,7.9,6.9,31.7,49.5,68.6,38.9,5.5,6.6,4173.5,2858.2,1315.3,1109.7,294.7,187.1,248.9,90.0,14.8,40.7,49.3,16.2,10.8,63.2,94.0,117.3,66.5,10.6,11.2
172,NL01  ,2008MM03,2059.2,1220.7,838.5,696.6,213.2,89.1,154.2,43.9,11.0,29.7,39.2,12.3,9.4,35.6,59.1,87.9,40.5,7.2,6.2,4870.9,2859.2,2011.7,1765.3,752.3,220.1,306.6,81.3,21.5,59.6,82.4,27.0,18.9,75.5,120.2,155.5,66.8,13.8,10.4
173,NL01  ,2008KW01,5437.8,3355.3,2082.5,1704.5,447.7,237.1,402.0,122.6,27.6,78.9,86.3,27.9,22.7,95.0,156.5,223.8,117.1,19.1,18.0,12752.1,8124.3,4627.8,3968.5,1434.7,556.0,762.3,235.7,50.5,158.6,174.0,56.4,40.6,193.9,305.9,391.6,198.6,37.7,31.5
174,NL01  ,2008MM04,2350.9,1465.0,885.9,719.1,186.7,88.4,161.7,71.0,14.7,30.4,25.2,18.9,13.7,36.6,71.8,97.7,53.8,8.2,6.9,5863.0,3763.6,2099.4,1778.2,580.3,235.7,352.2,166.7,30.9,61.1,50.1,42.0,27.2,82.1,150.0,186.8,101.4,17.0,16.0
175,NL01  ,2008MM05,3240.2,2193.2,1047.0,872.6,339.2,106.4,157.7,58.2,16.8,32.1,30.1,14.7,10.7,39.7,67.0,106.6,48.7,10.4,8.7,9513.1,6972.6,2540.5,2221.6,1095.6,248.0,336.3,111.2,35.6,63.3,59.3,30.7,19.5,89.1,133.1,198.3,86.2,19.8,14.6
176,NL01  ,2008MM06,2774.3,1901.1,873.2,688.8,236.4,82.8,141.3,41.1,12.7,25.9,30.0,12.5,10.0,33.2,63.0,112.1,52.2,12.8,7.3,8259.1,6041.0,2218.1,1874.5,919.1,205.4,283.3,74.6,25.2,53.4,62.7,24.4,17.4,74.1,134.7,206.2,97.5,25.4,14.7
177,NL01  ,2008KW02,8365.4,5559.4,2806.1,2280.6,762.2,277.6,460.7,170.4,44.2,88.4,85.3,46.1,34.4,109.5,201.8,316.3,154.6,31.5,23.0,23635.2,16777.2,6858.0,5874.4,2595.0,689.1,971.8,352.5,91.6,177.8,172.2,97.0,64.2,245.3,417.9,591.2,285.0,62.2,45.2
178,NL01  ,2008MM07,2966.2,1874.1,1092.1,907.9,365.1,118.7,146.6,52.8,18.7,30.1,39.7,21.1,12.7,36.5,66.0,110.8,52.9,13.1,7.4,11805.1,8321.6,3483.5,3118.1,1822.8,360.5,318.2,105.0,45.7,65.1,89.0,58.4,26.5,84.7,142.2,222.8,99.3,27.7,15.7
179,NL01  ,2008MM08,3358.9,2234.8,1124.1,959.4,345.8,136.6,148.0,63.3,14.3,67.0,60.5,10.7,7.5,41.1,64.6,89.3,55.2,11.6,8.6,13567.9,10201.7,3366.2,3033.9,1467.5,426.9,370.4,143.2,35.9,160.1,148.4,25.2,14.2,102.0,140.1,174.8,115.0,23.1,19.3
