ID,BedrijfstakkenBranches,Perioden,PrijsindexArbeid_1,JaarmutatiePrijsVanArbeid_2,LoonkostenPerGewerktUur2010100_3,JaarmutatieLoonkostenPerGewerktUur_4,Structuureffect_5
61,300025,2017VJ12,109.1,1.9,110.2,1.3,-0.6
62,301000,2001JJ00,83.5,,79.8,,
63,301000,2002JJ00,87.9,5.3,84.4,5.9,0.5
64,301000,2003JJ00,91.0,3.5,87.8,4.0,0.6
65,301000,2004JJ00,89.6,-1.5,87.4,-0.5,1.0
66,301000,2005JJ00,91.9,2.5,88.0,0.7,-1.7
67,301000,2006JJ00,92.3,0.5,89.3,1.4,0.9
68,301000,2007JJ00,95.4,3.4,92.8,4.0,0.6
69,301000,2008JJ00,98.6,3.3,96.6,4.1,0.7
70,301000,2009JJ00,98.2,-0.5,96.3,-0.4,0.1
71,301000,2010JJ00,100.0,1.9,100.0,3.9,2.0
72,301000,2011JJ00,102.2,2.2,102.8,2.8,0.6
73,301000,2012JJ00,105.5,3.3,106.7,3.8,0.6
74,301000,2013JJ00,105.4,-0.1,107.5,0.8,0.9
75,301000,2014JJ00,105.5,0.1,108.7,1.1,1.0
76,301000,2015JJ00,106.8,1.2,110.5,1.7,0.4
77,301000,2016JJ00,106.3,-0.5,110.5,0.0,0.5
78,301000,2017JJ00,107.5,1.2,111.8,1.2,0.0
79,301000,2006VJ12,92.3,0.5,89.3,1.4,0.9
80,301000,2007VJ03,92.8,,89.9,,
81,301000,2007VJ06,93.1,,90.3,,
82,301000,2007VJ09,94.3,,91.6,,
83,301000,2007VJ12,95.4,3.4,92.8,4.0,0.6
84,301000,2008VJ03,95.9,3.3,93.4,3.9,0.6
85,301000,2008VJ06,96.7,3.9,94.4,4.5,0.6
86,301000,2008VJ09,98.6,4.5,96.5,5.4,0.8
87,301000,2008VJ12,98.6,3.3,96.6,4.1,0.7
88,301000,2009VJ03,99.0,3.2,97.1,4.0,0.7
89,301000,2009VJ06,99.2,2.5,97.3,3.1,0.6
90,301000,2009VJ09,99.3,0.6,97.4,0.9,0.3
91,301000,2009VJ12,98.2,-0.5,96.3,-0.4,0.1
92,301000,2010VJ03,100.6,1.6,99.2,2.1,0.6
93,301000,2010VJ06,100.8,1.6,99.9,2.7,1.1
94,301000,2010VJ09,99.0,-0.2,98.6,1.3,1.5
95,301000,2010VJ12,100.0,1.9,100.0,3.9,2.0
96,301000,2011VJ03,100.2,-0.4,100.3,1.1,1.5
97,301000,2011VJ06,100.3,-0.5,100.5,0.6,1.1
98,301000,2011VJ09,100.9,1.9,101.4,2.8,0.8
99,301000,2011VJ12,102.2,2.2,102.8,2.8,0.6
100,301000,2012VJ03,102.5,2.3,103.2,2.9,0.5
101,301000,2012VJ06,103.3,3.1,104.2,3.7,0.6
102,301000,2012VJ09,104.5,3.5,105.4,4.0,0.5
103,301000,2012VJ12,105.5,3.3,106.7,3.8,0.6
104,301000,2013VJ03,106.5,3.9,107.9,4.6,0.7
105,301000,2013VJ06,106.3,2.8,107.9,3.6,0.7
106,301000,2013VJ09,106.3,1.8,108.2,2.6,0.8
107,301000,2013VJ12,105.4,-0.1,107.5,0.8,0.9
108,301000,2014VJ03,105.2,-1.2,107.6,-0.3,1.0
109,301000,2014VJ06,105.2,-1.0,107.7,-0.2,0.8
110,301000,2014VJ09,104.7,-1.5,107.6,-0.5,1.0
111,301000,2014VJ12,105.5,0.1,108.7,1.1,1.0
112,301000,2015VJ03,105.7,0.5,109.1,1.4,0.9
113,301000,2015VJ06,106.5,1.3,110.1,2.3,1.0
114,301000,2015VJ09,107.3,2.5,111.0,3.2,0.7
115,301000,2015VJ12,106.8,1.2,110.5,1.7,0.4
116,301000,2016VJ03,107.1,1.3,111.0,1.7,0.4
117,301000,2016VJ06,106.2,-0.3,110.2,0.0,0.3
118,301000,2016VJ09,106.0,-1.2,110.1,-0.9,0.4
119,301000,2016VJ12,106.3,-0.5,110.5,0.0,0.5
120,301000,2017VJ03,105.5,-1.5,109.8,-1.1,0.5
121,301000,2017VJ06,106.2,-0.1,110.5,0.3,0.4
122,301000,2017VJ09,106.7,0.7,111.0,0.9,0.2
123,301000,2017VJ12,107.5,1.2,111.8,1.2,0.0
124,300003,2001JJ00,82.7,,76.7,,
125,300003,2002JJ00,86.0,4.0,80.6,5.0,1.0
126,300003,2003JJ00,88.5,2.9,83.7,3.8,0.9
127,300003,2004JJ00,89.9,1.6,85.8,2.5,0.9
128,300003,2005JJ00,90.9,1.2,87.7,2.3,1.1
129,300003,2006JJ00,93.0,2.2,90.2,2.8,0.6
130,300003,2007JJ00,95.4,2.6,93.1,3.2,0.5
131,300003,2008JJ00,99.8,4.6,97.6,4.9,0.3
132,300003,2009JJ00,103.1,3.3,101.7,4.2,0.8
133,300003,2010JJ00,100.0,-3.0,100.0,-1.6,1.4
134,300003,2011JJ00,101.7,1.7,102.2,2.2,0.5
135,300003,2012JJ00,104.7,3.0,106.1,3.8,0.8
136,300003,2013JJ00,104.9,0.2,107.6,1.4,1.2
137,300003,2014JJ00,106.5,1.5,110.0,2.3,0.7
138,300003,2015JJ00,106.1,-0.3,110.2,0.2,0.5
139,300003,2016JJ00,107.2,1.1,111.9,1.5,0.4
140,300003,2017JJ00,109.0,1.6,114.1,2.0,0.4
141,300003,2006VJ12,93.0,2.2,90.2,2.8,0.6
142,300003,2007VJ03,93.9,,91.2,,
143,300003,2007VJ06,94.5,,92.0,,
144,300003,2007VJ09,94.9,,92.5,,
145,300003,2007VJ12,95.4,2.6,93.1,3.2,0.5
146,300003,2008VJ03,97.0,3.3,94.7,3.8,0.5
147,300003,2008VJ06,98.4,4.1,96.2,4.5,0.4
148,300003,2008VJ09,99.0,4.4,96.8,4.7,0.3
149,300003,2008VJ12,99.8,4.6,97.6,4.9,0.3
150,300003,2009VJ03,100.7,3.8,98.6,4.1,0.3
151,300003,2009VJ06,102.0,3.6,100.1,4.1,0.5
152,300003,2009VJ09,102.7,3.7,101.0,4.3,0.6
153,300003,2009VJ12,103.1,3.3,101.7,4.2,0.8
154,300003,2010VJ03,103.1,2.4,102.0,3.5,1.1
155,300003,2010VJ06,102.5,0.5,101.9,1.7,1.2
156,300003,2010VJ09,100.9,-1.7,100.6,-0.5,1.3
157,300003,2010VJ12,100.0,-3.0,100.0,-1.6,1.4
158,300003,2011VJ03,100.1,-2.9,100.2,-1.8,1.2
159,300003,2011VJ06,100.0,-2.4,100.3,-1.5,0.9
160,300003,2011VJ09,100.3,-0.6,100.7,0.2,0.7
161,300003,2011VJ12,101.7,1.7,102.2,2.2,0.5
162,300003,2012VJ03,101.8,1.8,102.5,2.3,0.5
163,300003,2012VJ06,102.4,2.5,103.3,3.1,0.6
164,300003,2012VJ09,103.5,3.2,104.7,3.9,0.7
165,300003,2012VJ12,104.7,3.0,106.1,3.8,0.8
166,300003,2013VJ03,106.1,4.2,107.8,5.2,1.0
167,300003,2013VJ06,105.8,3.3,107.9,4.4,1.1
168,300003,2013VJ09,105.4,1.8,107.8,3.0,1.1
169,300003,2013VJ12,104.9,0.2,107.6,1.4,1.2
170,300003,2014VJ03,104.7,-1.3,107.6,-0.2,1.1
171,300003,2014VJ06,105.2,-0.6,108.3,0.4,1.0
172,300003,2014VJ09,105.4,-0.1,108.7,0.8,0.9
173,300003,2014VJ12,106.5,1.5,110.0,2.3,0.7
174,300003,2015VJ03,106.5,1.7,110.2,2.4,0.7
175,300003,2015VJ06,106.8,1.5,110.7,2.1,0.6
176,300003,2015VJ09,107.0,1.5,111.0,2.1,0.6
177,300003,2015VJ12,106.1,-0.3,110.2,0.2,0.5
178,300003,2016VJ03,106.9,0.4,111.2,0.9,0.5
179,300003,2016VJ06,106.7,-0.1,111.0,0.3,0.5
180,300003,2016VJ09,106.7,-0.3,111.2,0.2,0.5
181,300003,2016VJ12,107.2,1.1,111.9,1.5,0.4
182,300003,2017VJ03,106.5,-0.4,111.2,0.0,0.5
183,300003,2017VJ06,107.2,0.5,112.1,0.9,0.4
184,300003,2017VJ09,107.9,1.1,112.8,1.5,0.4
185,300003,2017VJ12,109.0,1.6,114.1,2.0,0.4
186,300002,2001JJ00,82.9,,76.9,,
187,300002,2002JJ00,86.2,4.0,80.9,5.1,1.1
188,300002,2003JJ00,88.5,2.7,83.8,3.6,0.9
189,300002,2004JJ00,89.7,1.4,85.7,2.3,0.9
190,300002,2005JJ00,90.9,1.2,87.8,2.4,1.1
191,300002,2006JJ00,92.8,2.1,90.1,2.7,0.6
192,300002,2007JJ00,95.5,2.9,93.3,3.5,0.6
193,300002,2008JJ00,100.3,5.0,98.2,5.3,0.3
194,300002,2009JJ00,104.9,4.6,103.5,5.4,0.8
195,300002,2010JJ00,100.0,-4.6,100.0,-3.4,1.3
196,300002,2011JJ00,102.7,2.7,103.1,3.1,0.4
197,300002,2012JJ00,105.6,2.8,106.8,3.6,0.7
198,300002,2013JJ00,106.4,0.7,108.8,1.8,1.1
199,300002,2014JJ00,109.0,2.5,112.1,3.1,0.6
200,300002,2015JJ00,108.5,-0.5,112.2,0.1,0.5
201,300002,2016JJ00,109.0,0.5,113.3,1.0,0.5
202,300002,2017JJ00,111.1,1.9,116.1,2.4,0.5
203,300002,2006VJ12,92.8,2.1,90.1,2.7,0.6
204,300002,2007VJ03,93.7,,91.1,,
205,300002,2007VJ06,94.3,,91.9,,
206,300002,2007VJ09,94.7,,92.4,,
207,300002,2007VJ12,95.5,2.9,93.3,3.5,0.6
208,300002,2008VJ03,97.3,3.8,95.1,4.4,0.5
209,300002,2008VJ06,98.7,4.6,96.6,5.1,0.4
210,300002,2008VJ09,99.4,4.9,97.3,5.3,0.4
211,300002,2008VJ12,100.3,5.0,98.2,5.3,0.3
212,300002,2009VJ03,101.5,4.3,99.5,4.6,0.3
213,300002,2009VJ06,102.8,4.2,101.0,4.6,0.4
214,300002,2009VJ09,103.8,4.5,102.3,5.1,0.6
215,300002,2009VJ12,104.9,4.6,103.5,5.4,0.8
216,300002,2010VJ03,104.1,2.6,103.1,3.6,1.0
217,300002,2010VJ06,103.2,0.4,102.6,1.5,1.2
218,300002,2010VJ09,101.4,-2.4,101.1,-1.2,1.2
219,300002,2010VJ12,100.0,-4.6,100.0,-3.4,1.3
220,300002,2011VJ03,100.5,-3.5,100.6,-2.4,1.1
221,300002,2011VJ06,100.5,-2.6,100.8,-1.7,0.9
222,300002,2011VJ09,101.1,-0.3,101.4,0.4,0.7
223,300002,2011VJ12,102.7,2.7,103.1,3.1,0.4
224,300002,2012VJ03,102.7,2.2,103.3,2.7,0.4
225,300002,2012VJ06,103.3,2.7,104.0,3.2,0.5
226,300002,2012VJ09,104.5,3.4,105.5,4.0,0.6
227,300002,2012VJ12,105.6,2.8,106.8,3.6,0.7
228,300002,2013VJ03,107.0,4.2,108.6,5.1,0.9
229,300002,2013VJ06,107.0,3.7,108.9,4.7,1.0
230,300002,2013VJ09,106.7,2.1,108.9,3.2,1.1
231,300002,2013VJ12,106.4,0.7,108.8,1.8,1.1
232,300002,2014VJ03,106.6,-0.4,109.2,0.6,1.0
233,300002,2014VJ06,107.3,0.2,110.1,1.1,0.9
234,300002,2014VJ09,107.7,0.9,110.7,1.7,0.8
235,300002,2014VJ12,109.0,2.5,112.1,3.1,0.6
236,300002,2015VJ03,109.0,2.3,112.3,2.8,0.5
237,300002,2015VJ06,109.3,1.9,112.8,2.4,0.5
238,300002,2015VJ09,109.4,1.6,113.0,2.1,0.5
239,300002,2015VJ12,108.5,-0.5,112.2,0.1,0.5
240,300002,2016VJ03,109.1,0.1,113.0,0.6,0.5
241,300002,2016VJ06,108.7,-0.6,112.7,-0.1,0.5
242,300002,2016VJ09,108.7,-0.7,112.8,-0.2,0.5
243,300002,2016VJ12,109.0,0.5,113.3,1.0,0.5
244,300002,2017VJ03,108.3,-0.7,112.7,-0.2,0.5
245,300002,2017VJ06,109.2,0.4,113.8,0.9,0.5
246,300002,2017VJ09,109.9,1.1,114.7,1.6,0.5
247,300002,2017VJ12,111.1,1.9,116.1,2.4,0.5
248,307500,2001JJ00,83.1,,77.0,,
249,307500,2002JJ00,86.4,4.0,80.9,5.0,1.0
250,307500,2003JJ00,88.6,2.6,83.8,3.6,1.0
251,307500,2004JJ00,89.8,1.3,85.6,2.3,0.9
252,307500,2005JJ00,91.2,1.5,88.0,2.8,1.2
253,307500,2006JJ00,93.0,2.0,90.4,2.7,0.7
254,307500,2007JJ00,95.7,2.9,93.5,3.4,0.5
255,307500,2008JJ00,100.7,5.2,98.6,5.4,0.2
256,307500,2009JJ00,105.5,4.8,104.2,5.6,0.8
257,307500,2010JJ00,100.0,-5.3,100.0,-4.0,1.3
258,307500,2011JJ00,102.5,2.5,103.0,3.0,0.4
259,307500,2012JJ00,105.4,2.8,106.6,3.5,0.7
260,307500,2013JJ00,106.2,0.8,108.5,1.8,1.1
261,307500,2014JJ00,109.1,2.7,112.0,3.2,0.5
262,307500,2015JJ00,108.7,-0.4,112.1,0.1,0.5
263,307500,2016JJ00,109.3,0.5,113.4,1.1,0.6
264,307500,2017JJ00,111.8,2.3,116.8,3.0,0.7
265,307500,2006VJ12,93.0,2.0,90.4,2.7,0.7
266,307500,2007VJ03,94.0,,91.4,,
267,307500,2007VJ06,94.6,,92.3,,
268,307500,2007VJ09,95.0,,92.7,,
269,307500,2007VJ12,95.7,2.9,93.5,3.4,0.5
270,307500,2008VJ03,97.6,3.9,95.5,4.4,0.5
271,307500,2008VJ06,99.2,4.8,97.1,5.3,0.4
272,307500,2008VJ09,100.0,5.2,97.9,5.6,0.3
273,307500,2008VJ12,100.7,5.2,98.6,5.4,0.2
274,307500,2009VJ03,101.9,4.4,99.9,4.6,0.3
275,307500,2009VJ06,103.3,4.1,101.5,4.5,0.4
276,307500,2009VJ09,104.4,4.4,102.8,5.0,0.6
277,307500,2009VJ12,105.5,4.8,104.2,5.6,0.8
278,307500,2010VJ03,104.6,2.6,103.6,3.7,1.0
279,307500,2010VJ06,103.5,0.2,102.9,1.4,1.2
280,307500,2010VJ09,101.6,-2.7,101.2,-1.5,1.2
281,307500,2010VJ12,100.0,-5.3,100.0,-4.0,1.3
282,307500,2011VJ03,100.4,-4.0,100.6,-2.9,1.1
283,307500,2011VJ06,100.5,-2.9,100.7,-2.1,0.8
284,307500,2011VJ09,101.0,-0.6,101.3,0.1,0.7
285,307500,2011VJ12,102.5,2.5,103.0,3.0,0.4
286,307500,2012VJ03,102.5,2.1,103.1,2.5,0.4
287,307500,2012VJ06,103.0,2.5,103.8,3.0,0.4
288,307500,2012VJ09,104.3,3.3,105.2,3.8,0.5
289,307500,2012VJ12,105.4,2.8,106.6,3.5,0.7
290,307500,2013VJ03,106.9,4.3,108.4,5.2,0.9
291,307500,2013VJ06,106.9,3.8,108.7,4.8,1.0
292,307500,2013VJ09,106.6,2.2,108.6,3.3,1.0
293,307500,2013VJ12,106.2,0.8,108.5,1.8,1.1
294,307500,2014VJ03,106.5,-0.4,109.0,0.6,0.9
295,307500,2014VJ06,107.3,0.3,109.9,1.1,0.8
296,307500,2014VJ09,107.7,1.1,110.5,1.7,0.7
297,307500,2014VJ12,109.1,2.7,112.0,3.2,0.5
298,307500,2015VJ03,109.2,2.5,112.2,2.9,0.4
299,307500,2015VJ06,109.5,2.1,112.7,2.6,0.5
300,307500,2015VJ09,109.6,1.8,113.0,2.2,0.4
301,307500,2015VJ12,108.7,-0.4,112.1,0.1,0.5
302,307500,2016VJ03,109.4,0.2,112.9,0.7,0.5
303,307500,2016VJ06,108.9,-0.6,112.7,-0.1,0.5
304,307500,2016VJ09,108.9,-0.7,112.8,-0.1,0.5
305,307500,2016VJ12,109.3,0.5,113.4,1.1,0.6
306,307500,2017VJ03,108.7,-0.6,112.9,0.0,0.7
307,307500,2017VJ06,109.8,0.8,114.3,1.5,0.7
308,307500,2017VJ09,110.5,1.5,115.3,2.2,0.7
309,307500,2017VJ12,111.8,2.3,116.8,3.0,0.7
310,328110,2001JJ00,82.5,,75.8,,
311,328110,2002JJ00,85.3,3.4,79.2,4.5,1.0
312,328110,2003JJ00,87.2,2.2,81.8,3.2,1.0
313,328110,2004JJ00,88.7,1.8,84.1,2.8,1.1
314,328110,2005JJ00,89.6,1.0,86.0,2.2,1.2
315,328110,2006JJ00,91.9,2.5,88.7,3.2,0.7
316,328110,2007JJ00,94.8,3.2,92.0,3.6,0.4
317,328110,2008JJ00,99.6,5.0,96.5,5.0,0.0
318,328110,2009JJ00,101.4,1.8,99.7,3.3,1.4
319,328110,2010JJ00,100.0,-1.4,100.0,0.3,1.7
320,328110,2011JJ00,102.8,2.8,103.2,3.2,0.4
321,328110,2012JJ00,106.0,3.1,107.4,4.0,0.9
322,328110,2013JJ00,106.6,0.6,109.0,1.5,0.9
323,328110,2014JJ00,111.5,4.5,114.4,5.0,0.4
324,328110,2015JJ00,110.8,-0.6,114.1,-0.2,0.3
325,328110,2016JJ00,111.5,0.7,115.2,1.0,0.3
326,328110,2017JJ00,114.8,3.0,119.0,3.3,0.3
327,328110,2006VJ12,91.9,2.5,88.7,3.2,0.7
328,328110,2007VJ03,92.8,,89.7,,
329,328110,2007VJ06,93.8,,90.8,,
330,328110,2007VJ09,94.1,,91.2,,
331,328110,2007VJ12,94.8,3.2,92.0,3.6,0.4
332,328110,2008VJ03,96.5,4.0,93.7,4.4,0.3
333,328110,2008VJ06,98.1,4.6,95.3,4.9,0.3
334,328110,2008VJ09,98.9,5.1,95.9,5.2,0.1
335,328110,2008VJ12,99.6,5.0,96.5,5.0,0.0
336,328110,2009VJ03,100.2,3.9,97.5,4.1,0.2
337,328110,2009VJ06,100.6,2.5,98.2,3.1,0.5
338,328110,2009VJ09,101.0,2.2,99.0,3.2,1.0
339,328110,2009VJ12,101.4,1.8,99.7,3.3,1.4
340,328110,2010VJ03,101.2,1.0,100.1,2.7,1.7
341,328110,2010VJ06,101.2,0.6,100.5,2.4,1.8
342,328110,2010VJ09,100.7,-0.3,100.4,1.4,1.7
343,328110,2010VJ12,100.0,-1.4,100.0,0.3,1.7
344,328110,2011VJ03,100.4,-0.8,100.6,0.4,1.3
345,328110,2011VJ06,100.8,-0.4,101.1,0.5,0.9
346,328110,2011VJ09,101.3,0.6,101.6,1.2,0.6
347,328110,2011VJ12,102.8,2.8,103.2,3.2,0.4
348,328110,2012VJ03,102.9,2.4,103.4,2.9,0.4
349,328110,2012VJ06,103.5,2.7,104.3,3.2,0.5
350,328110,2012VJ09,104.9,3.5,106.0,4.3,0.7
351,328110,2012VJ12,106.0,3.1,107.4,4.0,0.9
352,328110,2013VJ03,107.3,4.3,109.0,5.4,1.0
353,328110,2013VJ06,107.5,3.8,109.4,4.9,1.0
354,328110,2013VJ09,107.1,2.1,109.3,3.1,1.0
355,328110,2013VJ12,106.6,0.6,109.0,1.5,0.9
356,328110,2014VJ03,107.3,0.0,109.9,0.8,0.8
357,328110,2014VJ06,108.5,1.0,111.3,1.7,0.7
358,328110,2014VJ09,109.4,2.2,112.3,2.8,0.5
359,328110,2014VJ12,111.5,4.5,114.4,5.0,0.4
360,328110,2015VJ03,111.5,3.9,114.6,4.3,0.3
361,328110,2015VJ06,112.0,3.2,115.2,3.5,0.3
362,328110,2015VJ09,112.0,2.3,115.3,2.6,0.3
363,328110,2015VJ12,110.8,-0.6,114.1,-0.2,0.3
364,328110,2016VJ03,111.6,0.1,114.9,0.3,0.3
365,328110,2016VJ06,111.0,-0.9,114.5,-0.6,0.3
366,328110,2016VJ09,111.2,-0.7,114.8,-0.4,0.3
367,328110,2016VJ12,111.5,0.7,115.2,1.0,0.3
368,328110,2017VJ03,111.1,-0.4,114.9,0.0,0.4
369,328110,2017VJ06,112.4,1.2,116.3,1.6,0.3
370,328110,2017VJ09,113.2,1.8,117.3,2.2,0.4
371,328110,2017VJ12,114.8,3.0,119.0,3.3,0.3
372,350000,2001JJ00,82.3,,76.4,,
373,350000,2002JJ00,85.6,4.0,80.1,4.9,0.8
374,350000,2003JJ00,88.5,3.4,83.5,4.3,0.9
375,350000,2004JJ00,90.3,2.0,85.9,2.9,0.8
376,350000,2005JJ00,91.2,1.0,87.7,2.1,1.0
377,350000,2006JJ00,93.4,2.4,90.5,3.1,0.8
378,350000,2007JJ00,95.4,2.1,92.7,2.5,0.4
379,350000,2008JJ00,98.7,3.5,96.3,3.9,0.3
380,350000,2009JJ00,99.4,0.7,97.9,1.6,0.9
381,350000,2010JJ00,100.0,0.6,100.0,2.2,1.6
382,350000,2011JJ00,99.4,-0.6,100.1,0.1,0.7
383,350000,2012JJ00,102.6,3.2,104.4,4.3,1.0
384,350000,2013JJ00,101.7,-0.9,104.8,0.3,1.3
385,350000,2014JJ00,100.8,-0.8,104.9,0.1,1.0
386,350000,2015JJ00,100.8,0.0,105.3,0.4,0.4
387,350000,2016JJ00,103.4,2.6,108.3,2.9,0.3
388,350000,2017JJ00,104.2,0.8,109.3,0.9,0.1
389,350000,2006VJ12,93.4,2.4,90.5,3.1,0.8
390,350000,2007VJ03,94.3,,91.5,,
391,350000,2007VJ06,94.9,,92.1,,
392,350000,2007VJ09,95.3,,92.6,,
393,350000,2007VJ12,95.4,2.1,92.7,2.5,0.4
394,350000,2008VJ03,96.5,2.3,93.9,2.7,0.3
395,350000,2008VJ06,97.9,3.1,95.3,3.4,0.2
396,350000,2008VJ09,98.3,3.1,95.7,3.4,0.3
397,350000,2008VJ12,98.7,3.5,96.3,3.9,0.3
398,350000,2009VJ03,99.1,2.6,96.8,3.0,0.4
399,350000,2009VJ06,100.2,2.4,98.1,3.0,0.6
400,350000,2009VJ09,100.2,2.0,98.3,2.7,0.7
401,350000,2009VJ12,99.4,0.7,97.9,1.6,0.9
402,350000,2010VJ03,100.9,1.8,99.7,3.0,1.2
403,350000,2010VJ06,101.0,0.8,100.3,2.2,1.4
404,350000,2010VJ09,99.8,-0.4,99.5,1.2,1.5
405,350000,2010VJ12,100.0,0.6,100.0,2.2,1.6
406,350000,2011VJ03,99.1,-1.7,99.3,-0.4,1.3
407,350000,2011VJ06,98.8,-2.2,99.2,-1.1,1.1
408,350000,2011VJ09,98.6,-1.2,99.2,-0.3,0.9
409,350000,2011VJ12,99.4,-0.6,100.1,0.1,0.7
410,350000,2012VJ03,99.9,0.8,100.9,1.5,0.8
411,350000,2012VJ06,100.7,1.9,101.9,2.7,0.8
412,350000,2012VJ09,101.5,2.9,102.9,3.8,0.9
413,350000,2012VJ12,102.6,3.2,104.4,4.3,1.0
414,350000,2013VJ03,104.0,4.1,106.2,5.2,1.1
415,350000,2013VJ06,103.2,2.5,105.6,3.7,1.2
416,350000,2013VJ09,102.6,1.1,105.4,2.4,1.2
417,350000,2013VJ12,101.7,-0.9,104.8,0.3,1.3
418,350000,2014VJ03,100.6,-3.3,103.9,-2.1,1.2
419,350000,2014VJ06,100.5,-2.6,104.1,-1.5,1.1
420,350000,2014VJ09,100.1,-2.4,103.9,-1.4,1.0
421,350000,2014VJ12,100.8,-0.8,104.9,0.1,1.0
422,350000,2015VJ03,100.9,0.3,105.1,1.2,0.9
423,350000,2015VJ06,101.0,0.5,105.4,1.2,0.7
424,350000,2015VJ09,101.6,1.4,106.0,2.0,0.6
425,350000,2015VJ12,100.8,0.0,105.3,0.4,0.4
426,350000,2016VJ03,102.1,1.2,106.7,1.5,0.3
427,350000,2016VJ06,102.2,1.1,106.8,1.4,0.3
428,350000,2016VJ09,102.4,0.9,107.2,1.1,0.3
429,350000,2016VJ12,103.4,2.6,108.3,2.9,0.3
430,350000,2017VJ03,102.5,0.4,107.4,0.7,0.3
431,350000,2017VJ06,102.9,0.7,107.9,1.0,0.3
432,350000,2017VJ09,103.3,0.9,108.4,1.1,0.2
433,350000,2017VJ12,104.2,0.8,109.3,0.9,0.1
