ID,Feedstocks,Destination,Periods,TotalSupply_1,IndigenousProduction_2,ProductionFromCrudeOil_3,ProductionFromOtherSources_4,Imports_5,Exports_6,StockChange_7,TotalConsumption_8,Processing_9,FinalConsumption_10,OpeningStock_11,ClosingStock_12,StockChange_13
327,a,a,2015JJ00,60556.0,1798.0,263.0,355.0,104195.0,45074.0,-982.0,60556.0,58751.0,1804.0,7680.0,8653.0,-982.0
328,a,b,1944JJ00,,2.0,,,,,,,,,,,
329,a,b,1945JJ00,,6.0,,,,,,,,,,,
330,a,b,1946JJ00,,63.0,,,,,,437.0,437.0,,,,
331,a,b,1947JJ00,,213.0,,,,,,1198.0,1198.0,,,,
332,a,b,1948JJ00,,496.0,,,,,,1663.0,1663.0,,,,
333,a,b,1949JJ00,,621.0,,,,,,3093.0,3093.0,,,,
334,a,b,1950JJ00,,705.0,,,5132.0,,,5778.0,5778.0,,,,
335,a,b,1951JJ00,,714.0,,,6419.0,,,7174.0,7174.0,,,,
336,a,b,1952JJ00,,715.0,,,7468.0,,,8039.0,8039.0,,,,
337,a,b,1953JJ00,,820.0,,,8690.0,,,9364.0,9364.0,,,,
338,a,b,1954JJ00,,939.0,,,10321.0,,,11378.0,11378.0,,,,
339,a,b,1955JJ00,,1024.0,,,11779.0,,,12884.0,12884.0,,,,
340,a,b,1956JJ00,,1097.0,,,13672.0,,,14562.0,14562.0,,,,
341,a,b,1957JJ00,,1523.0,,,14007.0,,,15334.0,15334.0,,,,
342,a,b,1958JJ00,,1621.0,,,14272.0,,,16107.0,16107.0,,,,
343,a,b,1959JJ00,,1773.0,,,14874.0,,,16621.0,16621.0,,,,
344,a,b,1960JJ00,,1918.0,,,18873.0,54.0,,20499.0,20499.0,,,,
345,a,b,1961JJ00,,2047.0,,,19162.0,18.0,,21492.0,21492.0,,,,
346,a,b,1962JJ00,,2157.0,,,22256.0,,,24237.0,24237.0,,,,
347,a,b,1963JJ00,,2215.0,,,22986.0,336.0,,24955.0,24955.0,,,,
348,a,b,1964JJ00,,2269.0,,,26471.0,12.0,,28489.0,28489.0,,,,
349,a,b,1965JJ00,,2395.0,,,28723.0,148.0,,31210.0,31210.0,,,,
350,a,b,1966JJ00,,2366.0,,,31760.0,1.0,,33962.0,33962.0,,,,
351,a,b,1967JJ00,,2265.0,,,33787.0,18.0,,35225.0,35225.0,,,,
352,a,b,1968JJ00,,2147.0,,,38188.0,58.0,,39647.0,39647.0,,,,
353,a,b,1969JJ00,,2020.0,,,50775.0,495.0,,51918.0,51918.0,,,,
354,a,b,1970JJ00,,1919.0,,,60130.0,14.0,,62205.0,62205.0,,,,
355,a,b,1971JJ00,,1714.0,,,60732.0,1.0,,61278.0,61278.0,,,,
356,a,b,1972JJ00,,1637.0,,,67788.0,0.0,,69947.0,69947.0,,,,
357,a,b,1973JJ00,,1556.0,,,72161.0,0.0,,73385.0,73385.0,,,,
358,a,b,1974JJ00,,1575.0,,,64585.0,9.0,,64561.0,64561.0,,,,
359,a,b,1975JJ00,,1573.0,,,55225.0,6.0,,57034.0,57034.0,,,,
360,a,b,1976JJ00,,1546.0,,,63882.0,1.0,,65085.0,65085.0,,,,
361,a,b,1977JJ00,,1598.0,,,58929.0,2.0,,60850.0,60850.0,,,,
362,a,b,1978JJ00,,1520.0,,,55334.0,3.0,,57437.0,57437.0,,,,
363,a,b,1979JJ00,,1581.0,,,59406.0,26.0,,60488.0,60488.0,,,,
364,a,b,1980JJ00,50530.0,1568.0,,,49914.0,24.0,-929.0,50530.0,50530.0,,5077.0,6006.0,-929.0
365,a,b,1981JJ00,40744.0,1606.0,,,38416.0,46.0,768.0,40744.0,40744.0,,5081.0,4313.0,768.0
366,a,b,1982JJ00,39581.0,1894.0,,,37228.0,42.0,501.0,39581.0,39581.0,,4313.0,3812.0,501.0
367,a,b,1983JJ00,43670.0,2900.0,,,40210.0,221.0,781.0,43670.0,43670.0,,3812.0,3031.0,781.0
368,a,b,1984JJ00,47882.0,3432.0,,,44593.0,462.0,319.0,47882.0,47882.0,,3031.0,2711.0,319.0
369,a,b,1985JJ00,42669.0,4069.0,,,39806.0,1450.0,243.0,42669.0,42669.0,,2711.0,2468.0,243.0
370,a,b,1986JJ00,50155.0,4995.0,,,46973.0,1269.0,-545.0,50155.0,50155.0,,2468.0,3013.0,-545.0
371,a,b,1987JJ00,51765.0,4663.0,,,48133.0,928.0,-104.0,51765.0,51765.0,,3013.0,3117.0,-104.0
372,a,b,1988JJ00,54363.0,4271.0,,,51276.0,889.0,-295.0,54363.0,54363.0,,3043.0,3338.0,-295.0
373,a,b,1989JJ00,54243.0,3814.0,,,51107.0,1018.0,340.0,54243.0,54243.0,,3338.0,2998.0,340.0
374,a,b,1990JJ00,51765.0,3976.0,,,49010.0,1317.0,96.0,51765.0,51765.0,,2998.0,2903.0,96.0
375,a,b,1991JJ00,55716.0,3719.0,,,52780.0,1188.0,406.0,55716.0,55716.0,,2903.0,2497.0,406.0
376,a,b,1992JJ00,57349.0,3324.0,,,56160.0,980.0,-1154.0,57349.0,57349.0,,2497.0,3652.0,-1154.0
377,a,b,1993JJ00,58567.0,3284.0,,,55276.0,860.0,866.0,58567.0,58567.0,,3652.0,2786.0,866.0
378,a,b,1994JJ00,58859.0,4352.0,,,56740.0,1523.0,-710.0,58859.0,58859.0,,2786.0,3496.0,-710.0
379,a,b,1995JJ00,62534.0,3523.0,,,59821.0,1205.0,395.0,62534.0,62534.0,,3496.0,3101.0,395.0
380,a,b,1996JJ00,63577.0,3188.0,,,61585.0,843.0,-353.0,63577.0,63577.0,,3101.0,3454.0,-353.0
381,a,b,1997JJ00,63488.0,3026.0,,,60640.0,521.0,343.0,63488.0,63488.0,,3454.0,3112.0,343.0
382,a,b,1998JJ00,64801.0,2736.0,,,62058.0,343.0,350.0,64801.0,64801.0,,3112.0,2762.0,350.0
383,a,b,1999JJ00,61337.0,2580.0,,,59109.0,307.0,-46.0,61337.0,61337.0,,2762.0,2808.0,-46.0
384,a,b,2000MM01,5251.0,238.0,,,4951.0,33.0,94.0,5251.0,5251.0,,2808.0,2714.0,94.0
385,a,b,2000MM02,4982.0,209.0,,,5312.0,24.0,-514.0,4982.0,4982.0,,2714.0,3228.0,-514.0
386,a,b,2000MM03,5008.0,221.0,,,4563.0,3.0,228.0,5008.0,5008.0,,3228.0,3000.0,228.0
