ID,Perioden,Jaargemiddelde_1,Wintergemiddelde_2,Zomergemiddelde_3,GemiddeldDagminimumWinter_4,GemiddeldDagmaximumZomer_5,IJsdagen_6,Vorstdagen_7,ZomerseDagen_8,TropischeDagen_9,Graaddagen_10,HoeveelheidNeerslag_11,DagenMetNeerslag_12,Sneeuwdagen_13,DrogeDagen_14,DagenMetMist_15,Verdamping_16,RelatieveVochtigheid_17,HoeveelheidZonneschijn_18,ZonlozeDagen_19
133,1931JJ00,8.8,2.0,15.9,,,,,,,,789.0,,,,,,,1539.0,
134,1932JJ00,9.4,2.9,17.1,,,,,,,,760.0,,,,,,,1546.0,
135,1933JJ00,9.0,2.1,17.0,,,,,,,,522.0,,,,,,,1759.0,
136,1934JJ00,10.2,1.2,16.6,,,,,,,,728.0,,,,,,,1652.0,
137,1935JJ00,9.7,4.8,17.1,,,,,,,,939.0,,,,,,,1572.0,
138,1936JJ00,9.5,3.2,16.6,,,,,,,,766.0,,,,,,,1498.0,
139,1937JJ00,9.5,3.6,16.6,,,,,,,,745.0,,,,,,,1286.0,
140,1938JJ00,9.7,3.0,16.5,,,,,,,,801.0,,,,,,,1450.0,
141,1939JJ00,9.6,2.7,17.0,,,,,,,,859.0,,,,,,,1618.0,
142,1940JJ00,8.1,-1.9,15.9,,,,,,,3629.0,840.0,,,,,,,1637.0,
143,1941JJ00,8.7,-0.1,17.0,,,,,,,3482.0,762.0,,,,,,,1560.0,
144,1942JJ00,8.3,-1.5,16.1,,,,,,,3568.0,800.0,,,,,,,1597.0,
145,1943JJ00,9.6,3.8,16.1,,,,,,,3090.0,686.0,,,,,,,1816.0,
146,1944JJ00,9.5,2.8,16.8,,,,,,,3193.0,828.0,,,,,,,1547.0,
147,1945JJ00,10.0,2.3,16.7,,,,,,,2974.0,824.0,,,,,,,1428.0,
148,1946JJ00,9.1,2.7,15.7,,,,,,,3281.0,818.0,,,,,,,1522.0,
149,1947JJ00,9.5,-2.4,18.7,,,,,,,3289.0,751.0,,,,,,,1882.0,
150,1948JJ00,9.9,4.1,16.1,,,,,,,3039.0,738.0,,,,,,,1678.0,
151,1949JJ00,10.0,3.7,16.3,,,,,,,2959.0,667.0,,,,,,,1829.0,
152,1950JJ00,9.4,3.6,17.2,,,15.0,65.0,22.0,,3193.0,951.0,,,,,,,1562.0,
153,1951JJ00,9.8,2.2,16.1,,,,,,,3064.0,810.0,,,,,,,1611.0,
154,1952JJ00,9.0,3.1,16.5,,,6.0,75.0,14.0,,3379.0,792.0,,,,,,,1604.0,
155,1953JJ00,9.9,1.8,16.5,,,9.0,55.0,21.0,,3075.0,607.0,,,,,,,1528.0,
156,1954JJ00,9.1,1.8,15.1,,,15.0,62.0,9.0,,3291.0,818.0,,,,,,,1410.0,
157,1955JJ00,9.0,2.0,16.7,,,14.0,88.0,17.0,,3410.0,660.0,,,,,,,1640.0,
158,1956JJ00,8.2,0.2,14.4,,,28.0,76.0,4.0,,3607.0,752.0,,,,,,,1387.0,
159,1957JJ00,9.7,4.6,16.2,,,3.0,41.0,15.0,,3014.0,924.0,,,,,,,1488.0,
160,1958JJ00,9.2,3.0,15.9,,,1.0,64.0,15.0,,3190.0,829.0,,,,,,,1413.0,
161,1959JJ00,9.9,2.3,17.3,,,11.0,55.0,37.0,,2960.0,539.0,,,,,,,1986.0,
162,1960JJ00,9.6,3.2,15.6,,,5.0,44.0,10.0,,3063.0,928.0,,,,,,,1355.0,
163,1961JJ00,9.8,3.7,15.6,,,9.0,42.0,16.0,,3010.0,912.0,,,,,,,1435.0,
164,1962JJ00,8.1,2.7,14.7,,,13.0,72.0,4.0,,3601.0,765.0,,,,,,,1398.0,
165,1963JJ00,7.8,-3.1,15.8,,,42.0,92.0,25.0,,3717.0,777.0,,,,,,,1425.0,
166,1964JJ00,8.9,1.1,15.8,,,11.0,71.0,23.0,,3320.0,748.0,,,,,,,1531.0,
167,1965JJ00,8.5,2.2,14.8,,,6.0,72.0,4.0,,3404.0,1160.0,,,,,,,1509.0,
168,1966JJ00,9.4,3.0,16.1,,,16.0,57.0,14.0,,3171.0,1143.0,,,,,,,1319.0,
169,1967JJ00,9.9,4.2,16.3,,,3.0,41.0,15.0,,2991.0,856.0,,,,,,,1498.0,
170,1968JJ00,9.1,2.3,16.1,,,14.0,79.0,15.0,,3268.0,863.0,,,,,,,1332.0,
171,1969JJ00,9.5,1.6,17.4,,,17.0,81.0,29.0,,3282.0,748.0,,,,,,,1519.0,
172,1970JJ00,9.1,0.1,16.7,,,14.0,72.0,24.0,,3295.0,909.0,,,,,,,1490.0,
173,1971JJ00,9.5,2.8,16.1,,,9.0,66.0,13.0,,3133.0,562.0,111.0,,,,,,1621.0,84.0
174,1972JJ00,8.8,3.2,15.4,,,7.0,61.0,9.0,,3379.0,656.0,122.0,,,,,,1469.0,85.0
175,1973JJ00,9.3,3.0,16.9,,,3.0,70.0,24.0,,3234.0,780.0,125.0,,,,,,1608.0,79.0
176,1974JJ00,9.7,4.2,15.5,,,2.0,37.0,7.0,,3033.0,993.0,153.0,,,,,,1528.0,81.0
177,1975JJ00,9.8,5.5,17.6,,,0.0,58.0,32.0,,3083.0,628.0,118.0,,,,,,1643.0,69.0
178,1976JJ00,10.0,3.5,18.4,,,8.0,64.0,45.0,,3097.0,542.0,105.0,,,,,,1813.0,64.0
179,1977JJ00,9.8,3.2,15.9,,,3.0,47.0,6.0,,2997.0,813.0,145.0,,,,,,1365.0,79.0
180,1978JJ00,9.0,3.0,15.2,,,14.0,64.0,13.0,,3304.0,645.0,133.0,,,,,,1317.0,92.0
181,1979JJ00,8.5,-0.8,15.5,,,25.0,83.0,13.0,,3476.0,873.0,147.0,,,,,,1331.0,91.0
182,1980JJ00,9.3,3.5,15.9,0.8,20.3,10.0,72.0,12.0,0.0,3301.0,863.0,137.0,37.0,,75.0,635.0,85.0,1427.0,87.0
183,1981JJ00,9.2,2.6,15.8,-0.2,20.0,12.0,73.0,14.0,0.0,3244.0,992.0,146.0,46.0,71.0,80.0,599.0,83.0,1308.0,86.0
184,1982JJ00,10.1,1.1,17.6,-2.1,24.5,18.0,74.0,32.0,6.0,3005.0,635.0,117.0,18.0,145.0,80.0,669.0,81.0,1649.0,67.0
185,1983JJ00,10.1,3.5,18.2,0.7,23.9,3.0,63.0,40.0,7.0,2999.0,891.0,128.0,26.0,124.0,63.0,656.0,81.0,1550.0,69.0
186,1984JJ00,9.5,3.1,15.9,0.4,20.8,3.0,56.0,16.0,2.0,3177.0,890.0,131.0,28.0,106.0,73.0,602.0,83.0,1392.0,73.0
187,1985JJ00,8.5,0.2,15.7,-3.2,20.2,28.0,89.0,15.0,1.0,3487.0,727.0,127.0,51.0,106.0,97.0,610.0,84.0,1390.0,86.0
188,1986JJ00,9.0,1.5,16.4,-1.4,21.6,19.0,73.0,21.0,3.0,3333.0,834.0,117.0,36.0,123.0,65.0,669.0,80.0,1550.0,69.0
189,1987JJ00,8.9,1.5,15.6,-1.4,19.9,17.0,80.0,11.0,0.0,3372.0,976.0,138.0,31.0,105.0,62.0,480.0,82.0,1308.0,87.0
190,1988JJ00,10.3,5.0,15.8,2.3,20.2,0.0,34.0,15.0,0.0,2823.0,933.0,151.0,23.0,103.0,53.0,506.0,81.0,1218.0,84.0
191,1989JJ00,10.7,5.6,17.0,2.8,22.5,1.0,41.0,34.0,3.0,2729.0,718.0,107.0,12.0,145.0,66.0,573.0,80.0,1719.0,70.0
192,1990JJ00,10.9,6.0,16.8,3.2,21.9,0.0,33.0,32.0,3.0,2677.0,764.0,124.0,15.0,127.0,46.0,547.0,79.0,1622.0,66.0
193,1991JJ00,9.5,2.2,16.6,-0.9,21.1,8.0,68.0,26.0,1.0,3163.0,716.0,107.0,17.0,132.0,74.0,538.0,81.0,1530.0,73.0
194,1992JJ00,10.5,3.8,17.8,0.9,22.6,6.0,34.0,33.0,3.0,2829.0,957.0,133.0,9.0,119.0,50.0,579.0,81.0,1536.0,81.0
195,1993JJ00,9.6,3.7,15.7,1.1,20.0,8.0,60.0,13.0,0.0,3076.0,929.0,129.0,21.0,124.0,50.0,489.0,83.0,1494.0,79.0
196,1994JJ00,10.6,3.9,18.0,1.1,23.0,7.0,48.0,24.0,9.0,2835.0,1036.0,142.0,12.0,126.0,52.0,540.0,83.0,1548.0,56.0
197,1995JJ00,10.4,5.3,18.2,2.3,23.4,12.0,61.0,41.0,11.0,2917.0,798.0,125.0,40.0,131.0,58.0,590.0,83.0,1814.0,43.0
198,1996JJ00,8.6,-0.1,16.4,-2.9,21.2,25.0,101.0,20.0,2.0,3504.0,614.0,98.0,32.0,151.0,49.0,523.0,81.0,1607.0,74.0
199,1997JJ00,10.3,1.9,18.0,-1.0,22.9,12.0,55.0,28.0,6.0,2929.0,786.0,118.0,8.0,133.0,63.0,561.0,83.0,1693.0,54.0
200,1998JJ00,10.4,5.4,16.2,2.3,20.6,6.0,41.0,17.0,5.0,2821.0,1307.0,165.0,20.0,96.0,46.0,492.0,86.0,1354.0,57.0
201,1999JJ00,10.9,4.4,17.2,1.4,22.4,2.0,45.0,31.0,3.0,2676.0,977.0,161.0,31.0,117.0,40.0,583.0,83.0,1720.0,50.0
202,2000JJ00,10.9,5.0,16.4,2.1,21.1,2.0,35.0,22.0,2.0,2659.0,975.0,158.0,12.0,91.0,45.0,541.0,84.0,1515.0,55.0
203,2001JJ00,10.4,4.1,17.4,1.3,22.4,3.0,66.0,24.0,6.0,2880.0,1091.0,157.0,32.0,105.0,50.0,571.0,84.0,1623.0,56.0
204,2002JJ00,10.8,4.8,17.6,1.7,22.3,6.0,40.0,18.0,4.0,2720.0,988.0,139.0,5.0,134.0,93.0,574.0,83.0,1688.0,51.0
205,2003JJ00,10.3,2.4,18.6,-0.9,24.5,6.0,75.0,48.0,13.0,2913.0,648.0,105.0,20.0,159.0,109.0,635.0,80.0,2022.0,45.0
206,2004JJ00,10.3,4.1,17.0,1.2,21.9,3.0,65.0,25.0,3.0,2880.0,910.0,128.0,23.0,128.0,111.0,569.0,82.0,1623.0,56.0
207,2005JJ00,10.7,3.6,16.9,0.8,21.8,3.0,48.0,34.0,4.0,2765.0,873.0,134.0,34.0,120.0,95.0,591.0,82.0,1789.0,31.0
208,2006JJ00,11.2,2.8,18.5,0.2,23.7,2.0,60.0,51.0,13.0,2671.0,867.0,124.0,17.0,140.0,48.0,601.0,81.0,1725.0,31.0
209,2007JJ00,11.2,5.7,17.2,3.0,21.7,2.0,35.0,20.0,1.0,2525.0,1033.0,134.0,8.0,132.0,102.0,581.0,82.0,1690.0,48.0
210,2008JJ00,10.6,5.1,17.3,2.0,22.0,3.0,55.0,26.0,1.0,2785.0,943.0,132.0,17.0,125.0,95.0,576.0,81.0,1735.0,46.0
211,2009JJ00,10.5,2.2,17.4,-0.6,22.4,9.0,56.0,27.0,1.0,2805.0,833.0,132.0,28.0,132.0,88.0,612.0,81.0,1838.0,37.0
212,2010JJ00,9.1,1.1,17.7,-1.5,22.7,29.0,89.0,27.0,3.0,3321.0,901.0,123.0,58.0,126.0,100.0,590.0,80.0,1752.0,62.0
213,2011JJ00,10.9,2.3,16.3,-0.5,20.6,4.0,50.0,20.0,1.0,2622.0,962.0,127.0,9.0,147.0,98.0,585.0,81.0,1788.0,48.0
214,2012JJ00,10.3,4.1,16.9,1.1,21.4,13.0,50.0,24.0,2.0,2879.0,973.0,140.0,10.0,120.0,88.0,564.0,81.0,1610.0,48.0
215,2013JJ00,9.8,2.9,17.5,0.4,22.5,13.0,69.0,27.0,7.0,3078.0,934.0,139.0,32.0,139.0,85.0,565.0,80.0,1628.0,57.0
216,2014JJ00,11.7,6.0,17.4,3.3,22.0,0.0,26.0,23.0,2.0,2385.0,952.0,124.0,3.0,130.0,88.0,607.0,81.0,1787.0,42.0
