ID,BedrijfstakkenBranchesSBI2008,Aardgas,Elektriciteit,Perioden,Adressen_1,GeleverdAardgas_2,GeleverdeElektriciteit_3
65,T001081,A049752,A049761,2020JJ00,264150.0,387200.0,993800.0
66,T001081,A049752,A049761,2021JJ00,263180.0,424400.0,973600.0
67,T001081,A049752,A049761,2022JJ00,270610.0,373000.0,990600.0
68,T001081,A049752,A049761,2023JJ00,278900.0,337400.0,974500.0
69,T001081,A049752,A049761,2024JJ00,288615.0,336000.0,1006600.0
70,T001081,A049752,A049762,2018JJ00,102435.0,270200.0,2180600.0
71,T001081,A049752,A049762,2019JJ00,102700.0,262600.0,2199400.0
72,T001081,A049752,A049762,2020JJ00,96080.0,238700.0,2054700.0
73,T001081,A049752,A049762,2021JJ00,86655.0,222700.0,1833300.0
74,T001081,A049752,A049762,2022JJ00,94000.0,225700.0,2019100.0
75,T001081,A049752,A049762,2023JJ00,92360.0,206100.0,1993700.0
76,T001081,A049752,A049762,2024JJ00,97350.0,210500.0,2109000.0
77,T001081,A049752,A049763,2018JJ00,12120.0,34200.0,817100.0
78,T001081,A049752,A049763,2019JJ00,12695.0,35300.0,857300.0
79,T001081,A049752,A049763,2020JJ00,11450.0,30700.0,774200.0
80,T001081,A049752,A049763,2021JJ00,9980.0,27300.0,674300.0
81,T001081,A049752,A049763,2022JJ00,11560.0,30400.0,782400.0
82,T001081,A049752,A049763,2023JJ00,11620.0,29400.0,785300.0
83,T001081,A049752,A049763,2024JJ00,12555.0,31100.0,850500.0
84,T001081,A049752,A049764,2018JJ00,3635.0,9900.0,489700.0
85,T001081,A049752,A049764,2019JJ00,3740.0,10000.0,503400.0
86,T001081,A049752,A049764,2020JJ00,3550.0,9500.0,479000.0
87,T001081,A049752,A049764,2021JJ00,3035.0,8100.0,411900.0
88,T001081,A049752,A049764,2022JJ00,3565.0,9300.0,481000.0
89,T001081,A049752,A049764,2023JJ00,3670.0,9200.0,497000.0
90,T001081,A049752,A049764,2024JJ00,4110.0,10000.0,558300.0
91,T001081,A049752,A049765,2018JJ00,2300.0,5900.0,1425800.0
92,T001081,A049752,A049765,2019JJ00,2220.0,5600.0,1389300.0
93,T001081,A049752,A049765,2020JJ00,2215.0,5500.0,1428800.0
94,T001081,A049752,A049765,2021JJ00,2070.0,5200.0,1332700.0
95,T001081,A049752,A049765,2022JJ00,2395.0,5800.0,1519000.0
96,T001081,A049752,A049765,2023JJ00,2485.0,5800.0,1616500.0
97,T001081,A049752,A049765,2024JJ00,2870.0,6600.0,1764600.0
98,T001081,A049752,A049766,2018JJ00,15.0,0.0,335900.0
99,T001081,A049752,A049766,2019JJ00,15.0,100.0,253900.0
100,T001081,A049752,A049766,2020JJ00,15.0,0.0,302400.0
101,T001081,A049752,A049766,2021JJ00,15.0,0.0,269200.0
102,T001081,A049752,A049766,2022JJ00,15.0,0.0,248500.0
103,T001081,A049752,A049766,2023JJ00,15.0,0.0,292800.0
104,T001081,A049752,A049766,2024JJ00,20.0,0.0,324200.0
105,T001081,A049752,A049767,2018JJ00,47255.0,90200.0,
106,T001081,A049752,A049767,2019JJ00,38440.0,74500.0,
107,T001081,A049752,A049767,2020JJ00,29435.0,53200.0,
108,T001081,A049752,A049767,2021JJ00,31800.0,58100.0,
109,T001081,A049752,A049767,2022JJ00,32050.0,53700.0,
110,T001081,A049752,A049767,2023JJ00,33985.0,52400.0,
111,T001081,A049752,A049767,2024JJ00,34960.0,51900.0,
112,T001081,A049753,T001604,2018JJ00,133405.0,1345000.0,8834900.0
113,T001081,A049753,T001604,2019JJ00,123690.0,1247400.0,8488800.0
114,T001081,A049753,T001604,2020JJ00,109905.0,1126200.0,8123600.0
115,T001081,A049753,T001604,2021JJ00,117540.0,1204300.0,7809800.0
116,T001081,A049753,T001604,2022JJ00,98840.0,1016200.0,7834800.0
117,T001081,A049753,T001604,2023JJ00,84525.0,874200.0,7204000.0
118,T001081,A049753,T001604,2024JJ00,78350.0,803900.0,7715200.0
119,T001081,A049753,A049761,2018JJ00,15465.0,116000.0,97100.0
120,T001081,A049753,A049761,2019JJ00,12685.0,95200.0,80000.0
121,T001081,A049753,A049761,2020JJ00,10705.0,80600.0,68100.0
122,T001081,A049753,A049761,2021JJ00,14700.0,109600.0,93400.0
123,T001081,A049753,A049761,2022JJ00,9270.0,69700.0,59500.0
124,T001081,A049753,A049761,2023JJ00,7295.0,55500.0,46000.0
125,T001081,A049753,A049761,2024JJ00,6020.0,45800.0,37800.0
126,T001081,A049753,A049762,2018JJ00,62900.0,576100.0,1652600.0
127,T001081,A049753,A049762,2019JJ00,58930.0,539800.0,1565400.0
