ID,Zorgfuncties,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
276,A019213,A019149,2021JJ00,11177.0
277,A019213,A019149,2022JJ00,11941.0
278,A019213,A019149,2023JJ00,12969.0
279,A019213,A019149,2024JJ00,14303.0
280,A019213,A019150,2021JJ00,10811.0
281,A019213,A019150,2022JJ00,11560.0
282,A019213,A019150,2023JJ00,12568.0
283,A019213,A019150,2024JJ00,13876.0
284,A019213,A019151,2021JJ00,6091.0
285,A019213,A019151,2022JJ00,6336.0
286,A019213,A019151,2023JJ00,6757.0
287,A019213,A019151,2024JJ00,7390.0
288,A019213,A019152,2021JJ00,4720.0
289,A019213,A019152,2022JJ00,5224.0
290,A019213,A019152,2023JJ00,5811.0
291,A019213,A019152,2024JJ00,6486.0
292,A019213,A019154,2021JJ00,4720.0
293,A019213,A019154,2022JJ00,5224.0
294,A019213,A019154,2023JJ00,5811.0
295,A019213,A019154,2024JJ00,6486.0
296,A019213,A019155,2021JJ00,
297,A019213,A019155,2022JJ00,
298,A019213,A019155,2023JJ00,
299,A019213,A019155,2024JJ00,
300,A019213,A019156,2021JJ00,0.0
301,A019213,A019156,2022JJ00,0.0
302,A019213,A019156,2023JJ00,0.0
303,A019213,A019156,2024JJ00,0.0
304,A019213,A041720,2021JJ00,365.0
305,A019213,A041720,2022JJ00,381.0
306,A019213,A041720,2023JJ00,401.0
307,A019213,A041720,2024JJ00,427.0
308,A019213,A019157,2021JJ00,0.0
309,A019213,A019157,2022JJ00,0.0
310,A019213,A019157,2023JJ00,0.0
311,A019213,A019157,2024JJ00,0.0
312,A019213,A019158,2021JJ00,0.0
313,A019213,A019158,2022JJ00,0.0
314,A019213,A019158,2023JJ00,0.0
315,A019213,A019158,2024JJ00,0.0
316,A019213,A019161,2021JJ00,0.0
317,A019213,A019161,2022JJ00,0.0
318,A019213,A019161,2023JJ00,0.0
319,A019213,A019161,2024JJ00,0.0
320,A019213,A019162,2021JJ00,0.0
321,A019213,A019162,2022JJ00,0.0
322,A019213,A019162,2023JJ00,0.0
323,A019213,A019162,2024JJ00,0.0
324,A019213,A019163,2021JJ00,365.0
325,A019213,A019163,2022JJ00,381.0
326,A019213,A019163,2023JJ00,401.0
327,A019213,A019163,2024JJ00,427.0
328,A019213,A019164,2021JJ00,0.0
329,A019213,A019164,2022JJ00,0.0
330,A019213,A019164,2023JJ00,0.0
331,A019213,A019164,2024JJ00,0.0
332,A019213,A019165,2021JJ00,365.0
333,A019213,A019165,2022JJ00,381.0
334,A019213,A019165,2023JJ00,401.0
335,A019213,A019165,2024JJ00,427.0
336,A019213,A019166,2021JJ00,0.0
337,A019213,A019166,2022JJ00,0.0
338,A019213,A019166,2023JJ00,0.0
339,A019213,A019166,2024JJ00,0.0
340,A019214,T001103,2021JJ00,11177.0
341,A019214,T001103,2022JJ00,11941.0
342,A019214,T001103,2023JJ00,12969.0
343,A019214,T001103,2024JJ00,14303.0
344,A019214,A019149,2021JJ00,11177.0
345,A019214,A019149,2022JJ00,11941.0
346,A019214,A019149,2023JJ00,12969.0
347,A019214,A019149,2024JJ00,14303.0
348,A019214,A019150,2021JJ00,10811.0
349,A019214,A019150,2022JJ00,11560.0
350,A019214,A019150,2023JJ00,12568.0
351,A019214,A019150,2024JJ00,13876.0
352,A019214,A019151,2021JJ00,6091.0
353,A019214,A019151,2022JJ00,6336.0
354,A019214,A019151,2023JJ00,6757.0
355,A019214,A019151,2024JJ00,7390.0
356,A019214,A019152,2021JJ00,4720.0
357,A019214,A019152,2022JJ00,5224.0
358,A019214,A019152,2023JJ00,5811.0
359,A019214,A019152,2024JJ00,6486.0
360,A019214,A019154,2021JJ00,4720.0
361,A019214,A019154,2022JJ00,5224.0
362,A019214,A019154,2023JJ00,5811.0
363,A019214,A019154,2024JJ00,6486.0
364,A019214,A019155,2021JJ00,
365,A019214,A019155,2022JJ00,
366,A019214,A019155,2023JJ00,
367,A019214,A019155,2024JJ00,
368,A019214,A019156,2021JJ00,0.0
369,A019214,A019156,2022JJ00,0.0
370,A019214,A019156,2023JJ00,0.0
371,A019214,A019156,2024JJ00,0.0
372,A019214,A041720,2021JJ00,365.0
373,A019214,A041720,2022JJ00,381.0
374,A019214,A041720,2023JJ00,401.0
375,A019214,A041720,2024JJ00,427.0
376,A019214,A019157,2021JJ00,0.0
377,A019214,A019157,2022JJ00,0.0
378,A019214,A019157,2023JJ00,0.0
379,A019214,A019157,2024JJ00,0.0
380,A019214,A019158,2021JJ00,0.0
381,A019214,A019158,2022JJ00,0.0
382,A019214,A019158,2023JJ00,0.0
383,A019214,A019158,2024JJ00,0.0
384,A019214,A019161,2021JJ00,0.0
385,A019214,A019161,2022JJ00,0.0
386,A019214,A019161,2023JJ00,0.0
387,A019214,A019161,2024JJ00,0.0
388,A019214,A019162,2021JJ00,0.0
389,A019214,A019162,2022JJ00,0.0
390,A019214,A019162,2023JJ00,0.0
391,A019214,A019162,2024JJ00,0.0
392,A019214,A019163,2021JJ00,365.0
393,A019214,A019163,2022JJ00,381.0
394,A019214,A019163,2023JJ00,401.0
395,A019214,A019163,2024JJ00,427.0
396,A019214,A019164,2021JJ00,0.0
397,A019214,A019164,2022JJ00,0.0
398,A019214,A019164,2023JJ00,0.0
399,A019214,A019164,2024JJ00,0.0
400,A019214,A019165,2021JJ00,365.0
401,A019214,A019165,2022JJ00,381.0
402,A019214,A019165,2023JJ00,401.0
403,A019214,A019165,2024JJ00,427.0
404,A019214,A019166,2021JJ00,0.0
405,A019214,A019166,2022JJ00,0.0
406,A019214,A019166,2023JJ00,0.0
407,A019214,A019166,2024JJ00,0.0
408,A019215,T001103,2021JJ00,9452.0
409,A019215,T001103,2022JJ00,10166.0
410,A019215,T001103,2023JJ00,11061.0
411,A019215,T001103,2024JJ00,12228.0
412,A019215,A019149,2021JJ00,9452.0
413,A019215,A019149,2022JJ00,10166.0
414,A019215,A019149,2023JJ00,11061.0
415,A019215,A019149,2024JJ00,12228.0
416,A019215,A019150,2021JJ00,9091.0
417,A019215,A019150,2022JJ00,9788.0
418,A019215,A019150,2023JJ00,10663.0
419,A019215,A019150,2024JJ00,11803.0
420,A019215,A019151,2021JJ00,5771.0
421,A019215,A019151,2022JJ00,6082.0
422,A019215,A019151,2023JJ00,6511.0
423,A019215,A019151,2024JJ00,7151.0
424,A019215,A019152,2021JJ00,3320.0
425,A019215,A019152,2022JJ00,3706.0
426,A019215,A019152,2023JJ00,4152.0
427,A019215,A019152,2024JJ00,4652.0
428,A019215,A019154,2021JJ00,3320.0
429,A019215,A019154,2022JJ00,3706.0
430,A019215,A019154,2023JJ00,4152.0
431,A019215,A019154,2024JJ00,4652.0
432,A019215,A019155,2021JJ00,
433,A019215,A019155,2022JJ00,
434,A019215,A019155,2023JJ00,
435,A019215,A019155,2024JJ00,
436,A019215,A019156,2021JJ00,0.0
437,A019215,A019156,2022JJ00,0.0
438,A019215,A019156,2023JJ00,0.0
439,A019215,A019156,2024JJ00,0.0
440,A019215,A041720,2021JJ00,361.0
441,A019215,A041720,2022JJ00,378.0
442,A019215,A041720,2023JJ00,398.0
443,A019215,A041720,2024JJ00,424.0
444,A019215,A019157,2021JJ00,0.0
445,A019215,A019157,2022JJ00,0.0
446,A019215,A019157,2023JJ00,0.0
447,A019215,A019157,2024JJ00,0.0
448,A019215,A019158,2021JJ00,0.0
449,A019215,A019158,2022JJ00,0.0
450,A019215,A019158,2023JJ00,0.0
451,A019215,A019158,2024JJ00,0.0
452,A019215,A019161,2021JJ00,0.0
453,A019215,A019161,2022JJ00,0.0
454,A019215,A019161,2023JJ00,0.0
455,A019215,A019161,2024JJ00,0.0
456,A019215,A019162,2021JJ00,0.0
457,A019215,A019162,2022JJ00,0.0
458,A019215,A019162,2023JJ00,0.0
459,A019215,A019162,2024JJ00,0.0
460,A019215,A019163,2021JJ00,361.0
461,A019215,A019163,2022JJ00,378.0
462,A019215,A019163,2023JJ00,398.0
463,A019215,A019163,2024JJ00,424.0
464,A019215,A019164,2021JJ00,0.0
465,A019215,A019164,2022JJ00,0.0
466,A019215,A019164,2023JJ00,0.0
467,A019215,A019164,2024JJ00,0.0
468,A019215,A019165,2021JJ00,361.0
469,A019215,A019165,2022JJ00,378.0
470,A019215,A019165,2023JJ00,398.0
471,A019215,A019165,2024JJ00,424.0
472,A019215,A019166,2021JJ00,0.0
473,A019215,A019166,2022JJ00,0.0
474,A019215,A019166,2023JJ00,0.0
475,A019215,A019166,2024JJ00,0.0
476,A019216,T001103,2021JJ00,1725.0
477,A019216,T001103,2022JJ00,1775.0
478,A019216,T001103,2023JJ00,1908.0
479,A019216,T001103,2024JJ00,2076.0
480,A019216,A019149,2021JJ00,1725.0
481,A019216,A019149,2022JJ00,1775.0
482,A019216,A019149,2023JJ00,1908.0
483,A019216,A019149,2024JJ00,2076.0
484,A019216,A019150,2021JJ00,1720.0
485,A019216,A019150,2022JJ00,1771.0
486,A019216,A019150,2023JJ00,1905.0
487,A019216,A019150,2024JJ00,2072.0
488,A019216,A019151,2021JJ00,320.0
489,A019216,A019151,2022JJ00,254.0
490,A019216,A019151,2023JJ00,246.0
491,A019216,A019151,2024JJ00,239.0
492,A019216,A019152,2021JJ00,1400.0
493,A019216,A019152,2022JJ00,1517.0
494,A019216,A019152,2023JJ00,1659.0
495,A019216,A019152,2024JJ00,1833.0
496,A019216,A019154,2021JJ00,1400.0
497,A019216,A019154,2022JJ00,1517.0
498,A019216,A019154,2023JJ00,1659.0
499,A019216,A019154,2024JJ00,1833.0
500,A019216,A019155,2021JJ00,
501,A019216,A019155,2022JJ00,
502,A019216,A019155,2023JJ00,
503,A019216,A019155,2024JJ00,
504,A019216,A019156,2021JJ00,0.0
505,A019216,A019156,2022JJ00,0.0
506,A019216,A019156,2023JJ00,0.0
507,A019216,A019156,2024JJ00,0.0
508,A019216,A041720,2021JJ00,5.0
509,A019216,A041720,2022JJ00,3.0
510,A019216,A041720,2023JJ00,3.0
511,A019216,A041720,2024JJ00,3.0
512,A019216,A019157,2021JJ00,0.0
513,A019216,A019157,2022JJ00,0.0
514,A019216,A019157,2023JJ00,0.0
515,A019216,A019157,2024JJ00,0.0
516,A019216,A019158,2021JJ00,0.0
517,A019216,A019158,2022JJ00,0.0
518,A019216,A019158,2023JJ00,0.0
519,A019216,A019158,2024JJ00,0.0
520,A019216,A019161,2021JJ00,0.0
521,A019216,A019161,2022JJ00,0.0
522,A019216,A019161,2023JJ00,0.0
523,A019216,A019161,2024JJ00,0.0
524,A019216,A019162,2021JJ00,0.0
525,A019216,A019162,2022JJ00,0.0
526,A019216,A019162,2023JJ00,0.0
527,A019216,A019162,2024JJ00,0.0
528,A019216,A019163,2021JJ00,5.0
529,A019216,A019163,2022JJ00,3.0
530,A019216,A019163,2023JJ00,3.0
531,A019216,A019163,2024JJ00,3.0
532,A019216,A019164,2021JJ00,0.0
533,A019216,A019164,2022JJ00,0.0
534,A019216,A019164,2023JJ00,0.0
535,A019216,A019164,2024JJ00,0.0
536,A019216,A019165,2021JJ00,5.0
537,A019216,A019165,2022JJ00,3.0
538,A019216,A019165,2023JJ00,3.0
539,A019216,A019165,2024JJ00,3.0
540,A019216,A019166,2021JJ00,0.0
541,A019216,A019166,2022JJ00,0.0
542,A019216,A019166,2023JJ00,0.0
543,A019216,A019166,2024JJ00,0.0
544,A019210,T001103,2021JJ00,0.0
545,A019210,T001103,2022JJ00,0.0
546,A019210,T001103,2023JJ00,0.0
547,A019210,T001103,2024JJ00,0.0
548,A019210,A019149,2021JJ00,0.0
549,A019210,A019149,2022JJ00,0.0
550,A019210,A019149,2023JJ00,0.0
551,A019210,A019149,2024JJ00,0.0
552,A019210,A019150,2021JJ00,0.0
553,A019210,A019150,2022JJ00,0.0
554,A019210,A019150,2023JJ00,0.0
555,A019210,A019150,2024JJ00,0.0
556,A019210,A019151,2021JJ00,0.0
557,A019210,A019151,2022JJ00,0.0
558,A019210,A019151,2023JJ00,0.0
559,A019210,A019151,2024JJ00,0.0
560,A019210,A019152,2021JJ00,0.0
561,A019210,A019152,2022JJ00,0.0
562,A019210,A019152,2023JJ00,0.0
563,A019210,A019152,2024JJ00,0.0
564,A019210,A019154,2021JJ00,0.0
565,A019210,A019154,2022JJ00,0.0
566,A019210,A019154,2023JJ00,0.0
567,A019210,A019154,2024JJ00,0.0
568,A019210,A019155,2021JJ00,
569,A019210,A019155,2022JJ00,
570,A019210,A019155,2023JJ00,
571,A019210,A019155,2024JJ00,
572,A019210,A019156,2021JJ00,0.0
573,A019210,A019156,2022JJ00,0.0
574,A019210,A019156,2023JJ00,0.0
575,A019210,A019156,2024JJ00,0.0
576,A019210,A041720,2021JJ00,0.0
577,A019210,A041720,2022JJ00,0.0
578,A019210,A041720,2023JJ00,0.0
579,A019210,A041720,2024JJ00,0.0
580,A019210,A019157,2021JJ00,0.0
581,A019210,A019157,2022JJ00,0.0
582,A019210,A019157,2023JJ00,0.0
583,A019210,A019157,2024JJ00,0.0
584,A019210,A019158,2021JJ00,0.0
585,A019210,A019158,2022JJ00,0.0
586,A019210,A019158,2023JJ00,0.0
587,A019210,A019158,2024JJ00,0.0
588,A019210,A019161,2021JJ00,0.0
589,A019210,A019161,2022JJ00,0.0
590,A019210,A019161,2023JJ00,0.0
591,A019210,A019161,2024JJ00,0.0
592,A019210,A019162,2021JJ00,0.0
593,A019210,A019162,2022JJ00,0.0
594,A019210,A019162,2023JJ00,0.0
595,A019210,A019162,2024JJ00,0.0
596,A019210,A019163,2021JJ00,0.0
597,A019210,A019163,2022JJ00,0.0
598,A019210,A019163,2023JJ00,0.0
599,A019210,A019163,2024JJ00,0.0
600,A019210,A019164,2021JJ00,0.0
601,A019210,A019164,2022JJ00,0.0
602,A019210,A019164,2023JJ00,0.0
603,A019210,A019164,2024JJ00,0.0
604,A019210,A019165,2021JJ00,0.0
605,A019210,A019165,2022JJ00,0.0
606,A019210,A019165,2023JJ00,0.0
607,A019210,A019165,2024JJ00,0.0
608,A019210,A019166,2021JJ00,0.0
609,A019210,A019166,2022JJ00,0.0
610,A019210,A019166,2023JJ00,0.0
611,A019210,A019166,2024JJ00,0.0
