ID,Geslacht,LeeftijdOp31December,Onderwijsniveau,Marges,Perioden,Levensverwachting_1,Sterftekans_2,LevensverwInAlsGoedErvarenGezondh_3,LevensverwZonderLichBeperkingen_4,LevensverwZonderChronischeZiektes_5,LevensverwInGoedeGeestelijkeGezondh_6
100,T001038 ,11000,2018790,MW00000,2013G400,75.2,0.0001,62.5,68.1,40.5,69.1
101,T001038 ,11000,2018790,MW00000,2015G400,75.9,0.0001,62.7,69.6,39.9,69.6
102,T001038 ,11000,2018790,MOG0095,2011G400,74.4,,61.6,66.5,39.2,67.7
103,T001038 ,11000,2018790,MOG0095,2013G400,74.9,,61.8,67.3,39.6,68.5
104,T001038 ,11000,2018790,MOG0095,2015G400,75.6,,61.9,68.8,39.2,69.0
105,T001038 ,11000,2018790,MBG0095,2011G400,75.0,,63.1,68.0,40.9,69.0
106,T001038 ,11000,2018790,MBG0095,2013G400,75.4,,63.3,68.8,41.3,69.6
107,T001038 ,11000,2018790,MBG0095,2015G400,76.2,,63.5,70.3,40.7,70.1
108,T001038 ,11500,2018700,MW00000,2011G400,65.7,0.0002,44.5,51.8,29.0,56.5
109,T001038 ,11500,2018700,MW00000,2013G400,65.6,0.0002,44.0,51.0,27.0,55.5
110,T001038 ,11500,2018700,MW00000,2015G400,65.1,0.0003,43.6,51.3,26.1,54.8
111,T001038 ,11500,2018700,MOG0095,2011G400,65.5,,43.9,51.1,28.1,55.8
112,T001038 ,11500,2018700,MOG0095,2013G400,65.4,,43.3,50.3,26.1,54.8
113,T001038 ,11500,2018700,MOG0095,2015G400,64.9,,42.8,50.7,25.2,54.2
114,T001038 ,11500,2018700,MBG0095,2011G400,65.9,,45.1,52.5,29.9,57.2
115,T001038 ,11500,2018700,MBG0095,2013G400,65.8,,44.7,51.7,27.8,56.1
116,T001038 ,11500,2018700,MBG0095,2015G400,65.3,,44.3,51.9,26.9,55.5
117,T001038 ,11500,2018740,MW00000,2011G400,67.6,0.0002,51.7,58.1,30.8,61.0
118,T001038 ,11500,2018740,MW00000,2013G400,67.7,0.0002,51.6,58.3,30.7,60.9
119,T001038 ,11500,2018740,MW00000,2015G400,68.0,0.0002,51.2,59.0,30.1,60.9
120,T001038 ,11500,2018740,MOG0095,2011G400,67.4,,51.1,57.5,30.1,60.5
121,T001038 ,11500,2018740,MOG0095,2013G400,67.5,,51.1,57.8,30.1,60.5
122,T001038 ,11500,2018740,MOG0095,2015G400,67.8,,50.6,58.5,29.6,60.4
123,T001038 ,11500,2018740,MBG0095,2011G400,67.9,,52.2,58.7,31.4,61.5
124,T001038 ,11500,2018740,MBG0095,2013G400,67.9,,52.2,58.8,31.3,61.3
125,T001038 ,11500,2018740,MBG0095,2015G400,68.3,,51.8,59.5,30.7,61.3
126,T001038 ,11500,2018790,MW00000,2011G400,69.7,0.0003,57.5,62.5,35.6,64.0
127,T001038 ,11500,2018790,MW00000,2013G400,70.2,0.0002,57.7,63.2,36.0,64.5
128,T001038 ,11500,2018790,MW00000,2015G400,71.0,0.0002,57.9,64.7,35.6,65.0
129,T001038 ,11500,2018790,MOG0095,2011G400,69.4,,56.8,61.7,34.8,63.4
130,T001038 ,11500,2018790,MOG0095,2013G400,69.9,,57.0,62.5,35.2,64.0
131,T001038 ,11500,2018790,MOG0095,2015G400,70.7,,57.1,64.0,34.9,64.4
132,T001038 ,11500,2018790,MBG0095,2011G400,70.0,,58.2,63.3,36.5,64.6
133,T001038 ,11500,2018790,MBG0095,2013G400,70.4,,58.5,64.0,36.8,65.1
134,T001038 ,11500,2018790,MBG0095,2015G400,71.3,,58.6,65.4,36.3,65.5
135,T001038 ,12000,2018700,MW00000,2011G400,60.7,0.0006,40.0,47.0,25.3,51.9
136,T001038 ,12000,2018700,MW00000,2013G400,60.6,0.0007,39.6,46.2,23.2,50.9
137,T001038 ,12000,2018700,MW00000,2015G400,60.2,0.0008,39.1,46.5,22.2,50.2
138,T001038 ,12000,2018700,MOG0095,2011G400,60.5,,39.3,46.3,24.4,51.3
139,T001038 ,12000,2018700,MOG0095,2013G400,60.5,,38.9,45.5,22.4,50.2
140,T001038 ,12000,2018700,MOG0095,2015G400,60.0,,38.3,45.9,21.4,49.6
141,T001038 ,12000,2018700,MBG0095,2011G400,60.9,,40.6,47.7,26.2,52.6
142,T001038 ,12000,2018700,MBG0095,2013G400,60.8,,40.2,46.9,24.1,51.5
143,T001038 ,12000,2018700,MBG0095,2015G400,60.4,,39.8,47.1,23.0,50.9
144,T001038 ,12000,2018740,MW00000,2011G400,62.7,0.0003,47.2,53.3,27.1,56.5
145,T001038 ,12000,2018740,MW00000,2013G400,62.8,0.0003,47.2,53.5,27.1,56.4
146,T001038 ,12000,2018740,MW00000,2015G400,63.1,0.0003,46.8,54.2,26.6,56.4
147,T001038 ,12000,2018740,MOG0095,2011G400,62.5,,46.7,52.7,26.5,56.0
148,T001038 ,12000,2018740,MOG0095,2013G400,62.6,,46.7,53.0,26.5,56.0
149,T001038 ,12000,2018740,MOG0095,2015G400,62.9,,46.2,53.7,26.0,56.0
150,T001038 ,12000,2018740,MBG0095,2011G400,62.9,,47.7,53.8,27.7,57.0
151,T001038 ,12000,2018740,MBG0095,2013G400,63.0,,47.8,54.0,27.7,56.9
152,T001038 ,12000,2018740,MBG0095,2015G400,63.3,,47.4,54.7,27.1,56.9
153,T001038 ,12000,2018790,MW00000,2011G400,64.8,0.0002,53.0,57.8,32.0,59.7
154,T001038 ,12000,2018790,MW00000,2013G400,65.2,0.0002,53.1,58.5,32.3,60.1
155,T001038 ,12000,2018790,MW00000,2015G400,66.0,0.0002,53.3,59.8,31.8,60.4
156,T001038 ,12000,2018790,MOG0095,2011G400,64.5,,52.3,57.0,31.2,59.1
157,T001038 ,12000,2018790,MOG0095,2013G400,65.0,,52.4,57.7,31.6,59.5
158,T001038 ,12000,2018790,MOG0095,2015G400,65.7,,52.5,59.1,31.1,59.9
159,T001038 ,12000,2018790,MBG0095,2011G400,65.1,,53.7,58.5,32.8,60.2
160,T001038 ,12000,2018790,MBG0095,2013G400,65.5,,53.9,59.2,33.1,60.6
161,T001038 ,12000,2018790,MBG0095,2015G400,66.3,,54.1,60.5,32.5,60.9
162,T001038 ,12500,2018700,MW00000,2011G400,55.9,0.0007,36.2,42.9,22.2,47.8
