ID,Kenmerken,Perioden,EmotioneelUitgeput_1,LeegGevoel_2,SOchtendsMoeVoelen_3,UitgeputDoorWerk_4,OpZijn_5,BurnOutKlachten_6,Malaiseklachten_7,Migraine_8,WerkgebondenKlachtenBovensteLedematen_9,TotaalRugklachten_10,RSI_11,ZiekteverzuimDoorRSIInAfgelopenJaar_12,MinderGoedeGezondheid_13,ZiekteverzuimInAfgelopen2Maanden_14,k_15DagenVerzuimd_15,k_610DagenVerzuimd_16,k_11OfMeerDagenVerzuimd_17,VerzuimDoorOngeval_18,OngevalInVerkeer_19,OngevalOpWerk_20,Sportongeval_21,OngevalThuisOfElders_22,VerzuimAlleenDoorZiekte_23
58,18,1999JJ00,14,31,13,14,11,10,13.0,10.0,37.0,30.0,21.0,4.0,19,22,53.0,16.0,31.0,6.0,,,,,94.0
59,18,2000JJ00,12,28,12,12,9,10,12.0,10.0,36.0,28.0,20.0,3.0,17,19,57.0,15.0,28.0,9.0,,,,,91.0
60,18,2001JJ00,15,30,16,14,12,12,,,38.0,,,,16,20,49.0,14.0,38.0,8.0,,,,,92.0
61,18,2002JJ00,17,35,15,13,11,10,,,37.0,,,,16,19,49.0,16.0,35.0,7.0,,,,,93.0
62,18,2003JJ00,17,34,13,13,9,11,,,,,,,17,21,60.0,13.0,27.0,7.0,,,,,93.0
63,18,2004JJ00,17,33,15,13,10,11,,,,,,,16,19,61.0,14.0,25.0,9.0,,,,,91.0
64,19,1997JJ00,15,28,9,12,7,9,10.0,6.0,29.0,30.0,15.0,1.0,18,13,,,,,,,,,
65,19,1998JJ00,10,26,13,11,9,10,9.0,4.0,25.0,30.0,13.0,1.0,21,17,,,,,,,,,
66,19,1999JJ00,12,22,11,8,7,7,8.0,8.0,28.0,31.0,13.0,1.0,20,22,45.0,17.0,38.0,3.0,,,,,97.0
67,19,2000JJ00,16,26,11,13,10,10,12.0,7.0,30.0,30.0,16.0,2.0,21,20,41.0,18.0,41.0,12.0,,,,,88.0
68,19,2001JJ00,16,30,16,16,9,11,,,30.0,,,,22,19,53.0,13.0,34.0,14.0,,,,,86.0
69,19,2002JJ00,16,29,11,12,11,10,,,33.0,,,,19,14,50.0,13.0,37.0,2.0,,,,,98.0
70,19,2003JJ00,11,26,13,12,9,9,,,,,,,22,15,48.0,14.0,37.0,10.0,,,,,90.0
71,19,2004JJ00,15,31,13,13,10,11,,,,,,,20,18,49.0,23.0,29.0,8.0,,,,,92.0
72,20,1997JJ00,13,26,15,13,12,13,12.0,8.0,42.0,31.0,24.0,5.0,24,24,51.0,13.0,36.0,15.0,,,,,85.0
73,20,1998JJ00,14,24,12,13,11,12,16.0,7.0,40.0,30.0,22.0,5.0,26,26,44.0,27.0,29.0,13.0,,,,,87.0
74,20,1999JJ00,16,30,18,15,13,13,15.0,7.0,44.0,26.0,28.0,11.0,23,28,44.0,14.0,41.0,8.0,,,,,92.0
75,20,2000JJ00,13,29,16,18,14,10,13.0,12.0,44.0,24.0,29.0,6.0,23,29,53.0,12.0,35.0,12.0,,,,,88.0
76,20,2001JJ00,23,31,17,20,17,16,,,49.0,,,,28,27,52.0,14.0,34.0,12.0,,,,,88.0
77,20,2002JJ00,12,30,17,15,14,11,,,41.0,,,,24,27,42.0,19.0,38.0,18.0,,,,,82.0
78,20,2003JJ00,13,26,14,13,10,10,,,,,,,22,29,54.0,18.0,28.0,16.0,,,,,84.0
79,20,2004JJ00,18,28,22,16,15,14,,,,,,,26,25,47.0,19.0,33.0,12.0,,,,,88.0
80,21,1997JJ00,12,26,11,14,9,9,10.0,7.0,41.0,26.0,24.0,4.0,13,19,58.0,12.0,29.0,18.0,,,,,82.0
81,21,1998JJ00,8,21,9,10,5,6,7.0,9.0,32.0,23.0,19.0,5.0,13,20,54.0,21.0,25.0,14.0,,,,,86.0
82,21,1999JJ00,10,28,12,13,9,9,10.0,12.0,44.0,28.0,24.0,4.0,16,21,55.0,12.0,33.0,15.0,,,,,85.0
83,21,2000JJ00,9,22,11,11,10,8,12.0,7.0,45.0,29.0,24.0,4.0,15,21,55.0,16.0,28.0,15.0,,,,,85.0
84,21,2001JJ00,10,30,17,12,11,10,,,38.0,,,,14,23,53.0,17.0,31.0,13.0,,,,,87.0
85,21,2002JJ00,16,33,19,18,14,12,,,44.0,,,,16,27,55.0,18.0,28.0,14.0,,,,,86.0
86,21,2003JJ00,15,30,15,14,9,11,,,,,,,18,21,56.0,13.0,31.0,7.0,,,,,93.0
87,21,2004JJ00,19,28,22,17,15,15,,,,,,,18,21,58.0,17.0,24.0,13.0,,,,,87.0
88,22,1997JJ00,14,27,16,14,10,8,12.0,8.0,37.0,28.0,21.0,3.0,11,19,61.0,20.0,20.0,11.0,,,,,89.0
89,22,1998JJ00,13,25,14,12,9,8,13.0,10.0,27.0,28.0,14.0,2.0,13,21,60.0,9.0,30.0,7.0,,,,,93.0
90,22,1999JJ00,11,24,13,10,9,8,11.0,10.0,38.0,31.0,19.0,3.0,14,25,62.0,12.0,26.0,10.0,,,,,90.0
91,22,2000JJ00,11,24,12,11,7,8,13.0,10.0,37.0,22.0,24.0,4.0,12,23,60.0,13.0,26.0,4.0,,,,,96.0
92,22,2001JJ00,14,25,18,14,10,10,,,37.0,,,,12,27,59.0,15.0,26.0,11.0,,,,,89.0
93,22,2002JJ00,12,26,12,11,7,7,,,40.0,,,,10,21,70.0,10.0,20.0,5.0,,,,,95.0
94,22,2003JJ00,14,28,16,11,11,11,,,,,,,15,26,56.0,17.0,26.0,11.0,,,,,89.0
95,22,2004JJ00,13,30,15,15,12,10,,,,,,,13,23,72.0,8.0,20.0,7.0,,,,,93.0
96,23,1997JJ00,13,31,14,11,8,8,10.0,7.0,34.0,26.0,19.0,2.0,10,21,66.0,13.0,21.0,12.0,,,,,88.0
97,23,1998JJ00,11,28,11,10,6,6,9.0,8.0,30.0,26.0,16.0,2.0,10,19,63.0,15.0,22.0,9.0,,,,,91.0
98,23,1999JJ00,13,29,14,14,10,10,12.0,9.0,36.0,23.0,22.0,3.0,12,22,65.0,14.0,22.0,11.0,,,,,89.0
99,23,2000JJ00,11,24,12,10,7,6,13.0,10.0,37.0,23.0,24.0,3.0,11,21,63.0,14.0,23.0,12.0,,,,,88.0
100,23,2001JJ00,11,27,14,10,7,7,,,36.0,,,,10,22,62.0,15.0,23.0,12.0,,,,,88.0
101,23,2002JJ00,11,29,15,12,10,9,,,36.0,,,,11,22,64.0,13.0,23.0,7.0,,,,,93.0
102,23,2003JJ00,14,29,17,12,8,9,,,,,,,13,22,66.0,11.0,23.0,9.0,,,,,91.0
103,23,2004JJ00,14,30,20,11,8,9,,,,,,,13,20,68.0,11.0,21.0,11.0,,,,,89.0
104,24,1997JJ00,21,39,17,15,10,12,10.0,7.0,24.0,23.0,14.0,1.0,7,21,77.0,9.0,14.0,4.0,,,,,96.0
105,24,1998JJ00,15,35,16,12,7,9,9.0,6.0,21.0,23.0,12.0,1.0,10,18,80.0,6.0,14.0,3.0,,,,,97.0
106,24,1999JJ00,16,34,15,12,8,9,8.0,7.0,25.0,22.0,16.0,1.0,10,20,70.0,15.0,15.0,4.0,,,,,96.0
107,24,2000JJ00,16,37,17,12,9,10,11.0,8.0,28.0,21.0,19.0,2.0,10,21,73.0,11.0,17.0,5.0,,,,,95.0
108,24,2001JJ00,16,37,20,13,10,10,,,29.0,,,,10,21,72.0,7.0,21.0,7.0,,,,,93.0
109,24,2002JJ00,16,36,18,11,9,8,,,31.0,,,,10,21,67.0,10.0,22.0,5.0,,,,,95.0
110,24,2003JJ00,17,38,19,12,7,9,,,,,,,9,22,78.0,8.0,14.0,5.0,,,,,95.0
111,24,2004JJ00,14,29,17,14,10,11,,,,,,,10,22,70.0,11.0,19.0,3.0,,,,,97.0
112,25,1997JJ00,13,29,18,17,13,13,15.0,6.0,41.0,24.0,24.0,4.0,21,21,57.0,9.0,33.0,12.0,,,,,88.0
113,25,1998JJ00,7,21,13,9,8,8,9.0,7.0,35.0,24.0,21.0,5.0,20,22,44.0,16.0,40.0,17.0,,,,,83.0
114,25,1999JJ00,16,28,16,18,12,14,14.0,11.0,44.0,20.0,30.0,9.0,19,28,44.0,21.0,35.0,15.0,,,,,85.0
115,25,2000JJ00,8,28,16,19,14,11,18.0,9.0,49.0,23.0,33.0,6.0,19,28,57.0,13.0,29.0,11.0,,,,,89.0
116,25,2001JJ00,15,29,23,20,13,15,,,44.0,,,,18,27,49.0,19.0,32.0,21.0,,,,,79.0
117,25,2002JJ00,18,36,20,27,15,17,,,45.0,,,,20,33,48.0,14.0,38.0,12.0,,,,,88.0
118,25,2003JJ00,14,28,19,14,8,9,,,,,,,24,24,62.0,6.0,33.0,5.0,,,,,95.0
119,25,2004JJ00,17,38,20,12,9,11,,,,,,,20,24,58.0,19.0,23.0,9.0,,,,,91.0
120,26,1997JJ00,12,28,14,14,9,9,10.0,7.0,41.0,27.0,24.0,4.0,14,23,58.0,13.0,29.0,16.0,,,,,84.0
121,26,1998JJ00,10,25,11,12,8,7,11.0,9.0,35.0,27.0,19.0,4.0,15,23,57.0,20.0,23.0,11.0,,,,,89.0
122,26,1999JJ00,11,27,14,14,10,9,12.0,11.0,43.0,26.0,26.0,5.0,15,23,52.0,15.0,33.0,10.0,,,,,90.0
123,26,2000JJ00,10,22,11,10,9,7,13.0,10.0,44.0,25.0,27.0,5.0,16,24,54.0,16.0,30.0,12.0,,,,,88.0
124,26,2001JJ00,13,28,18,15,11,10,,,44.0,,,,15,26,59.0,16.0,25.0,12.0,,,,,88.0
125,26,2002JJ00,12,28,17,15,13,10,,,41.0,,,,16,27,59.0,16.0,24.0,14.0,,,,,86.0
126,26,2003JJ00,14,29,21,15,12,13,,,,,,,18,27,56.0,17.0,27.0,11.0,,,,,89.0
127,26,2004JJ00,14,30,19,16,13,12,,,,,,,14,23,63.0,11.0,25.0,10.0,,,,,90.0
128,27,1997JJ00,14,30,14,12,9,9,11.0,7.0,36.0,27.0,20.0,2.0,10,20,66.0,14.0,20.0,11.0,,,,,89.0
129,27,1998JJ00,12,27,12,10,6,7,10.0,8.0,29.0,26.0,16.0,2.0,11,19,63.0,14.0,23.0,10.0,,,,,90.0
130,27,1999JJ00,12,28,13,12,10,9,11.0,8.0,37.0,25.0,21.0,4.0,13,22,68.0,11.0,21.0,12.0,,,,,88.0
131,27,2000JJ00,12,25,13,12,8,8,12.0,9.0,37.0,24.0,22.0,3.0,12,21,64.0,13.0,23.0,11.0,,,,,89.0
132,27,2001JJ00,12,28,14,10,8,9,,,35.0,,,,12,22,61.0,14.0,26.0,9.0,,,,,91.0
133,27,2002JJ00,11,29,13,10,8,8,,,38.0,,,,12,22,65.0,14.0,21.0,7.0,,,,,93.0
134,27,2003JJ00,13,29,13,11,6,8,,,,,,,12,21,65.0,13.0,21.0,11.0,,,,,89.0
135,27,2004JJ00,14,30,16,13,9,10,,,,,,,14,19,68.0,12.0,20.0,12.0,,,,,88.0
136,28,1997JJ00,19,37,16,14,8,11,11.0,8.0,23.0,26.0,13.0,1.0,10,20,71.0,12.0,16.0,4.0,,,,,96.0
137,28,1998JJ00,15,35,14,13,7,9,10.0,7.0,21.0,24.0,10.0,1.0,11,17,72.0,10.0,18.0,4.0,,,,,96.0
138,28,1999JJ00,16,34,16,14,7,10,8.0,7.0,26.0,24.0,17.0,2.0,11,22,68.0,15.0,17.0,3.0,,,,,97.0
139,28,2000JJ00,15,35,14,11,8,8,11.0,8.0,27.0,21.0,19.0,1.0,10,20,73.0,8.0,19.0,5.0,,,,,95.0
140,28,2001JJ00,16,35,17,12,9,11,,,29.0,,,,10,20,65.0,10.0,25.0,8.0,,,,,92.0
141,28,2002JJ00,15,36,16,11,9,8,,,29.0,,,,10,19,64.0,11.0,25.0,4.0,,,,,96.0
142,28,2003JJ00,16,37,18,12,8,8,,,,,,,9,20,79.0,6.0,15.0,4.0,,,,,96.0
143,28,2004JJ00,16,35,19,10,8,9,,,,,,,9,20,76.0,9.0,15.0,4.0,,,,,96.0
144,29,1997JJ00,19,39,15,13,10,11,5.0,6.0,22.0,20.0,13.0,1.0,6,20,82.0,7.0,11.0,4.0,,,,,96.0
145,29,1998JJ00,13,34,13,11,8,8,7.0,6.0,22.0,25.0,16.0,2.0,10,19,83.0,5.0,12.0,2.0,,,,,98.0
146,29,1999JJ00,18,35,14,11,9,10,8.0,8.0,22.0,22.0,13.0,0.0,11,15,73.0,11.0,16.0,5.0,,,,,95.0
147,29,2000JJ00,17,37,20,11,11,11,13.0,9.0,31.0,18.0,21.0,1.0,9,20,73.0,16.0,11.0,6.0,,,,,94.0
148,29,2001JJ00,14,37,20,13,9,6,,,28.0,,,,10,22,78.0,7.0,14.0,4.0,,,,,96.0
149,29,2002JJ00,22,41,24,15,12,12,,,30.0,,,,10,20,59.0,10.0,31.0,4.0,,,,,96.0
150,29,2003JJ00,19,38,21,12,7,12,,,,,,,10,20,,,,,,,,,
151,29,2004JJ00,18,39,21,11,9,10,,,,,,,9,23,72.0,4.0,24.0,6.0,,,,,94.0
152,30,1997JJ00,9,21,9,10,6,6,16.0,8.0,30.0,33.0,14.0,2.0,15,18,71.0,9.0,20.0,9.0,,,,,91.0
153,30,1998JJ00,8,21,7,8,6,5,16.0,12.0,29.0,31.0,14.0,2.0,18,16,56.0,23.0,21.0,12.0,,,,,88.0
154,30,1999JJ00,9,21,8,5,6,5,14.0,15.0,31.0,28.0,17.0,2.0,15,19,54.0,23.0,24.0,11.0,,,,,89.0
155,30,2000JJ00,8,16,7,6,7,5,18.0,11.0,37.0,28.0,19.0,3.0,15,19,70.0,14.0,17.0,2.0,,,,,98.0
156,30,2001JJ00,11,22,13,9,8,7,,,35.0,,,,16,19,61.0,9.0,30.0,7.0,,,,,93.0
157,30,2002JJ00,9,19,11,9,7,6,,,32.0,,,,15,25,65.0,12.0,22.0,6.0,,,,,94.0
158,30,2003JJ00,11,23,16,9,8,8,,,,,,,16,23,57.0,15.0,28.0,6.0,,,,,94.0
159,30,2004JJ00,7,18,13,9,8,5,,,,,,,14,21,69.0,11.0,20.0,6.0,,,,,93.0
160,31,1997JJ00,16,33,14,13,10,10,13.0,10.0,36.0,31.0,19.0,2.0,15,24,66.0,10.0,24.0,7.0,,,,,93.0
161,31,1998JJ00,15,31,14,13,7,9,15.0,12.0,31.0,28.0,16.0,2.0,16,25,67.0,9.0,24.0,3.0,,,,,97.0
162,31,1999JJ00,15,32,15,14,11,10,12.0,13.0,36.0,30.0,20.0,3.0,17,24,63.0,12.0,26.0,7.0,,,,,93.0
163,31,2000JJ00,15,30,14,13,10,9,16.0,11.0,38.0,27.0,23.0,3.0,15,23,63.0,13.0,24.0,8.0,,,,,92.0
164,31,2001JJ00,15,32,17,13,11,11,,,38.0,,,,14,26,61.0,14.0,25.0,7.0,,,,,93.0
165,31,2002JJ00,15,32,17,14,12,11,,,39.0,,,,16,28,61.0,15.0,25.0,6.0,,,,,94.0
166,31,2003JJ00,14,29,16,11,9,8,,,,,,,17,27,67.0,10.0,22.0,5.0,,,,,95.0
167,31,2004JJ00,18,32,19,13,11,12,,,,,,,15,26,65.0,13.0,22.0,7.0,,,,,93.0
168,32,1997JJ00,15,33,16,13,9,10,9.0,6.0,33.0,23.0,20.0,3.0,10,20,65.0,14.0,22.0,12.0,13.0,44.0,18.0,25.0,88.0
169,32,1998JJ00,12,28,13,11,7,8,8.0,6.0,28.0,24.0,16.0,3.0,11,18,62.0,16.0,22.0,11.0,,,,,89.0
170,32,1999JJ00,14,30,15,14,9,10,10.0,7.0,36.0,22.0,22.0,4.0,12,22,63.0,13.0,24.0,10.0,18.0,34.0,29.0,20.0,90.0
171,32,2000JJ00,12,29,14,12,8,8,10.0,8.0,36.0,21.0,24.0,3.0,12,22,62.0,13.0,25.0,11.0,17.0,32.0,20.0,31.0,89.0
172,32,2001JJ00,13,31,17,12,9,9,,,35.0,,,,11,22,62.0,14.0,24.0,12.0,15.0,26.0,26.0,32.0,88.0
173,32,2002JJ00,14,34,16,12,10,9,,,36.0,,,,11,21,61.0,13.0,25.0,11.0,17.0,36.0,18.0,28.0,89.0
174,32,2003JJ00,16,34,18,13,8,10,,,,,,,12,20,66.0,13.0,21.0,11.0,23.0,35.0,17.0,25.0,89.0
175,32,2004JJ00,15,34,19,14,10,11,,,,,,,12,19,67.0,12.0,21.0,10.0,24.0,26.0,18.0,32.0,90.0
176,33,1997JJ00,10,32,8,10,6,4,7.0,8.0,50.0,18.0,35.0,4.0,14,15,,,,,,,,,
177,33,1998JJ00,11,23,12,7,8,8,8.0,2.0,34.0,28.0,19.0,1.0,15,15,,,,,,,,,
178,33,1999JJ00,8,25,12,9,10,8,7.0,5.0,40.0,18.0,28.0,4.0,14,9,,,,,,,,,
179,33,2000JJ00,7,17,10,8,6,5,11.0,5.0,50.0,23.0,29.0,4.0,10,14,,,,,,,,,
180,33,2001JJ00,5,23,14,7,3,5,,,40.0,,,,12,15,,,,,,,,,
181,33,2002JJ00,9,30,13,14,9,8,,,48.0,,,,14,14,,,,,,,,,
182,33,2003JJ00,10,31,19,16,7,11,,,,,,,9,12,,,,,,,,,
183,33,2004JJ00,7,27,13,10,6,4,,,,,,,14,15,,,,,,,,,
184,34,1997JJ00,16,31,15,13,8,11,9.0,5.0,39.0,27.0,22.0,3.0,12,21,63.0,16.0,21.0,16.0,,,,,84.0
185,34,1998JJ00,12,28,12,11,7,9,8.0,5.0,35.0,26.0,19.0,5.0,14,21,53.0,18.0,29.0,15.0,,,,,85.0
186,34,1999JJ00,13,30,13,14,11,10,11.0,6.0,40.0,25.0,23.0,6.0,16,22,58.0,13.0,28.0,16.0,,,,,84.0
187,34,2000JJ00,11,28,15,12,11,9,13.0,8.0,42.0,24.0,26.0,5.0,16,28,55.0,14.0,31.0,14.0,,,,,86.0
188,34,2001JJ00,15,34,18,16,12,11,,,39.0,,,,13,24,54.0,15.0,31.0,15.0,,,,,85.0
189,34,2002JJ00,10,31,16,14,9,10,,,40.0,,,,16,22,57.0,14.0,29.0,14.0,,,,,86.0
190,34,2003JJ00,13,32,16,13,7,9,,,,,,,17,21,65.0,8.0,27.0,14.0,,,,,86.0
191,34,2004JJ00,15,36,19,18,13,13,,,,,,,16,19,64.0,13.0,23.0,12.0,,,,,88.0
192,35,1997JJ00,15,29,15,13,8,11,10.0,5.0,38.0,27.0,20.0,3.0,12,21,65.0,17.0,18.0,11.0,,,,,89.0
193,35,1998JJ00,11,27,13,8,7,9,8.0,5.0,33.0,25.0,18.0,4.0,15,23,55.0,19.0,26.0,13.0,,,,,87.0
194,35,1999JJ00,14,29,12,14,10,10,12.0,8.0,38.0,25.0,22.0,5.0,17,24,61.0,10.0,29.0,14.0,,,,,86.0
195,35,2000JJ00,12,30,18,13,12,10,15.0,8.0,41.0,25.0,26.0,5.0,17,30,55.0,17.0,28.0,10.0,,,,,90.0
