ID,Persoonskenmerken,Perioden,PersonalComputerPC_1,Desktop_2,Laptop_3,k_3MndGeleden_4,k_312MndGeleden_5,k_1JaarGeleden_6,NooitPCGebruikt_7,BijnaDagelijks_8,NietDagelijksMaarMinstens1xPerWeek_9,NietWekelijksMaarMinstens1xPerMnd_10,Nauwelijks_11,Thuis_12,BijIemandAndersThuis_13,OpHetWerk_14,BijEenOnderwijsinstelling_15,Ja_16,Nee_17,k_3MndGeleden_18,k_312MndGeleden_19,k_13JaarGeleden_20,MeerDan3JaarGeleden_21,MapOfFolderKopierenVerplaatsen_22,KopierenOfPlakkenVanInformatie_23,EenvoudigeFormGebruikenSpreadsheet_24,MappenBestandenComprimerenZippen_25,Programmeren_26,GeenVanDezeVaardigheden_27,MapOfFolderKopierenVerplaatsten_28,KopierenOfPlakkenVanInformatie_29,EenvoudigeFormGebruikenSpreadsheet_30,MappenBestandenComprimerenZippen_31,Programmeren_32,GeenVanDezeVaardigheden_33,WelToegangInternet_34,GeenToegangInternet_35,EldersInternetten_36,WilNietGeenInteresse_37,FinancieleRedenen_38,OnvoldoendeKennisFysiekeBeperking_39,PrivacyEnVeiligheid_40,AndereReden_41,TotaalGeenBreedband_42,AnaloogModem_43,ISDN_44,MobieleTelefoonWAPGPRS_45,TotaalBreedband_46,ADSL_47,Kabel_48,TotaalGeenBreedband_49,AnaloogModem_50,ISDN_51,MobieleTelefoonWAPGPRS_52,TotaalBreedband_53,ADSL_54,Kabel_55,PersonalComputer_56,PCDesktop_57,Laptop_58,MobieleTelefoon_59,AndereApparatuur_60,PersonalComputer_61,PCDesktop_62,Laptop_63,MobieleTelefoon_64,AndereApparatuur_65,k_3MndGeleden_66,k_312MndGeleden_67,k_1JaarGeleden_68,NooitInternetGebruikt_69,BijnaDagelijks_70,NietDagelijksMaarMinstens1xPerWeek_71,NietWekelijksMaarMinstens1xPerMnd_72,MinderDan1xPerMaand_73,Thuis_74,BijIemandAndersThuis_75,OpHetWerk_76,BijEenOnderwijsinstelling_77,ErgensAnders_78,ZoekmachineGebruiken_79,EMailSturenMetBijvoegingDocumenten_80,BerichtenOpChatroomNieuwsgroepForum_81,TelefonerenViaInternet_82,MappenDelenIvmUitwisselenMuziekFilm_83,WebpaginaOntwerpen_84,GeenVanDezeVaardigheden_85,ZoekmachineGebruiken_86,EMailSturenMetBijvoegingDocumenten_87,BerichtenOpChatroomNieuwsgroepForum_88,TelefonerenViaInternet_89,MappenDelenIvmUitwisselenMuziekFilm_90,WebpaginaOntwerpen_91,GeenVanDezeVaardigheden_92,TotaalCommunicatie_93,VersturenOntvangenVanEMails_94,TelefonerenViaInternet_95,AndersBvChatten_96,TotaalInformatie_97,OpzoekenInfoOverGoederenEnDiensten_98,GebruikVanDienstenInReisbranche_99,ActualiteitEnNieuws_100,WerkVacatures_101,TotaalCommercieleProducten_102,BankierenViaInternet_103,FinancieleTransacties_104,KopenVerkopenVanGoederen_105,TotaalOverheid_106,ZoekenOpWebsitesOverheidsinstanties_107,OfficieleDocumentenDownloaden_108,IngevuldeDocumentenVersturen_109,Gezondheid_110,Onderwijs_111,TotaalVermaak_112,SpelletjesMuziek_113,SoftwareDownloaden_114,AankopenGoederenVanAllePersonen_115,k_3MndGeleden_116,k_312MndGeleden_117,MeerDan1JaarGeleden_118,NooitBesteldOfGekocht_119,AankopenGoederenPersInternetGebr_120,k_3MndGeleden_121,k_312MndGeleden_122,MeerDan1JaarGeleden_123,NooitBesteld_124,LevensmiddelenCosmeticaEnSchoonmaak_125,KledingEnSportArtikelen_126,FilmMuziek_127,BoekenTijdschriftenEnKranten_128,SoftHardwareEnElektrBenodigdheden_129,HuishoudelijkeGoederenEnApparaten_130,ReizenEnAccommodaties_131,FinancieleProductenOfDiensten_132,KaartjesVoorEvenementen_133,AndereAankopen_134
10,3000   ,2006JJ00,89,86,39,88,1,2,9,83,14,3,1,97,16,55,17,46,54,11,10,19,59,67,78,57,56,14,9,73,86,62,62,15,9,86,14,2,9,1,2,0,2,12,8.0,4.0,3.0,75,49.0,26.0,13,9.0,5.0,3.0,87,57.0,31.0,86,81,30,13,7,100,94,35,15,8,86,1,1,12,80,17,3,1,96,14,49,15,4,85,77,26,17.0,26.0,23,2,96,88,30,19.0,30.0,26,2,94,93,14.0,41,90,89,48,63,21,79,70,12,55,67,61,39,42,47,32.0,67,57,42,57,40,12,5,30,65,45,14,6,35,4.0,24.0,26.0,30.0,50.0,19.0,42.0,13.0,31.0,5.0
11,3000   ,2007JJ00,91,86,47,90,1,2,7,85,13,2,1,97,21,56,17,45,55,13,8,20,59,82,79,57,55,19,9,88,85,61,59,21,10,89,11,1,7,1,1,1,1,7,4.0,4.0,1.0,81,54.0,29.0,8,4.0,4.0,1.0,92,61.0,33.0,88,82,41,20,15,100,93,46,22,17,88,1,2,9,82,15,2,1,96,19,51,16,6,87,79,31,,31.0,21,2,96,87,34,,34.0,23,2,95,94,,37,91,89,52,68,21,82,75,10,58,66,60,39,41,46,,68,59,44,62,45,12,5,28,69,50,14,6,31,7.0,27.0,25.0,30.0,53.0,18.0,42.0,14.0,31.0,6.0
12,3000   ,2008JJ00,91,83,56,91,1,2,6,84,14,2,1,97,25,55,20,40,60,10,9,17,64,81,78,56,55,16,11,86,83,60,59,17,12,90,10,1,6,1,1,0,2,10,4.0,6.0,1.0,80,49.0,34.0,11,5.0,6.0,1.0,89,55.0,37.0,89,79,51,24,18,98,88,57,26,20,89,1,1,9,81,16,2,1,97,22,51,19,6,87,79,35,22.0,,19,3,95,87,39,24.0,,21,3,95,94,14.0,28,91,89,55,73,17,84,77,10,55,66,59,39,40,46,,74,67,47,64,46,13,5,27,70,51,14,6,30,6.0,31.0,25.0,34.0,52.0,20.0,45.0,11.0,36.0,5.0
13,3000   ,2009JJ00,95,86,66,93,1,1,5,87,12,1,0,98,28,58,19,47,53,9,9,17,65,85,83,65,62,21,8,89,87,68,65,22,8,94,6,1,4,1,1,0,1,10,3.0,5.0,2.0,84,57.0,33.0,11,4.0,5.0,2.0,89,61.0,35.0,93,83,62,31,29,99,88,66,34,30,92,0,1,6,85,13,2,1,98,24,54,18,7,91,88,44,31.0,34.0,24,2,97,94,47,33.0,36.0,25,2,96,95,17.0,32,90,88,51,75,17,82,80,10,57,65,59,43,40,49,,69,59,44,71,50,14,7,22,76,54,15,8,24,6.0,31.0,30.0,39.0,49.0,21.0,49.0,7.0,41.0,4.0
14,3000   ,2010JJ00,95,83,73,94,1,1,5,87,11,1,0,98,28,55,20,48,52,8,9,15,68,86,85,63,60,19,7,91,89,66,63,20,7,95,5,1,4,0,1,0,1,6,2.0,3.0,3.0,88,57.0,34.0,7,2.0,3.0,3.0,93,60.0,36.0,94,80,70,40,33,99,85,74,43,35,93,0,1,6,87,11,1,0,98,24,52,19,10,92,89,45,35.0,31.0,23,1,98,94,47,37.0,33.0,24,1,97,96,21.0,33,91,89,51,76,19,85,82,12,61,68,64,44,43,48,,72,62,42,75,54,15,6,19,80,57,16,7,20,7.0,35.0,28.0,36.0,47.0,26.0,50.0,9.0,41.0,3.0
15,3000   ,2011JJ00,96,82,76,94,1,1,4,87,10,1,1,98,30,55,20,38,62,12,11,18,59,85,82,61,61,14,0,88,85,63,64,15,0,96,4,0,3,0,1,0,1,8,,,,87,,,9,,,,91,,,95,79,74,55,39,99,83,77,58,40,93,1,1,5,88,11,1,1,99,28,53,18,12,91,88,44,40.0,31.0,22,0,96,93,46,42.0,33.0,23,0,96,94,26.0,32,89,88,51,79,20,88,83,12,63,65,58,45,46,49,,69,63,39,76,53,16,7,19,80,56,17,7,20,9.0,38.0,28.0,39.0,47.0,26.0,50.0,7.0,44.0,6.0
16,3000   ,2012JJ00,97,82,80,95,1,1,3,88,10,1,0,98,32,54,23,37,60,10,10,14,66,83,82,61,56,16,2,86,85,63,58,16,2,96,4,0,3,1,0,0,0,6,,,,87,,,10,,,,90,,,95,78,78,65,46,99,81,82,67,47,95,0,1,4,89,9,1,0,98,32,54,22,21,93,84,45,43.0,33.0,22,0,97,89,47,45.0,34.0,23,0,95,94,30.0,33,89,87,52,80,19,88,83,9,64,66,60,46,47,50,0.0,72,63,42,76,57,13,7,19,80,60,13,7,20,10.0,45.0,28.0,35.0,45.0,29.0,52.0,9.0,44.0,7.0
17,3000   ,2013JJ00,97,77,80,96,1,1,3,88,11,1,1,99,31,56,22,36,61,12,9,13,66,84,83,62,57,17,0,86,86,64,59,18,0,97,3,0,2,1,1,0,0,0,,,,88,,,9,,,,91,,,96,75,79,74,66,99,78,81,77,68,95,1,0,4,91,8,1,0,99,35,57,22,25,93,86,44,48.0,35.0,22,2,97,90,47,51.0,37.0,23,2,96,94,32.0,32,90,88,48,80,20,88,83,8,65,67,61,44,46,52,0.0,73,66,44,80,59,15,6,15,84,61,16,7,16,13.0,49.0,29.0,39.0,54.0,29.0,52.0,11.0,48.0,0.0
18,4000   ,2005JJ00,86,81,31,80,2,3,15,71,22,5,2,94,16,46,16,46,54,9,11,25,56,67,66,34,26,6,13,78,78,40,30,7,16,81,19,3,10,3,2,0,4,26,18.0,6.0,2.0,56,34.0,24.0,31,23.0,8.0,2.0,69,42.0,30.0,81,76,21,9,3,99,93,26,11,4,76,2,1,21,62,29,7,2,94,14,37,14,3,75,64,16,4.0,11.0,8,3,94,80,20,5.0,14.0,10,3,93,92,5.0,39,89,86,49,40,19,66,54,2,39,48,43,18,19,55,31.0,50,47,14,40,25,11,4,39,50,32,14,5,50,6.0,36.0,15.0,30.0,17.0,18.0,32.0,2.0,21.0,5.0
19,4000   ,2006JJ00,87,81,37,82,2,3,13,75,19,5,1,95,13,46,17,45,55,8,9,20,63,64,68,37,32,3,15,73,78,43,37,4,17,84,16,2,10,3,2,0,2,16,9.0,5.0,2.0,68,45.0,25.0,19,11.0,6.0,2.0,81,54.0,30.0,84,77,26,12,4,100,92,31,14,5,79,2,2,18,70,23,6,2,94,12,39,16,2,78,69,19,10.0,15.0,11,3,95,84,24,12.0,18.0,13,3,94,93,10.0,39,91,88,52,52,22,73,65,4,43,51,44,23,25,61,32.0,55,51,19,46,31,10,5,36,56,37,13,6,44,6.0,46.0,20.0,38.0,22.0,20.0,41.0,5.0,30.0,3.0
20,4000   ,2007JJ00,90,82,43,85,2,2,11,77,18,4,1,97,18,48,21,43,57,7,11,20,62,73,72,38,30,6,13,82,81,43,34,6,14,87,13,1,8,1,2,0,2,11,5.0,4.0,0.0,76,53.0,26.0,12,5.0,4.0,0.0,88,61.0,30.0,86,78,36,17,8,99,89,42,19,10,82,2,1,14,75,20,4,1,97,16,43,19,3,81,72,23,,21.0,13,3,94,84,27,,24.0,15,4,96,94,,33,90,88,55,58,22,77,69,4,47,57,50,27,30,58,,59,53,24,54,37,12,5,31,64,44,14,6,36,9.0,44.0,20.0,39.0,28.0,19.0,46.0,6.0,34.0,4.0
21,4000   ,2008JJ00,92,82,55,88,1,2,10,76,19,3,1,97,21,50,18,37,63,9,8,18,65,72,71,37,31,5,16,79,79,41,34,5,18,91,9,1,5,2,2,0,1,15,5.0,7.0,1.0,76,49.0,31.0,17,5.0,8.0,1.0,83,54.0,34.0,90,78,50,19,12,99,86,56,21,13,86,1,1,12,73,22,4,1,97,18,43,17,5,84,74,30,16.0,,11,2,96,84,34,18.0,,13,3,95,95,11.0,25,88,83,55,63,20,79,72,6,49,51,45,27,28,56,,56,50,26,56,38,13,6,31,65,43,15,6,35,8.0,48.0,20.0,38.0,25.0,22.0,44.0,6.0,36.0,3.0
22,4000   ,2009JJ00,92,80,62,88,1,2,10,82,15,3,0,99,22,53,22,42,58,8,7,16,70,77,76,45,38,7,12,85,84,50,42,8,14,92,8,0,6,1,1,0,1,17,3.0,7.0,0.0,75,56.0,28.0,19,4.0,7.0,1.0,81,62.0,31.0,91,77,58,24,19,99,83,63,26,20,87,1,1,12,79,17,3,1,99,19,48,19,4,85,83,36,25.0,24.0,15,2,97,94,40,28.0,27.0,17,2,96,95,14.0,26,89,87,52,70,21,77,76,3,49,51,46,27,28,60,,59,55,24,64,43,15,6,24,73,49,17,7,27,11.0,53.0,25.0,42.0,25.0,20.0,49.0,6.0,44.0,2.0
23,4000   ,2010JJ00,93,77,69,90,1,2,8,84,14,1,1,99,23,50,20,48,52,7,8,16,69,78,78,45,38,6,12,85,85,50,42,6,13,93,7,1,6,1,2,0,0,8,1.0,3.0,1.0,85,59.0,30.0,9,1.0,3.0,2.0,91,64.0,32.0,92,75,66,32,21,99,81,72,35,23,89,0,1,10,82,16,2,1,98,20,45,18,6,87,85,36,28.0,21.0,14,2,97,94,40,31.0,24.0,16,2,97,96,17.0,25,91,88,53,72,21,81,80,5,55,54,51,30,28,60,,59,54,21,68,48,15,5,23,75,53,16,6,25,11.0,58.0,23.0,44.0,23.0,22.0,51.0,6.0,44.0,2.0
24,4000   ,2011JJ00,95,76,76,92,1,1,7,85,13,2,1,99,25,50,21,39,61,9,10,15,65,78,78,44,53,3,0,83,83,47,56,3,0,95,5,0,4,0,1,0,0,12,,,,82,,,12,,,,87,,,94,73,73,46,27,99,77,77,48,28,91,1,1,8,84,13,2,1,99,23,47,19,7,89,88,36,36.0,24.0,11,0,96,95,39,39.0,26.0,12,0,98,97,23.0,25,90,87,54,73,20,85,80,5,60,55,48,32,34,62,,60,56,21,71,50,15,6,21,77,54,16,6,23,14.0,60.0,21.0,42.0,24.0,24.0,51.0,5.0,43.0,3.0
25,4000   ,2012JJ00,95,74,79,93,0,2,5,85,13,2,1,100,27,49,22,33,61,7,7,14,71,76,75,43,32,3,2,80,80,45,34,3,2,95,5,0,4,1,1,0,1,7,,,,82,,,13,,,,86,,,94,70,77,58,33,99,74,81,61,34,92,1,1,7,85,12,2,1,99,27,48,20,15,89,79,36,35.0,21.0,11,0,97,85,39,38.0,23.0,11,0,96,95,24.0,27,89,87,52,74,22,86,81,4,59,56,51,34,34,62,0.0,64,59,23,73,51,16,6,19,79,55,17,7,21,15.0,61.0,21.0,41.0,23.0,25.0,49.0,6.0,42.0,4.0
26,4000   ,2013JJ00,96,69,80,93,1,1,4,81,17,3,0,99,28,50,21,30,65,7,9,15,70,78,78,45,34,4,0,81,82,47,35,4,0,96,4,0,3,1,1,0,0,0,,,,87,,,10,,,,90,,,95,66,79,70,63,99,69,82,73,65,93,0,1,6,86,12,2,0,99,35,50,21,23,91,82,37,45.0,27.0,11,2,97,88,40,48.0,29.0,11,2,96,96,30.0,28,88,85,53,74,22,87,82,4,62,57,52,32,36,65,0.0,69,65,28,76,55,14,7,18,81,59,15,7,19,16.0,68.0,25.0,47.0,34.0,28.0,57.0,9.0,51.0,0.0
27,41500  ,2005JJ00,97,95,37,98,0,0,1,81,16,2,1,96,38,20,60,38,62,19,13,31,36,91,93,49,45,16,4,91,93,50,45,16,4,94,6,2,2,1,0,0,2,17,10.0,6.0,5.0,77,46.0,34.0,18,10.0,6.0,5.0,82,49.0,37.0,94,91,25,22,7,100,97,26,24,7,98,0,1,1,76,20,3,1,94,33,17,53,4,95,84,48,8.0,41.0,28,1,96,85,49,8.0,42.0,28,1,96,92,7.0,83,85,83,36,51,21,54,40,2,38,36,35,11,8,40,65.0,83,80,30,46,29,13,5,52,47,29,13,5,53,5.0,33.0,21.0,22.0,34.0,13.0,20.0,5.0,17.0,6.0
28,41500  ,2006JJ00,98,94,47,99,0,0,0,83,15,2,0,97,36,24,61,38,62,18,16,31,35,80,95,54,52,12,3,80,95,54,52,12,3,95,5,1,1,1,0,0,2,10,4.0,4.0,5.0,85,58.0,30.0,11,4.0,5.0,5.0,89,61.0,31.0,95,92,35,23,8,100,96,36,24,8,99,0,0,0,79,17,3,1,95,33,19,55,3,96,87,48,17.0,48.0,33,1,97,87,48,17.0,48.0,33,1,96,93,13.0,83,84,82,33,64,23,61,49,3,38,37,34,14,14,40,71.0,85,83,37,53,32,15,7,46,54,32,15,7,46,2.0,35.0,28.0,28.0,39.0,7.0,24.0,5.0,25.0,4.0
29,41500  ,2007JJ00,99,95,51,100,0,0,0,88,11,1,0,99,43,25,66,34,66,18,12,37,34,95,96,53,50,17,3,95,96,53,50,17,3,98,2,1,1,1,0,0,0,9,2.0,4.0,1.0,89,57.0,36.0,9,2.0,4.0,1.0,91,58.0,37.0,98,93,43,31,17,100,95,44,32,17,99,0,0,0,86,12,2,0,98,39,22,63,5,98,89,54,,57.0,35,1,98,89,54,,57.0,35,1,97,95,,72,84,82,37,71,24,65,54,4,42,41,38,19,16,37,,88,86,40,60,37,17,6,40,60,37,17,6,40,7.0,37.0,26.0,28.0,41.0,9.0,28.0,6.0,27.0,5.0
30,41500  ,2008JJ00,99,93,68,100,0,0,0,84,14,2,0,98,45,23,66,25,75,21,13,29,37,93,96,49,46,15,3,93,96,49,46,15,3,98,2,1,1,0,0,0,1,13,4.0,6.0,1.0,85,54.0,36.0,13,4.0,6.0,1.0,87,55.0,37.0,97,91,63,34,23,99,92,64,35,23,99,0,0,0,83,15,2,0,98,42,21,62,5,97,89,66,28.0,,32,1,98,89,66,28.0,,32,1,98,96,17.0,53,82,78,41,77,19,66,56,5,42,34,31,14,13,34,,90,89,47,61,38,17,6,39,61,38,17,6,39,5.0,40.0,29.0,30.0,41.0,7.0,27.0,5.0,34.0,4.0
