ID,ConsumptieveBestedingen,Perioden,Indexcijfer_1,Volumemutaties_2,VolumemutatiesKoopdaggecorrigeerd_3,Indexcijfers_4,Waardemutaties_5,Prijsmutaties_6
93,A047812,2004MM08,94.0,-0.3,1.0,81.3,1.0,1.3
94,A047812,2004MM09,96.1,1.9,1.1,83.1,3.1,1.3
95,A047812,2004KW03,96.1,1.5,1.4,83.0,2.8,1.3
96,A047812,2004MM10,96.0,-0.4,0.2,84.6,0.8,1.2
97,A047812,2004MM11,94.5,0.5,0.5,82.2,1.7,1.1
98,A047812,2004MM12,100.6,2.8,1.7,86.3,3.7,0.8
99,A047812,2004KW04,97.1,1.0,0.8,84.4,2.0,1.0
100,A047812,2005MM01,99.6,-1.8,0.2,85.3,0.0,1.8
101,A047812,2005MM02,94.8,-0.5,0.3,80.9,1.4,1.9
102,A047812,2005MM03,101.1,1.5,0.9,87.6,3.3,1.9
103,A047812,2005KW01,98.5,-0.3,0.5,84.6,1.6,1.8
104,A047812,2005MM04,98.3,0.3,0.2,85.6,1.8,1.6
105,A047812,2005MM05,98.0,-0.1,0.3,86.0,1.1,1.3
106,A047812,2005MM06,99.7,1.9,1.7,87.3,3.5,1.5
107,A047812,2005KW02,98.7,0.7,0.8,86.3,2.1,1.4
108,A047812,2005MM07,98.6,0.5,1.4,86.2,2.0,1.5
109,A047812,2005MM08,96.5,2.6,1.7,84.9,4.4,1.7
110,A047812,2005MM09,98.3,2.3,2.0,86.6,4.2,1.8
111,A047812,2005KW03,97.8,1.8,1.7,85.9,3.5,1.7
112,A047812,2005MM10,96.8,0.8,1.6,87.0,2.9,2.1
113,A047812,2005MM11,96.9,2.6,2.1,86.3,5.0,2.3
114,A047812,2005MM12,102.2,1.5,1.2,90.0,4.3,2.7
115,A047812,2005KW04,98.6,1.6,1.6,87.8,4.0,2.4
116,A047812,2006MM01,99.4,-0.2,0.2,87.7,2.9,3.1
117,A047812,2006MM02,94.5,-0.3,-0.2,83.2,2.8,3.1
118,A047812,2006MM03,101.6,0.5,0.1,90.6,3.3,2.8
119,A047812,2006KW01,98.5,0.0,0.1,87.2,3.0,3.0
120,A047812,2006MM04,97.8,-0.5,0.5,87.7,2.5,3.0
121,A047812,2006MM05,99.9,1.9,1.0,90.3,5.0,3.0
122,A047812,2006MM06,100.0,0.3,-0.1,89.8,2.9,2.6
123,A047812,2006KW02,99.2,0.6,0.5,89.3,3.5,2.9
124,A047812,2006MM07,97.1,-1.5,-0.8,87.2,1.1,2.6
125,A047812,2006MM08,97.7,1.2,0.8,88.4,4.1,2.9
126,A047812,2006MM09,98.5,0.2,-0.2,88.7,2.4,2.2
127,A047812,2006KW03,97.8,0.0,-0.1,88.1,2.5,2.6
128,A047812,2006MM10,95.9,-0.9,-0.5,87.9,1.0,2.0
129,A047812,2006MM11,96.7,-0.2,-0.4,88.1,2.2,2.4
130,A047812,2006MM12,100.7,-1.4,-0.2,91.0,1.1,2.5
131,A047812,2006KW04,97.8,-0.9,-0.4,89.0,1.4,2.3
132,A047812,2007MM01,100.6,1.2,0.2,90.4,3.0,1.8
133,A047812,2007MM02,96.3,1.8,1.8,86.4,3.9,2.0
134,A047812,2007MM03,103.7,2.1,1.7,94.6,4.4,2.3
135,A047812,2007KW01,100.2,1.7,1.2,90.5,3.8,2.0
136,A047812,2007MM04,98.1,0.3,1.2,89.9,2.4,2.1
137,A047812,2007MM05,101.0,1.1,0.6,92.9,3.0,1.9
138,A047812,2007MM06,102.2,2.2,1.9,93.6,4.2,2.0
139,A047812,2007KW02,100.4,1.2,1.2,92.1,3.2,2.0
140,A047812,2007MM07,99.2,2.2,2.9,90.8,4.2,2.0
141,A047812,2007MM08,99.9,2.3,1.5,91.5,3.6,1.3
142,A047812,2007MM09,99.6,1.1,2.5,91.4,3.1,1.9
143,A047812,2007KW03,99.6,1.9,2.3,91.3,3.6,1.7
144,A047812,2007MM10,100.0,4.2,3.2,93.6,6.4,2.1
145,A047812,2007MM11,99.3,2.7,2.4,92.8,5.3,2.4
146,A047812,2007MM12,103.1,2.4,3.3,95.4,4.8,2.4
147,A047812,2007KW04,100.8,3.1,2.9,93.9,5.5,2.3
148,A047812,2008MM01,102.0,1.4,1.0,94.1,4.1,2.6
149,A047812,2008MM02,100.6,4.6,2.2,92.7,7.3,2.6
150,A047812,2008MM03,102.3,-1.3,0.1,95.6,1.1,2.5
151,A047812,2008KW01,101.7,1.5,1.1,94.2,4.1,2.6
152,A047812,2008MM04,100.7,2.6,1.5,94.7,5.4,2.8
153,A047812,2008MM05,104.1,3.1,2.1,98.4,5.9,2.7
154,A047812,2008MM06,100.4,-1.8,0.4,94.7,1.1,3.0
155,A047812,2008KW02,101.7,1.3,1.4,95.9,4.1,2.8
156,A047812,2008MM07,100.5,1.3,-0.2,94.4,4.0,2.6
157,A047812,2008MM08,99.6,-0.3,0.4,93.8,2.5,2.8
158,A047812,2008MM09,99.3,-0.3,-0.2,93.6,2.4,2.7
159,A047812,2008KW03,99.8,0.2,0.0,93.9,2.9,2.7
160,A047812,2008MM10,100.7,0.7,-0.3,95.3,1.9,1.1
161,A047812,2008MM11,97.2,-2.2,-1.2,91.4,-1.4,0.8
162,A047812,2008MM12,102.6,-0.5,-0.9,95.7,0.3,0.8
163,A047812,2008KW04,100.2,-0.6,-0.8,94.1,0.2,0.9
164,A047812,2009MM01,102.6,0.6,-0.1,94.1,0.0,-0.5
165,A047812,2009MM02,96.5,-4.1,-1.9,88.6,-4.5,-0.4
166,A047812,2009MM03,99.3,-2.9,-2.2,92.1,-3.7,-0.8
167,A047812,2009KW01,99.5,-2.1,-1.4,91.6,-2.7,-0.6
168,A047812,2009MM04,98.3,-2.4,-2.9,90.8,-4.2,-1.8
169,A047812,2009MM05,99.7,-4.2,-3.2,92.5,-6.0,-1.9
170,A047812,2009MM06,98.2,-2.1,-2.9,90.6,-4.3,-2.2
171,A047812,2009KW02,98.7,-2.9,-3.0,91.3,-4.9,-2.0
172,A047812,2009MM07,99.8,-0.7,-1.2,91.6,-3.0,-2.3
173,A047812,2009MM08,96.0,-3.6,-2.8,88.5,-5.7,-2.2
174,A047812,2009MM09,97.6,-1.8,-2.3,89.9,-3.9,-2.2
175,A047812,2009KW03,97.8,-2.0,-2.1,90.0,-4.2,-2.2
176,A047812,2009MM10,98.9,-1.7,-2.1,92.9,-2.6,-0.9
177,A047812,2009MM11,94.5,-2.8,-2.0,88.2,-3.6,-0.8
178,A047812,2009MM12,102.5,-0.1,-0.7,94.7,-1.0,-0.9
179,A047812,2009KW04,98.6,-1.5,-1.6,91.9,-2.4,-0.9
180,A047812,2010MM01,100.3,-2.3,-1.4,92.7,-1.5,0.8
181,A047812,2010MM02,94.8,-1.8,-1.8,87.8,-0.8,1.0
182,A047812,2010MM03,100.1,0.8,-0.4,94.2,2.2,1.5
183,A047812,2010KW01,98.4,-1.1,-1.2,91.6,0.0,1.1
184,A047812,2010MM04,98.6,0.4,0.4,92.7,2.1,1.7
185,A047812,2010MM05,99.2,-0.6,0.2,93.5,1.1,1.7
186,A047812,2010MM06,99.6,1.4,0.9,93.4,3.1,1.6
187,A047812,2010KW02,99.1,0.4,0.5,93.2,2.1,1.7
188,A047812,2010MM07,100.1,0.3,0.0,93.4,2.0,1.6
189,A047812,2010MM08,96.7,0.7,1.2,90.5,2.3,1.6
190,A047812,2010MM09,99.4,1.9,1.8,93.1,3.6,1.7
191,A047812,2010KW03,98.7,1.0,1.0,92.3,2.6,1.6
192,A047812,2010MM10,99.0,0.1,1.0,94.5,1.8,1.7
193,A047812,2010MM11,97.3,3.0,2.2,92.4,4.8,1.8
194,A047812,2010MM12,103.9,1.4,0.9,98.0,3.5,2.1
195,A047812,2010KW04,100.1,1.5,1.3,95.0,3.3,1.9
196,A047812,2011MM01,100.9,0.7,1.4,94.7,2.1,1.4
197,A047812,2011MM02,96.0,1.3,1.3,90.5,3.0,1.7
198,A047812,2011MM03,101.4,1.3,1.1,97.0,3.0,1.7
199,A047812,2011KW01,99.4,1.1,1.3,94.1,2.7,1.6
200,A047812,2011MM04,100.3,1.7,1.1,96.2,3.9,2.1
201,A047812,2011MM05,99.9,0.8,1.1,96.4,3.1,2.3
202,A047812,2011MM06,100.3,0.6,0.6,96.0,2.8,2.1
203,A047812,2011KW02,100.2,1.0,0.9,96.2,3.3,2.2
204,A047812,2011MM07,100.0,-0.1,0.9,95.3,2.0,2.1
205,A047812,2011MM08,97.3,0.7,-0.2,93.0,2.8,2.1
206,A047812,2011MM09,98.5,-1.0,-1.3,94.2,1.1,2.1
207,A047812,2011KW03,98.6,-0.1,-0.2,94.1,2.0,2.1
208,A047812,2011MM10,97.2,-1.8,-1.2,94.6,0.1,1.9
209,A047812,2011MM11,97.0,-0.3,-0.8,93.9,1.7,2.0
210,A047812,2011MM12,103.1,-0.8,-1.0,99.2,1.2,2.1
211,A047812,2011KW04,99.1,-1.0,-1.0,95.9,1.0,2.0
212,A047812,2012MM01,99.8,-1.1,-1.0,94.9,0.3,1.4
213,A047812,2012MM02,96.5,0.4,-1.1,92.2,1.9,1.5
214,A047812,2012MM03,101.2,-0.2,-1.1,98.1,1.1,1.3
215,A047812,2012KW01,99.1,-0.3,-1.1,95.1,1.1,1.4
216,A047812,2012MM04,96.8,-3.6,-1.7,93.9,-2.4,1.2
217,A047812,2012MM05,100.2,0.2,-1.0,97.4,1.0,0.7
218,A047812,2012MM06,100.9,0.6,-0.1,97.2,1.3,0.7
219,A047812,2012KW02,99.3,-0.9,-0.9,96.2,0.0,0.9
220,A047812,2012MM07,97.2,-2.9,-1.7,93.6,-1.8,1.1
221,A047812,2012MM08,97.0,-0.3,-1.2,93.5,0.5,0.9
222,A047812,2012MM09,97.6,-0.9,0.0,94.0,-0.2,0.7
223,A047812,2012KW03,97.3,-1.4,-1.0,93.7,-0.5,0.9
224,A047812,2012MM10,95.5,-1.8,-2.2,94.4,-0.2,1.6
225,A047812,2012MM11,95.3,-1.7,-2.2,93.6,-0.4,1.4
226,A047812,2012MM12,100.7,-2.3,-0.6,98.8,-0.4,2.0
227,A047812,2012KW04,97.2,-1.9,-1.6,95.6,-0.3,1.7
228,A047812,2013MM01,98.7,-1.1,-2.0,96.4,1.5,2.6
229,A047812,2013MM02,93.3,-3.2,-1.8,91.4,-0.9,2.4
230,A047812,2013MM03,99.3,-1.9,-1.2,98.8,0.7,2.7
231,A047812,2013KW01,97.1,-2.0,-1.6,95.5,0.5,2.6
232,A047812,2013MM04,95.9,-0.9,-1.2,95.0,1.1,2.0
233,A047812,2013MM05,99.2,-1.0,-1.3,98.7,1.3,2.3
234,A047812,2013MM06,97.7,-3.2,-2.1,96.4,-0.8,2.4
235,A047812,2013KW02,97.6,-1.7,-1.6,96.7,0.5,2.3
236,A047812,2013MM07,97.6,0.4,-0.5,96.6,3.2,2.8
237,A047812,2013MM08,96.8,-0.2,-0.5,95.9,2.6,2.8
238,A047812,2013MM09,95.7,-2.0,-1.3,94.3,0.4,2.4
239,A047812,2013KW03,96.7,-0.6,-0.7,95.6,2.1,2.7
240,A047812,2013MM10,96.6,1.2,0.8,96.3,1.9,0.7
241,A047812,2013MM11,96.9,1.7,1.5,96.0,2.6,0.9
242,A047812,2013MM12,101.5,0.8,1.3,100.5,1.7,0.9
243,A047812,2013KW04,98.4,1.2,1.2,97.6,2.1,0.8
244,A047812,2014MM01,99.0,0.3,-0.1,98.3,2.0,1.7
245,A047812,2014MM02,93.5,0.1,0.1,92.9,1.7,1.6
246,A047812,2014MM03,97.6,-1.7,-0.6,98.3,-0.5,1.2
247,A047812,2014KW01,96.7,-0.4,-0.2,96.5,1.0,1.5
248,A047812,2014MM04,97.2,1.3,0.4,97.3,2.4,1.1
249,A047812,2014MM05,100.3,1.1,0.8,100.5,1.9,0.8
250,A047812,2014MM06,97.4,-0.3,0.6,97.1,0.8,1.0
251,A047812,2014KW02,98.3,0.7,0.6,98.3,1.7,1.0
252,A047812,2014MM07,98.3,0.8,0.3,98.1,1.6,0.8
253,A047812,2014MM08,97.1,0.3,1.2,97.1,1.2,0.9
254,A047812,2014MM09,96.1,0.4,-0.3,95.4,1.1,0.7
255,A047812,2014KW03,97.2,0.5,0.4,96.9,1.3,0.8
256,A047812,2014MM10,98.1,1.5,1.1,98.4,2.2,0.7
257,A047812,2014MM11,96.8,-0.1,1.0,96.2,0.2,0.4
258,A047812,2014MM12,103.6,2.1,1.1,102.7,2.2,0.1
259,A047812,2014KW04,99.5,1.2,1.1,99.1,1.5,0.4
260,A047812,2015MM01,101.5,2.5,2.2,99.7,1.4,-1.0
261,A047812,2015MM02,95.5,2.2,2.2,94.2,1.3,-0.8
262,A047812,2015MM03,99.2,1.7,1.9,99.2,0.9,-0.8
263,A047812,2015KW01,98.7,2.1,2.1,97.7,1.2,-0.9
264,A047812,2015MM04,99.7,2.6,2.7,99.9,2.7,0.1
265,A047812,2015MM05,100.9,0.6,1.6,101.6,1.1,0.5
266,A047812,2015MM06,100.9,3.6,2.7,101.0,3.9,0.4
267,A047812,2015KW02,100.5,2.3,2.3,100.8,2.6,0.3
268,A047812,2015MM07,101.2,2.9,2.5,102.0,4.0,1.0
269,A047812,2015MM08,98.0,0.9,1.5,98.6,1.6,0.7
270,A047812,2015MM09,99.4,3.5,3.0,99.5,4.4,0.9
271,A047812,2015KW03,99.5,2.4,2.4,100.1,3.3,0.9
272,A047812,2015MM10,100.9,2.8,2.5,101.8,3.4,0.6
273,A047812,2015MM11,97.2,0.5,1.2,97.1,1.0,0.5
274,A047812,2015MM12,105.6,1.9,1.5,105.3,2.6,0.6
275,A047812,2015KW04,101.2,1.8,1.7,101.4,2.3,0.6
276,A047812,2016MM01,100.8,-0.6,0.1,100.1,0.4,1.0
277,A047812,2016MM02,97.0,1.6,0.4,96.8,2.8,1.2
278,A047812,2016MM03,101.8,2.5,0.8,103.1,3.9,1.4
279,A047812,2016KW01,99.9,1.2,0.4,100.0,2.4,1.2
280,A047812,2016MM04,100.7,1.0,0.7,101.4,1.4,0.4
281,A047812,2016MM05,101.2,0.3,1.4,102.4,0.8,0.5
282,A047812,2016MM06,102.3,1.4,0.8,102.9,1.9,0.5
283,A047812,2016KW02,101.4,0.9,1.0,102.2,1.4,0.5
284,A047812,2016MM07,102.7,1.5,2.1,103.8,1.7,0.2
285,A047812,2016MM08,99.5,1.6,1.2,100.8,2.2,0.6
286,A047812,2016MM09,100.7,1.3,0.9,101.0,1.5,0.2
287,A047812,2016KW03,101.0,1.4,1.4,101.9,1.8,0.4
288,A047812,2016MM10,101.0,0.1,1.7,102.3,0.5,0.4
289,A047812,2016MM11,100.7,3.5,2.4,101.1,4.1,0.6
290,A047812,2016MM12,108.1,2.4,1.6,109.0,3.5,1.1
291,A047812,2016KW04,103.3,2.0,1.9,104.1,2.7,0.7
292,A047812,2017MM01,103.4,2.6,3.5,104.3,4.2,1.6
293,A047812,2017MM02,97.6,0.6,2.2,98.9,2.2,1.6
294,A047812,2017MM03,104.3,2.5,2.5,106.3,3.2,0.7
295,A047812,2017KW01,101.8,1.9,2.7,103.2,3.2,1.3
296,A047812,2017MM04,102.8,2.0,2.8,104.9,3.5,1.4
297,A047812,2017MM05,105.2,4.0,3.0,107.4,4.9,0.9
298,A047812,2017MM06,105.3,2.9,2.7,107.1,4.0,1.1
299,A047812,2017KW02,104.4,3.0,2.8,106.5,4.1,1.1
300,A047812,2017MM07,104.6,1.8,2.5,107.1,3.2,1.3
301,A047812,2017MM08,102.2,2.7,2.3,105.1,4.2,1.5
302,A047812,2017MM09,104.3,3.6,3.3,106.3,5.3,1.6
303,A047812,2017KW03,103.7,2.7,2.7,106.2,4.2,1.5
304,A047812,2017MM10,101.6,0.6,1.0,104.4,2.0,1.5
305,A047812,2017MM11,103.4,2.7,2.6,105.5,4.3,1.6
306,A047812,2017MM12,108.9,0.7,1.7,111.1,1.9,1.2
307,A047812,2017KW04,104.6,1.3,1.8,107.0,2.7,1.4
308,A047812,2018MM01,106.0,2.5,1.9,109.1,4.6,2.0
309,A047812,2018MM02,100.7,3.1,3.1,104.0,5.2,2.0
310,A047812,2018MM03,108.1,3.7,3.0,112.2,5.6,1.8
311,A047812,2018KW01,104.9,3.1,2.7,108.5,5.1,2.0
312,A047812,2018MM04,104.8,2.0,3.2,108.9,3.9,1.8
313,A047812,2018MM05,107.8,2.4,2.2,112.8,5.0,2.5
314,A047812,2018MM06,108.4,3.0,2.5,112.7,5.2,2.2
315,A047812,2018KW02,107.0,2.5,2.6,111.5,4.7,2.2
316,A047812,2018MM07,107.0,2.3,2.7,112.1,4.7,2.3
317,A047812,2018MM08,105.3,3.0,2.6,110.7,5.3,2.2
318,A047812,2018MM09,105.3,0.9,2.0,109.4,2.9,2.0
319,A047812,2018KW03,105.9,2.1,2.5,110.7,4.3,2.2
320,A047812,2018MM10,104.6,3.0,2.1,110.1,5.5,2.4
321,A047812,2018MM11,106.0,2.5,2.2,110.5,4.7,2.2
322,A047812,2018MM12,110.0,1.0,1.7,114.7,3.3,2.2
323,A047812,2018KW04,106.8,2.1,2.0,111.8,4.5,2.3
324,A047812,2019MM01,107.3,1.2,0.8,113.6,4.2,2.9
325,A047812,2019MM02,101.1,0.5,0.5,107.7,3.5,3.1
326,A047812,2019MM03,107.7,-0.4,1.0,115.3,2.8,3.1
327,A047812,2019KW01,105.4,0.4,0.7,112.2,3.5,3.0
328,A047812,2019MM04,107.1,2.2,1.0,114.2,4.8,2.6
329,A047812,2019MM05,110.4,2.4,1.8,118.3,4.9,2.4
330,A047812,2019MM06,108.1,-0.3,1.0,115.0,2.0,2.4
331,A047812,2019KW02,108.5,1.4,1.3,115.8,3.9,2.4
332,A047812,2019MM07,108.5,1.4,0.5,116.3,3.8,2.3
333,A047812,2019MM08,106.2,0.8,0.5,114.7,3.6,2.8
334,A047812,2019MM09,106.0,0.7,1.3,112.8,3.2,2.5
335,A047812,2019KW03,106.9,1.0,0.8,114.6,3.5,2.5
336,A047812,2019MM10,106.6,1.9,1.4,115.0,4.5,2.5
337,A047812,2019MM11,107.5,1.4,1.2,114.7,3.9,2.4
338,A047812,2019MM12,112.2,2.0,2.4,120.1,4.7,2.6
339,A047812,2019KW04,108.7,1.8,1.7,116.6,4.4,2.5
340,A047812,2020MM01,108.1,0.8,0.4,116.9,2.9,2.1
341,A047812,2020MM02,105.4,4.3,2.6,113.1,5.0,0.7
342,A047812,2020MM03,98.7,-8.4,-7.4,107.3,-7.0,1.5
343,A047812,2020KW01,104.1,-1.2,-1.6,112.4,0.2,1.4
344,A047812,2020MM04,88.8,-17.1,-17.6,96.3,-15.6,1.8
345,A047812,2020MM05,96.7,-12.4,-11.8,104.1,-12.0,0.5
346,A047812,2020MM06,100.6,-6.9,-6.9,109.5,-4.8,2.3
347,A047812,2020KW02,95.4,-12.1,-12.1,103.3,-10.8,1.5
348,A047812,2020MM07,105.5,-2.7,-3.6,115.5,-0.7,2.1
349,A047812,2020MM08,104.0,-2.1,-0.5,111.3,-3.0,-1.0
350,A047812,2020MM09,103.1,-2.8,-3.9,112.1,-0.7,2.1
351,A047812,2020KW03,104.2,-2.5,-2.7,112.9,-1.5,1.1
352,A047812,2020MM10,102.4,-3.9,-4.5,111.0,-3.5,0.5
353,A047812,2020MM11,98.0,-8.8,-7.1,107.6,-6.2,2.9
354,A047812,2020MM12,101.4,-9.6,-11.0,110.1,-8.3,1.4
355,A047812,2020KW04,100.6,-7.5,-7.6,109.6,-6.0,1.6
356,A047812,2020JJ00,101.1,-5.9,-6.0,109.6,-4.6,1.4
357,A047812,2021MM01,94.9,-12.3,-11.7,104.7,-10.5,2.0
358,A047812,2021MM02,92.2,-12.5,-11.0,101.6,-10.2,2.7
359,A047812,2021MM03,100.3,1.7,0.4,111.7,4.1,2.4
360,A047812,2021KW01,95.8,-8.0,-7.6,106.0,-5.7,2.4
361,A047812,2021MM04,100.1,12.7,12.8,112.1,16.3,3.3
362,A047812,2021MM05,107.1,10.8,11.9,119.3,14.6,3.4
363,A047812,2021MM06,109.6,8.9,8.1,122.7,12.1,2.9
364,A047812,2021KW02,105.6,10.7,10.8,118.0,14.2,3.2
365,A047812,2021MM07,109.3,3.6,3.4,122.1,5.7,2.0
366,A047812,2021MM08,107.8,3.6,4.1,118.8,6.8,3.0
367,A047812,2021MM09,108.9,5.7,5.5,121.6,8.5,2.7
368,A047812,2021KW03,108.7,4.3,4.3,120.8,7.0,2.6
369,A047812,2021MM10,111.0,8.4,9.4,124.4,12.0,3.3
370,A047812,2021MM11,108.2,10.5,9.7,123.1,14.4,3.5
371,A047812,2021MM12,107.5,6.0,5.3,121.4,10.3,4.0
372,A047812,2021KW04,108.9,8.3,8.1,123.0,12.2,3.6
373,A047812,2021JJ00,104.7,3.6,3.7,117.0,6.7,3.0
