ID,Bedrijfstakken,Perioden,Wegingscoefficient_1,Prijsindexcijfer_2,Wegingscoefficient_3,Prijsindexcijfer_4,Wegingscoefficient_5,Prijsindexcijfer_6,Wegingscoefficient_7,Prijsindexcijfer_8,Wegingscoefficient_9,Prijsindexcijfer_10,Wegingscoefficient_11,Prijsindexcijfer_12,Wegingscoefficient_13,Prijsindexcijfer_14,Wegingscoefficient_15,Prijsindexcijfer_16,Wegingscoefficient_17,Prijsindexcijfer_18,Wegingscoefficient_19,Prijsindexcijfer_20,Wegingscoefficient_21,Prijsindexcijfer_22,Wegingscoefficient_23,Prijsindexcijfer_24,Wegingscoefficient_25,Prijsindexcijfer_26
55,C  0,1994MM03,100000.0,90.0,60854.0,91,,,,,,,39146.0,88.0,100000.0,95.0,27460.0,99.0,,,,,21513.0,98.0,5947.0,104.0,72540.0,94.0
56,C  0,1994MM04,100000.0,90.0,60854.0,92,,,,,,,39146.0,89.0,100000.0,94.0,27460.0,99.0,,,,,21513.0,98.0,5947.0,102.0,72540.0,93.0
57,C  0,1994MM05,100000.0,94.0,60854.0,92,,,,,,,39146.0,97.0,100000.0,92.0,27460.0,99.0,,,,,21513.0,98.0,5947.0,102.0,72540.0,89.0
58,C  0,1994MM06,100000.0,96.0,60854.0,92,,,,,,,39146.0,103.0,100000.0,93.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,102.0,72540.0,91.0
59,C  0,1994MM07,100000.0,99.0,60854.0,93,,,,,,,39146.0,107.0,100000.0,92.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,90.0
60,C  0,1994MM08,100000.0,98.0,60854.0,93,,,,,,,39146.0,105.0,100000.0,92.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,90.0
61,C  0,1994MM09,100000.0,92.0,60854.0,93,,,,,,,39146.0,91.0,100000.0,93.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,90.0
62,C  0,1994MM10,100000.0,89.0,60854.0,93,,,,,,,39146.0,82.0,100000.0,91.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,103.0,72540.0,87.0
63,C  0,1994MM11,100000.0,90.0,60854.0,93,,,,,,,39146.0,84.0,100000.0,91.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,104.0,72540.0,87.0
64,C  0,1994MM12,100000.0,88.0,60854.0,93,,,,,,,39146.0,80.0,100000.0,93.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,104.0,72540.0,90.0
