ID,Leeftijd,Perioden,Kinderen_1,k_1eKinderen_2,k_2eKinderen_3,k_3eKinderen_4,k_4OfVolgendeKinderen_5
44,totaal  ,2046JJ00,1.75033,0.79953,0.65042,0.20058,0.0998
45,totaal  ,2047JJ00,1.7502,0.79944,0.65043,0.20049,0.09984
46,totaal  ,2048JJ00,1.74992,0.7992,0.65044,0.2004,0.09988
47,totaal  ,2049JJ00,1.74998,0.7993,0.65043,0.20033,0.09992
48,15      ,2002JJ00,0.00049,0.00049,0.0,0.0,0.0
49,15      ,2003JJ00,0.00046,0.00046,0.0,0.0,0.0
50,15      ,2004JJ00,0.00043,0.00043,0.0,0.0,0.0
51,15      ,2005JJ00,0.0004,0.0004,0.0,0.0,0.0
52,15      ,2006JJ00,0.00038,0.00038,0.0,0.0,0.0
53,15      ,2007JJ00,0.00035,0.00035,0.0,0.0,0.0
54,15      ,2008JJ00,0.00032,0.00032,0.0,0.0,0.0
55,15      ,2009JJ00,0.00029,0.00029,0.0,0.0,0.0
56,15      ,2010JJ00,0.00023,0.00023,0.0,0.0,0.0
57,15      ,2011JJ00,0.00022,0.00022,0.0,0.0,0.0
58,15      ,2012JJ00,0.00022,0.00022,0.0,0.0,0.0
59,15      ,2013JJ00,0.00021,0.00021,0.0,0.0,0.0
60,15      ,2014JJ00,0.0002,0.0002,0.0,0.0,0.0
61,15      ,2015JJ00,0.00019,0.00019,0.0,0.0,0.0
62,15      ,2016JJ00,0.00018,0.00018,0.0,0.0,0.0
63,15      ,2017JJ00,0.00017,0.00017,0.0,0.0,0.0
64,15      ,2018JJ00,0.00016,0.00016,0.0,0.0,0.0
65,15      ,2019JJ00,0.00015,0.00015,0.0,0.0,0.0
66,15      ,2020JJ00,0.00014,0.00014,0.0,0.0,0.0
67,15      ,2021JJ00,0.00013,0.00013,0.0,0.0,0.0
68,15      ,2022JJ00,0.00013,0.00013,0.0,0.0,0.0
69,15      ,2023JJ00,0.00012,0.00012,0.0,0.0,0.0
70,15      ,2024JJ00,0.00011,0.00011,0.0,0.0,0.0
71,15      ,2025JJ00,0.0001,0.0001,0.0,0.0,0.0
72,15      ,2026JJ00,9e-05,9e-05,0.0,0.0,0.0
73,15      ,2027JJ00,8e-05,8e-05,0.0,0.0,0.0
74,15      ,2028JJ00,7e-05,7e-05,0.0,0.0,0.0
75,15      ,2029JJ00,6e-05,6e-05,0.0,0.0,0.0
76,15      ,2030JJ00,5e-05,5e-05,0.0,0.0,0.0
77,15      ,2031JJ00,4e-05,4e-05,0.0,0.0,0.0
78,15      ,2032JJ00,3e-05,3e-05,0.0,0.0,0.0
79,15      ,2033JJ00,2e-05,2e-05,0.0,0.0,0.0
80,15      ,2034JJ00,1e-05,1e-05,0.0,0.0,0.0
81,15      ,2035JJ00,0.0,0.0,0.0,0.0,0.0
82,15      ,2036JJ00,0.0,0.0,0.0,0.0,0.0
83,15      ,2037JJ00,0.0,0.0,0.0,0.0,0.0
84,15      ,2038JJ00,0.0,0.0,0.0,0.0,0.0
85,15      ,2039JJ00,0.0,0.0,0.0,0.0,0.0
86,15      ,2040JJ00,0.0,0.0,0.0,0.0,0.0
87,15      ,2041JJ00,0.0,0.0,0.0,0.0,0.0
88,15      ,2042JJ00,0.0,0.0,0.0,0.0,0.0
89,15      ,2043JJ00,0.0,0.0,0.0,0.0,0.0
90,15      ,2044JJ00,0.0,0.0,0.0,0.0,0.0
91,15      ,2045JJ00,0.0,0.0,0.0,0.0,0.0
92,15      ,2046JJ00,0.0,0.0,0.0,0.0,0.0
93,15      ,2047JJ00,0.0,0.0,0.0,0.0,0.0
94,15      ,2048JJ00,0.0,0.0,0.0,0.0,0.0
95,15      ,2049JJ00,0.0,0.0,0.0,0.0,0.0
96,16      ,2002JJ00,0.00155,0.00153,1e-05,1e-05,0.0
97,16      ,2003JJ00,0.00147,0.00146,1e-05,1e-05,0.0
98,16      ,2004JJ00,0.0014,0.00138,1e-05,1e-05,0.0
99,16      ,2005JJ00,0.00132,0.00131,1e-05,1e-05,0.0
100,16      ,2006JJ00,0.00124,0.00123,1e-05,1e-05,0.0
101,16      ,2007JJ00,0.00116,0.00115,0.0,0.0,0.0
102,16      ,2008JJ00,0.00108,0.00108,0.0,0.0,0.0
103,16      ,2009JJ00,0.00101,0.001,0.0,0.0,0.0
104,16      ,2010JJ00,0.00085,0.00085,0.0,0.0,0.0
105,16      ,2011JJ00,0.00084,0.00084,0.0,0.0,0.0
106,16      ,2012JJ00,0.00082,0.00082,0.0,0.0,0.0
107,16      ,2013JJ00,0.0008,0.0008,0.0,0.0,0.0
108,16      ,2014JJ00,0.00078,0.00078,0.0,0.0,0.0
109,16      ,2015JJ00,0.00077,0.00077,0.0,0.0,0.0
110,16      ,2016JJ00,0.00075,0.00075,0.0,0.0,0.0
111,16      ,2017JJ00,0.00074,0.00074,0.0,0.0,0.0
112,16      ,2018JJ00,0.00072,0.00072,0.0,0.0,0.0
113,16      ,2019JJ00,0.00071,0.00071,0.0,0.0,0.0
114,16      ,2020JJ00,0.00069,0.00069,0.0,0.0,0.0
115,16      ,2021JJ00,0.00068,0.00068,0.0,0.0,0.0
116,16      ,2022JJ00,0.00066,0.00066,0.0,0.0,0.0
117,16      ,2023JJ00,0.00064,0.00064,0.0,0.0,0.0
118,16      ,2024JJ00,0.00063,0.00063,0.0,0.0,0.0
119,16      ,2025JJ00,0.00061,0.00061,0.0,0.0,0.0
120,16      ,2026JJ00,0.0006,0.0006,0.0,0.0,0.0
121,16      ,2027JJ00,0.00058,0.00058,0.0,0.0,0.0
122,16      ,2028JJ00,0.00057,0.00057,0.0,0.0,0.0
123,16      ,2029JJ00,0.00055,0.00055,0.0,0.0,0.0
124,16      ,2030JJ00,0.00053,0.00053,0.0,0.0,0.0
125,16      ,2031JJ00,0.00052,0.00052,0.0,0.0,0.0
126,16      ,2032JJ00,0.0005,0.0005,0.0,0.0,0.0
127,16      ,2033JJ00,0.00048,0.00048,0.0,0.0,0.0
128,16      ,2034JJ00,0.00047,0.00047,0.0,0.0,0.0
129,16      ,2035JJ00,0.00045,0.00045,0.0,0.0,0.0
130,16      ,2036JJ00,0.00043,0.00043,0.0,0.0,0.0
131,16      ,2037JJ00,0.00043,0.00043,0.0,0.0,0.0
132,16      ,2038JJ00,0.00043,0.00043,0.0,0.0,0.0
133,16      ,2039JJ00,0.00043,0.00043,0.0,0.0,0.0
134,16      ,2040JJ00,0.00043,0.00043,0.0,0.0,0.0
135,16      ,2041JJ00,0.00043,0.00043,0.0,0.0,0.0
136,16      ,2042JJ00,0.00043,0.00043,0.0,0.0,0.0
137,16      ,2043JJ00,0.00043,0.00043,0.0,0.0,0.0
138,16      ,2044JJ00,0.00043,0.00043,0.0,0.0,0.0
139,16      ,2045JJ00,0.00043,0.00043,0.0,0.0,0.0
140,16      ,2046JJ00,0.00043,0.00043,0.0,0.0,0.0
141,16      ,2047JJ00,0.00043,0.00043,0.0,0.0,0.0
142,16      ,2048JJ00,0.00043,0.00043,0.0,0.0,0.0
143,16      ,2049JJ00,0.00043,0.00043,0.0,0.0,0.0
144,17      ,2002JJ00,0.00442,0.00426,0.00017,0.0,0.0
145,17      ,2003JJ00,0.00418,0.00403,0.00015,0.0,0.0
146,17      ,2004JJ00,0.00395,0.00381,0.00014,0.0,0.0
147,17      ,2005JJ00,0.00371,0.00358,0.00012,0.0,0.0
148,17      ,2006JJ00,0.00347,0.00336,0.00011,0.0,1e-05
149,17      ,2007JJ00,0.00323,0.00313,0.0001,0.0,1e-05
150,17      ,2008JJ00,0.00299,0.00291,8e-05,0.0,1e-05
151,17      ,2009JJ00,0.00276,0.00268,7e-05,0.0,1e-05
152,17      ,2010JJ00,0.00228,0.00223,4e-05,0.0,1e-05
153,17      ,2011JJ00,0.00226,0.00221,4e-05,0.0,1e-05
154,17      ,2012JJ00,0.00224,0.00219,4e-05,0.0,1e-05
155,17      ,2013JJ00,0.00223,0.00218,4e-05,0.0,1e-05
156,17      ,2014JJ00,0.00221,0.00216,4e-05,0.0,1e-05
157,17      ,2015JJ00,0.00219,0.00215,3e-05,0.0,1e-05
158,17      ,2016JJ00,0.00218,0.00214,3e-05,0.0,1e-05
159,17      ,2017JJ00,0.00217,0.00213,3e-05,0.0,1e-05
160,17      ,2018JJ00,0.00216,0.00212,3e-05,0.0,1e-05
161,17      ,2019JJ00,0.00215,0.00211,3e-05,0.0,1e-05
162,17      ,2020JJ00,0.00214,0.0021,3e-05,0.0,1e-05
163,17      ,2021JJ00,0.00213,0.00209,3e-05,0.0,1e-05
164,17      ,2022JJ00,0.00211,0.00208,2e-05,0.0,1e-05
165,17      ,2023JJ00,0.0021,0.00207,2e-05,0.0,1e-05
166,17      ,2024JJ00,0.00209,0.00206,2e-05,0.0,1e-05
167,17      ,2025JJ00,0.00208,0.00205,2e-05,0.0,1e-05
168,17      ,2026JJ00,0.00207,0.00204,2e-05,0.0,1e-05
169,17      ,2027JJ00,0.00206,0.00203,2e-05,0.0,1e-05
170,17      ,2028JJ00,0.00204,0.00203,1e-05,0.0,0.0
171,17      ,2029JJ00,0.00203,0.00202,1e-05,0.0,0.0
172,17      ,2030JJ00,0.00202,0.00201,1e-05,0.0,0.0
173,17      ,2031JJ00,0.00201,0.002,1e-05,0.0,0.0
174,17      ,2032JJ00,0.002,0.00199,1e-05,0.0,0.0
175,17      ,2033JJ00,0.00199,0.00198,1e-05,0.0,0.0
176,17      ,2034JJ00,0.00197,0.00197,0.0,0.0,0.0
177,17      ,2035JJ00,0.00197,0.00197,0.0,0.0,0.0
178,17      ,2036JJ00,0.00196,0.00196,0.0,0.0,0.0
179,17      ,2037JJ00,0.00195,0.00195,0.0,0.0,0.0
180,17      ,2038JJ00,0.00195,0.00195,0.0,0.0,0.0
181,17      ,2039JJ00,0.00195,0.00195,0.0,0.0,0.0
182,17      ,2040JJ00,0.00195,0.00195,0.0,0.0,0.0
183,17      ,2041JJ00,0.00195,0.00195,0.0,0.0,0.0
184,17      ,2042JJ00,0.00195,0.00195,0.0,0.0,0.0
185,17      ,2043JJ00,0.00195,0.00195,0.0,0.0,0.0
186,17      ,2044JJ00,0.00195,0.00195,0.0,0.0,0.0
187,17      ,2045JJ00,0.00195,0.00195,0.0,0.0,0.0
188,17      ,2046JJ00,0.00195,0.00195,0.0,0.0,0.0
189,17      ,2047JJ00,0.00195,0.00195,0.0,0.0,0.0
190,17      ,2048JJ00,0.00195,0.00195,0.0,0.0,0.0
191,17      ,2049JJ00,0.00195,0.00195,0.0,0.0,0.0
192,18      ,2002JJ00,0.00803,0.00742,0.00058,3e-05,0.0
193,18      ,2003JJ00,0.00774,0.00716,0.00056,3e-05,0.0
194,18      ,2004JJ00,0.00746,0.0069,0.00053,2e-05,0.0
195,18      ,2005JJ00,0.00717,0.00664,0.00051,2e-05,0.0
196,18      ,2006JJ00,0.00689,0.00638,0.00049,2e-05,0.0
197,18      ,2007JJ00,0.0066,0.00611,0.00047,2e-05,0.0
198,18      ,2008JJ00,0.00632,0.00585,0.00045,2e-05,0.0
199,18      ,2009JJ00,0.00603,0.00559,0.00042,1e-05,0.0
200,18      ,2010JJ00,0.00546,0.00507,0.00038,1e-05,0.0
201,18      ,2011JJ00,0.00543,0.00504,0.00038,1e-05,0.0
202,18      ,2012JJ00,0.00539,0.005,0.00038,1e-05,0.0
203,18      ,2013JJ00,0.00537,0.00498,0.00038,1e-05,0.0
204,18      ,2014JJ00,0.00536,0.00496,0.00038,2e-05,0.0
205,18      ,2015JJ00,0.00534,0.00494,0.00038,2e-05,0.0
206,18      ,2016JJ00,0.00532,0.00492,0.00038,2e-05,0.0
207,18      ,2017JJ00,0.0053,0.00491,0.00037,2e-05,0.0
208,18      ,2018JJ00,0.00529,0.0049,0.00037,2e-05,0.0
209,18      ,2019JJ00,0.00528,0.00489,0.00037,2e-05,0.0
210,18      ,2020JJ00,0.00527,0.00488,0.00037,2e-05,0.0
211,18      ,2021JJ00,0.00528,0.00488,0.00037,2e-05,1e-05
212,18      ,2022JJ00,0.00527,0.00487,0.00037,2e-05,1e-05
213,18      ,2023JJ00,0.00527,0.00487,0.00037,2e-05,1e-05
214,18      ,2024JJ00,0.00526,0.00486,0.00037,2e-05,1e-05
215,18      ,2025JJ00,0.00525,0.00486,0.00036,2e-05,1e-05
216,18      ,2026JJ00,0.00525,0.00486,0.00036,2e-05,1e-05
217,18      ,2027JJ00,0.00524,0.00485,0.00036,2e-05,1e-05
218,18      ,2028JJ00,0.00524,0.00485,0.00036,2e-05,1e-05
219,18      ,2029JJ00,0.00524,0.00485,0.00036,2e-05,1e-05
220,18      ,2030JJ00,0.00524,0.00485,0.00036,2e-05,1e-05
221,18      ,2031JJ00,0.00523,0.00484,0.00036,2e-05,1e-05
222,18      ,2032JJ00,0.00523,0.00484,0.00036,2e-05,1e-05
223,18      ,2033JJ00,0.00522,0.00484,0.00035,2e-05,1e-05
224,18      ,2034JJ00,0.00522,0.00484,0.00035,2e-05,1e-05
225,18      ,2035JJ00,0.00522,0.00484,0.00035,2e-05,1e-05
226,18      ,2036JJ00,0.00522,0.00484,0.00035,2e-05,1e-05
227,18      ,2037JJ00,0.00522,0.00484,0.00035,2e-05,1e-05
228,18      ,2038JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
229,18      ,2039JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
230,18      ,2040JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
231,18      ,2041JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
232,18      ,2042JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
233,18      ,2043JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
234,18      ,2044JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
235,18      ,2045JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
236,18      ,2046JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
237,18      ,2047JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
238,18      ,2048JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
239,18      ,2049JJ00,0.00522,0.00483,0.00035,3e-05,1e-05
240,19      ,2002JJ00,0.01421,0.01267,0.0014,0.00013,0.0
241,19      ,2003JJ00,0.01374,0.01225,0.00137,0.00013,0.0
242,19      ,2004JJ00,0.01328,0.01183,0.00133,0.00012,0.0
243,19      ,2005JJ00,0.01281,0.01141,0.00129,0.00011,0.0
244,19      ,2006JJ00,0.01235,0.01099,0.00126,0.00011,0.0
245,19      ,2007JJ00,0.01189,0.01057,0.00122,0.0001,0.0
246,19      ,2008JJ00,0.01142,0.01015,0.00118,9e-05,0.0
247,19      ,2009JJ00,0.01096,0.00973,0.00114,8e-05,0.0
248,19      ,2010JJ00,0.01003,0.00889,0.00107,7e-05,0.0
249,19      ,2011JJ00,0.00998,0.00884,0.00107,7e-05,0.0
250,19      ,2012JJ00,0.00994,0.0088,0.00107,7e-05,0.0
251,19      ,2013JJ00,0.00994,0.00878,0.00108,8e-05,0.0
252,19      ,2014JJ00,0.00992,0.00876,0.00108,8e-05,0.0
253,19      ,2015JJ00,0.00992,0.00876,0.00108,8e-05,0.0
254,19      ,2016JJ00,0.00993,0.00876,0.00109,8e-05,0.0
255,19      ,2017JJ00,0.00994,0.00876,0.00109,9e-05,0.0
256,19      ,2018JJ00,0.00995,0.00877,0.00109,9e-05,0.0
257,19      ,2019JJ00,0.00997,0.00878,0.0011,9e-05,0.0
258,19      ,2020JJ00,0.00999,0.0088,0.0011,9e-05,0.0
259,19      ,2021JJ00,0.01001,0.00882,0.0011,9e-05,0.0
260,19      ,2022JJ00,0.01004,0.00884,0.00111,9e-05,0.0
261,19      ,2023JJ00,0.01007,0.00887,0.00111,9e-05,0.0
262,19      ,2024JJ00,0.01009,0.00889,0.00111,9e-05,0.0
263,19      ,2025JJ00,0.01013,0.00892,0.00112,9e-05,0.0
264,19      ,2026JJ00,0.01017,0.00895,0.00112,0.0001,0.0
265,19      ,2027JJ00,0.01019,0.00897,0.00112,0.0001,0.0
266,19      ,2028JJ00,0.01022,0.009,0.00112,0.0001,0.0
267,19      ,2029JJ00,0.01026,0.00903,0.00113,0.0001,0.0
268,19      ,2030JJ00,0.0103,0.00907,0.00113,0.0001,0.0
269,19      ,2031JJ00,0.01033,0.0091,0.00113,0.0001,0.0
270,19      ,2032JJ00,0.01037,0.00913,0.00114,0.0001,0.0
271,19      ,2033JJ00,0.01041,0.00917,0.00114,0.0001,0.0
272,19      ,2034JJ00,0.01044,0.0092,0.00114,0.0001,0.0
273,19      ,2035JJ00,0.01047,0.00923,0.00114,0.0001,0.0
274,19      ,2036JJ00,0.01052,0.00927,0.00115,0.0001,0.0
275,19      ,2037JJ00,0.01055,0.0093,0.00115,0.0001,0.0
276,19      ,2038JJ00,0.01059,0.00934,0.00115,0.0001,0.0
277,19      ,2039JJ00,0.01064,0.00938,0.00116,0.0001,0.0
278,19      ,2040JJ00,0.01064,0.00938,0.00116,0.0001,0.0
279,19      ,2041JJ00,0.01064,0.00938,0.00116,0.0001,0.0
280,19      ,2042JJ00,0.01064,0.00938,0.00116,0.0001,0.0
281,19      ,2043JJ00,0.01064,0.00938,0.00116,0.0001,0.0
282,19      ,2044JJ00,0.01064,0.00938,0.00116,0.0001,0.0
283,19      ,2045JJ00,0.01064,0.00938,0.00116,0.0001,0.0
284,19      ,2046JJ00,0.01064,0.00938,0.00116,0.0001,0.0
285,19      ,2047JJ00,0.01064,0.00938,0.00116,0.0001,0.0
286,19      ,2048JJ00,0.01064,0.00938,0.00116,0.0001,0.0
287,19      ,2049JJ00,0.01064,0.00938,0.00116,0.0001,0.0
288,20      ,2002JJ00,0.02057,0.01748,0.00289,0.00018,2e-05
289,20      ,2003JJ00,0.02034,0.01732,0.00281,0.00018,2e-05
290,20      ,2004JJ00,0.02011,0.01716,0.00274,0.00019,3e-05
291,20      ,2005JJ00,0.01988,0.017,0.00267,0.00019,3e-05
292,20      ,2006JJ00,0.01966,0.01684,0.0026,0.00019,3e-05
293,20      ,2007JJ00,0.01943,0.01668,0.00252,0.00019,3e-05
294,20      ,2008JJ00,0.0192,0.01652,0.00245,0.00019,3e-05
295,20      ,2009JJ00,0.01897,0.01636,0.00238,0.0002,4e-05
296,20      ,2010JJ00,0.01851,0.01604,0.00223,0.0002,4e-05
297,20      ,2011JJ00,0.01852,0.01604,0.00224,0.0002,4e-05
298,20      ,2012JJ00,0.01853,0.01604,0.00225,0.0002,4e-05
299,20      ,2013JJ00,0.01855,0.01604,0.00226,0.00021,4e-05
300,20      ,2014JJ00,0.01857,0.01604,0.00228,0.00021,4e-05
301,20      ,2015JJ00,0.01857,0.01603,0.00229,0.00021,4e-05
302,20      ,2016JJ00,0.01858,0.01603,0.0023,0.00021,4e-05
303,20      ,2017JJ00,0.0186,0.01603,0.00232,0.00021,4e-05
304,20      ,2018JJ00,0.01861,0.01602,0.00233,0.00022,4e-05
305,20      ,2019JJ00,0.01862,0.01602,0.00234,0.00022,4e-05
306,20      ,2020JJ00,0.01863,0.01601,0.00236,0.00022,4e-05
307,20      ,2021JJ00,0.01863,0.016,0.00237,0.00022,4e-05
308,20      ,2022JJ00,0.01864,0.016,0.00238,0.00022,4e-05
309,20      ,2023JJ00,0.01866,0.01599,0.0024,0.00023,4e-05
310,20      ,2024JJ00,0.01865,0.01598,0.00241,0.00023,3e-05
311,20      ,2025JJ00,0.01866,0.01598,0.00242,0.00023,3e-05
312,20      ,2026JJ00,0.01867,0.01597,0.00244,0.00023,3e-05
313,20      ,2027JJ00,0.01867,0.01596,0.00245,0.00023,3e-05
314,20      ,2028JJ00,0.01868,0.01596,0.00246,0.00023,3e-05
315,20      ,2029JJ00,0.01869,0.01595,0.00248,0.00023,3e-05
316,20      ,2030JJ00,0.0187,0.01594,0.00249,0.00024,3e-05
317,20      ,2031JJ00,0.01871,0.01593,0.00251,0.00024,3e-05
318,20      ,2032JJ00,0.01871,0.01592,0.00252,0.00024,3e-05
319,20      ,2033JJ00,0.01872,0.01592,0.00253,0.00024,3e-05
320,20      ,2034JJ00,0.01873,0.01591,0.00255,0.00024,3e-05
321,20      ,2035JJ00,0.01873,0.0159,0.00256,0.00024,3e-05
322,20      ,2036JJ00,0.01874,0.01589,0.00258,0.00024,3e-05
323,20      ,2037JJ00,0.01874,0.01588,0.00259,0.00024,3e-05
324,20      ,2038JJ00,0.01875,0.01588,0.0026,0.00024,3e-05
325,20      ,2039JJ00,0.01877,0.01587,0.00262,0.00025,3e-05
326,20      ,2040JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
327,20      ,2041JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
328,20      ,2042JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
329,20      ,2043JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
330,20      ,2044JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
331,20      ,2045JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
332,20      ,2046JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
333,20      ,2047JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
334,20      ,2048JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
335,20      ,2049JJ00,0.01877,0.01586,0.00263,0.00025,3e-05
336,21      ,2002JJ00,0.02747,0.0223,0.00463,0.00048,6e-05
337,21      ,2003JJ00,0.02737,0.02226,0.00459,0.00047,6e-05
338,21      ,2004JJ00,0.02727,0.02221,0.00454,0.00047,5e-05
339,21      ,2005JJ00,0.02717,0.02216,0.0045,0.00046,5e-05
340,21      ,2006JJ00,0.02707,0.02212,0.00445,0.00046,5e-05
341,21      ,2007JJ00,0.02697,0.02207,0.0044,0.00045,5e-05
342,21      ,2008JJ00,0.02687,0.02202,0.00436,0.00045,5e-05
343,21      ,2009JJ00,0.02677,0.02197,0.00431,0.00044,4e-05
344,21      ,2010JJ00,0.02657,0.02188,0.00422,0.00043,4e-05
345,21      ,2011JJ00,0.02659,0.02189,0.00423,0.00043,4e-05
346,21      ,2012JJ00,0.02663,0.02191,0.00424,0.00044,4e-05
347,21      ,2013JJ00,0.02666,0.02192,0.00425,0.00045,4e-05
348,21      ,2014JJ00,0.02669,0.02194,0.00426,0.00045,4e-05
349,21      ,2015JJ00,0.02672,0.02195,0.00427,0.00046,4e-05
350,21      ,2016JJ00,0.02675,0.02196,0.00428,0.00047,4e-05
351,21      ,2017JJ00,0.02677,0.02196,0.0043,0.00047,4e-05
352,21      ,2018JJ00,0.0268,0.02197,0.00431,0.00048,4e-05
353,21      ,2019JJ00,0.02682,0.02198,0.00432,0.00048,4e-05
354,21      ,2020JJ00,0.02685,0.02199,0.00433,0.00049,4e-05
355,21      ,2021JJ00,0.02687,0.02199,0.00435,0.00049,4e-05
356,21      ,2022JJ00,0.02689,0.022,0.00436,0.00049,4e-05
357,21      ,2023JJ00,0.02691,0.022,0.00437,0.0005,4e-05
358,21      ,2024JJ00,0.02693,0.02201,0.00438,0.0005,4e-05
359,21      ,2025JJ00,0.02696,0.02201,0.0044,0.00051,4e-05
360,21      ,2026JJ00,0.02698,0.02202,0.00441,0.00051,4e-05
361,21      ,2027JJ00,0.027,0.02202,0.00443,0.00051,4e-05
362,21      ,2028JJ00,0.02702,0.02202,0.00444,0.00052,4e-05
363,21      ,2029JJ00,0.02704,0.02203,0.00445,0.00052,4e-05
364,21      ,2030JJ00,0.02707,0.02203,0.00447,0.00053,4e-05
365,21      ,2031JJ00,0.02708,0.02203,0.00448,0.00053,4e-05
366,21      ,2032JJ00,0.02709,0.02203,0.00449,0.00053,4e-05
367,21      ,2033JJ00,0.02712,0.02204,0.00451,0.00053,4e-05
368,21      ,2034JJ00,0.02714,0.02204,0.00452,0.00054,4e-05
369,21      ,2035JJ00,0.02716,0.02204,0.00454,0.00054,4e-05
370,21      ,2036JJ00,0.02717,0.02204,0.00455,0.00054,4e-05
371,21      ,2037JJ00,0.0272,0.02205,0.00456,0.00055,4e-05
372,21      ,2038JJ00,0.02722,0.02205,0.00458,0.00055,4e-05
373,21      ,2039JJ00,0.02723,0.02205,0.00459,0.00055,4e-05
