ID,Voertuigcategorie,BouwjaarVoertuig,Wegtype,CO_1,VOS_2,NOx_3,PM10_4
87,Padie,2007 ,1,0.25,0.02,0.51,0.05
88,Padie,2007 ,2,0.02,0.0,0.27,0.024
89,Padie,2007 ,3,0.05,0.01,0.25,0.05
90,PaLPG,-1998,1,7.16,0.96,0.94,0.013
91,PaLPG,-1998,2,3.55,0.23,0.68,0.009
92,PaLPG,-1998,3,1.3,0.34,1.07,0.008
93,PaLPG,1999 ,1,7.43,0.61,0.47,0.009
94,PaLPG,1999 ,2,5.22,0.04,0.36,0.005
95,PaLPG,1999 ,3,1.51,0.07,0.51,0.005
96,PaLPG,2000 ,1,4.95,0.5,0.42,0.007
97,PaLPG,2000 ,2,3.01,0.05,0.28,0.003
98,PaLPG,2000 ,3,1.18,0.04,0.31,0.007
99,PaLPG,2001 ,1,2.45,0.38,0.37,0.005
100,PaLPG,2001 ,2,0.55,0.05,0.2,0.002
101,PaLPG,2001 ,3,0.84,0.02,0.13,0.01
102,PaLPG,2002 ,1,2.39,0.38,0.36,0.005
103,PaLPG,2002 ,2,0.53,0.05,0.2,0.002
104,PaLPG,2002 ,3,0.81,0.02,0.12,0.01
105,PaLPG,2003 ,1,2.14,0.38,0.25,0.005
106,PaLPG,2003 ,2,0.52,0.05,0.13,0.002
107,PaLPG,2003 ,3,0.51,0.02,0.08,0.01
108,PaLPG,2004 ,1,2.0,0.38,0.2,0.005
109,PaLPG,2004 ,2,0.52,0.05,0.09,0.002
110,PaLPG,2004 ,3,0.37,0.02,0.06,0.01
111,PaLPG,2005 ,1,1.88,0.39,0.14,0.005
112,PaLPG,2005 ,2,0.51,0.05,0.06,0.002
113,PaLPG,2005 ,3,0.24,0.02,0.04,0.01
114,PaLPG,2006 ,1,1.85,0.38,0.14,0.005
115,PaLPG,2006 ,2,0.5,0.04,0.06,0.002
116,PaLPG,2006 ,3,0.23,0.02,0.04,0.01
117,PaLPG,2007 ,1,1.81,0.37,0.14,0.005
118,PaLPG,2007 ,2,0.49,0.04,0.06,0.002
119,PaLPG,2007 ,3,0.22,0.02,0.04,0.01
120,Baben,-1998,1,11.73,1.8,1.47,0.025
121,Baben,-1998,2,5.2,0.73,1.33,0.016
122,Baben,-1998,3,5.25,0.51,2.09,0.017
123,Baben,1999 ,1,3.91,0.24,0.29,0.007
124,Baben,1999 ,2,1.87,0.07,0.2,0.005
125,Baben,1999 ,3,1.96,0.06,0.08,0.005
126,Baben,2000 ,1,2.83,0.22,0.19,0.006
127,Baben,2000 ,2,1.44,0.04,0.11,0.003
128,Baben,2000 ,3,1.27,0.03,0.06,0.006
129,Baben,2001 ,1,1.72,0.21,0.1,0.004
130,Baben,2001 ,2,0.89,0.02,0.02,0.001
131,Baben,2001 ,3,0.6,0.01,0.04,0.008
132,Baben,2002 ,1,1.68,0.21,0.09,0.004
133,Baben,2002 ,2,0.86,0.02,0.02,0.001
134,Baben,2002 ,3,0.58,0.01,0.04,0.008
135,Baben,2003 ,1,1.52,0.2,0.08,0.004
136,Baben,2003 ,2,0.53,0.01,0.03,0.001
137,Baben,2003 ,3,0.52,0.01,0.03,0.008
138,Baben,2004 ,1,1.43,0.2,0.07,0.004
139,Baben,2004 ,2,0.37,0.01,0.03,0.001
140,Baben,2004 ,3,0.49,0.01,0.03,0.008
141,Baben,2005 ,1,1.35,0.2,0.06,0.004
142,Baben,2005 ,2,0.23,0.01,0.03,0.001
143,Baben,2005 ,3,0.46,0.01,0.02,0.008
144,Baben,2006 ,1,1.33,0.2,0.06,0.004
145,Baben,2006 ,2,0.22,0.01,0.03,0.001
146,Baben,2006 ,3,0.45,0.01,0.02,0.008
147,Baben,2007 ,1,1.31,0.19,0.06,0.004
148,Baben,2007 ,2,0.21,0.01,0.03,0.001
149,Baben,2007 ,3,0.43,0.01,0.02,0.008
150,Badie,-1998,1,1.83,0.32,1.51,0.374
151,Badie,-1998,2,0.46,0.21,1.05,0.201
152,Badie,-1998,3,0.42,0.21,1.5,0.215
153,Badie,1999 ,1,0.72,0.16,1.59,0.16
154,Badie,1999 ,2,0.08,0.06,0.82,0.073
155,Badie,1999 ,3,0.1,0.04,1.05,0.139
156,Badie,2000 ,1,0.64,0.11,1.42,0.127
157,Badie,2000 ,2,0.05,0.04,0.78,0.061
158,Badie,2000 ,3,0.07,0.03,0.95,0.117
159,Badie,2001 ,1,0.51,0.05,1.24,0.092
160,Badie,2001 ,2,0.02,0.01,0.73,0.049
161,Badie,2001 ,3,0.05,0.02,0.84,0.092
162,Badie,2002 ,1,0.51,0.05,1.24,0.092
163,Badie,2002 ,2,0.02,0.01,0.73,0.049
164,Badie,2002 ,3,0.05,0.02,0.84,0.092
165,Badie,2003 ,1,0.51,0.05,1.24,0.092
166,Badie,2003 ,2,0.02,0.01,0.73,0.049
167,Badie,2003 ,3,0.05,0.02,0.84,0.092
168,Badie,2004 ,1,0.51,0.05,1.24,0.092
169,Badie,2004 ,2,0.02,0.01,0.73,0.049
170,Badie,2004 ,3,0.05,0.02,0.84,0.092
171,Badie,2005 ,1,0.15,0.02,0.65,0.067
172,Badie,2005 ,2,0.02,0.0,0.36,0.035
173,Badie,2005 ,3,0.07,0.01,0.33,0.073
174,Badie,2006 ,1,0.15,0.02,0.65,0.067
175,Badie,2006 ,2,0.02,0.0,0.36,0.035
176,Badie,2006 ,3,0.07,0.01,0.33,0.073
177,Badie,2007 ,1,0.15,0.02,0.65,0.067
178,Badie,2007 ,2,0.02,0.0,0.36,0.035
179,Badie,2007 ,3,0.07,0.01,0.33,0.073
180,BaLPG,-1998,1,10.05,1.36,1.61,0.01
181,BaLPG,-1998,2,8.79,0.72,1.57,0.007
182,BaLPG,-1998,3,3.31,0.56,2.41,0.008
183,BaLPG,1999 ,1,10.71,0.52,0.57,0.007
184,BaLPG,1999 ,2,11.67,0.05,0.5,0.005
185,BaLPG,1999 ,3,3.44,0.09,0.71,0.005
186,BaLPG,2000 ,1,6.26,0.4,0.45,0.005
187,BaLPG,2000 ,2,6.67,0.06,0.38,0.003
188,BaLPG,2000 ,3,2.67,0.06,0.44,0.007
189,BaLPG,2001 ,1,1.63,0.27,0.34,0.003
190,BaLPG,2001 ,2,1.11,0.06,0.28,0.002
191,BaLPG,2001 ,3,1.9,0.03,0.18,0.01
192,BaLPG,2002 ,1,1.59,0.26,0.33,0.003
193,BaLPG,2002 ,2,1.07,0.06,0.27,0.002
194,BaLPG,2002 ,3,1.83,0.03,0.17,0.01
195,BaLPG,2003 ,1,1.26,0.23,0.24,0.003
196,BaLPG,2003 ,2,0.73,0.04,0.2,0.002
197,BaLPG,2003 ,3,1.24,0.02,0.13,0.01
198,BaLPG,2004 ,1,1.1,0.22,0.2,0.003
199,BaLPG,2004 ,2,0.56,0.04,0.17,0.002
200,BaLPG,2004 ,3,0.95,0.02,0.11,0.01
201,BaLPG,2005 ,1,0.95,0.2,0.16,0.003
202,BaLPG,2005 ,2,0.41,0.03,0.13,0.002
203,BaLPG,2005 ,3,0.68,0.01,0.09,0.01
204,BaLPG,2006 ,1,0.93,0.2,0.16,0.003
205,BaLPG,2006 ,2,0.4,0.03,0.13,0.002
206,BaLPG,2006 ,3,0.67,0.01,0.09,0.01
207,BaLPG,2007 ,1,0.92,0.19,0.15,0.003
208,BaLPG,2007 ,2,0.39,0.03,0.13,0.002
209,BaLPG,2007 ,3,0.65,0.01,0.08,0.01
210,Vadie,-1998,1,3.18,1.57,11.71,0.65
211,Vadie,-1998,2,1.75,0.74,8.73,0.352
212,Vadie,-1998,3,1.29,0.55,7.91,0.273
213,Vadie,1999 ,1,1.77,0.6,11.29,0.213
214,Vadie,1999 ,2,1.12,0.33,8.05,0.138
215,Vadie,1999 ,3,0.8,0.25,6.89,0.114
216,Vadie,2000 ,1,1.81,0.6,11.17,0.219
217,Vadie,2000 ,2,1.13,0.33,7.92,0.14
218,Vadie,2000 ,3,0.8,0.25,6.69,0.114
219,Vadie,2001 ,1,1.93,0.6,10.53,0.237
220,Vadie,2001 ,2,1.15,0.33,7.31,0.142
221,Vadie,2001 ,3,0.8,0.25,5.83,0.111
222,Vadie,2002 ,1,1.99,0.6,9.93,0.247
223,Vadie,2002 ,2,1.15,0.32,6.78,0.142
224,Vadie,2002 ,3,0.79,0.24,5.16,0.108
225,Vadie,2003 ,1,1.99,0.6,9.92,0.247
226,Vadie,2003 ,2,1.15,0.32,6.78,0.142
227,Vadie,2003 ,3,0.79,0.24,5.15,0.108
228,Vadie,2004 ,1,1.97,0.59,9.8,0.245
229,Vadie,2004 ,2,1.14,0.32,6.7,0.14
230,Vadie,2004 ,3,0.78,0.24,5.1,0.107
231,Vadie,2005 ,1,1.55,0.46,8.93,0.198
232,Vadie,2005 ,2,0.9,0.25,6.14,0.113
233,Vadie,2005 ,3,0.61,0.18,4.71,0.086
234,Vadie,2006 ,1,0.65,0.18,6.99,0.1
235,Vadie,2006 ,2,0.38,0.09,4.92,0.056
236,Vadie,2006 ,3,0.26,0.07,3.87,0.041
237,Vadie,2007 ,1,0.19,0.03,5.8,0.048
238,Vadie,2007 ,2,0.11,0.02,4.16,0.026
239,Vadie,2007 ,3,0.08,0.01,3.34,0.018
240,Trdie,-1998,1,4.08,1.96,18.05,0.974
241,Trdie,-1998,2,1.96,0.81,12.55,0.477
242,Trdie,-1998,3,1.39,0.57,10.21,0.343
243,Trdie,1999 ,1,2.3,0.78,15.57,0.294
244,Trdie,1999 ,2,1.32,0.42,10.34,0.174
245,Trdie,1999 ,3,0.99,0.29,8.13,0.134
246,Trdie,2000 ,1,2.31,0.77,15.19,0.296
247,Trdie,2000 ,2,1.32,0.41,10.05,0.174
248,Trdie,2000 ,3,0.98,0.29,7.86,0.132
249,Trdie,2001 ,1,2.35,0.75,13.67,0.301
250,Trdie,2001 ,2,1.31,0.4,8.87,0.173
251,Trdie,2001 ,3,0.94,0.27,6.78,0.124
252,Trdie,2002 ,1,2.37,0.73,12.54,0.305
253,Trdie,2002 ,2,1.31,0.38,7.99,0.172
254,Trdie,2002 ,3,0.91,0.26,5.96,0.118
255,Trdie,2003 ,1,2.37,0.73,12.54,0.305
256,Trdie,2003 ,2,1.3,0.38,7.99,0.172
257,Trdie,2003 ,3,0.91,0.26,5.96,0.118
258,Trdie,2004 ,1,2.37,0.73,12.54,0.305
259,Trdie,2004 ,2,1.31,0.38,7.99,0.172
260,Trdie,2004 ,3,0.91,0.26,5.96,0.118
261,Trdie,2005 ,1,1.83,0.56,11.25,0.244
262,Trdie,2005 ,2,1.01,0.29,7.22,0.136
263,Trdie,2005 ,3,0.7,0.2,5.42,0.094
264,Trdie,2006 ,1,0.76,0.21,8.67,0.121
265,Trdie,2006 ,2,0.42,0.11,5.67,0.065
266,Trdie,2006 ,3,0.29,0.07,4.33,0.044
267,Trdie,2007 ,1,0.22,0.04,7.38,0.059
268,Trdie,2007 ,2,0.12,0.02,4.89,0.03
269,Trdie,2007 ,3,0.09,0.01,3.79,0.02
270,Abdie,-1998,1,4.35,2.3,13.36,0.997
271,Abdie,-1998,2,2.22,1.06,9.63,0.485
272,Abdie,-1998,3,1.46,0.74,8.17,0.325
273,Abdie,1999 ,1,2.41,0.58,12.24,0.238
274,Abdie,1999 ,2,1.13,0.31,8.07,0.138
275,Abdie,1999 ,3,0.67,0.25,6.52,0.111
276,Abdie,2000 ,1,2.39,0.57,12.05,0.235
277,Abdie,2000 ,2,1.12,0.31,7.85,0.137
278,Abdie,2000 ,3,0.67,0.25,6.25,0.11
279,Abdie,2001 ,1,2.3,0.55,11.3,0.227
280,Abdie,2001 ,2,1.09,0.29,6.97,0.131
281,Abdie,2001 ,3,0.66,0.24,5.16,0.105
282,Abdie,2002 ,1,2.23,0.53,10.72,0.221
283,Abdie,2002 ,2,1.06,0.28,6.3,0.126
284,Abdie,2002 ,3,0.66,0.23,4.34,0.102
285,Abdie,2003 ,1,2.23,0.53,10.72,0.221
286,Abdie,2003 ,2,1.06,0.28,6.3,0.126
287,Abdie,2003 ,3,0.66,0.23,4.34,0.102
288,Abdie,2004 ,1,2.23,0.53,10.72,0.221
289,Abdie,2004 ,2,1.06,0.28,6.3,0.126
290,Abdie,2004 ,3,0.66,0.23,4.34,0.102
291,Abdie,2005 ,1,1.73,0.4,9.6,0.178
292,Abdie,2005 ,2,0.82,0.21,5.7,0.101
293,Abdie,2005 ,3,0.51,0.17,3.97,0.081
294,Abdie,2006 ,1,0.73,0.15,7.34,0.093
295,Abdie,2006 ,2,0.35,0.08,4.49,0.049
296,Abdie,2006 ,3,0.22,0.06,3.21,0.038
297,Abdie,2007 ,1,0.24,0.03,6.22,0.05
298,Abdie,2007 ,2,0.11,0.01,3.89,0.023
299,Abdie,2007 ,3,0.07,0.01,2.84,0.016
300,Mtben,-1998,1,28.84,4.01,0.1,0.017
301,Mtben,-1998,2,17.3,1.68,0.17,0.017
302,Mtben,-1998,3,28.12,1.44,0.42,0.017
303,Mtben,1999 ,1,17.04,2.21,0.13,0.016
304,Mtben,1999 ,2,9.46,0.95,0.21,0.016
305,Mtben,1999 ,3,21.45,0.7,0.47,0.016
306,Mtben,2000 ,1,11.87,1.44,0.14,0.015
307,Mtben,2000 ,2,6.07,0.66,0.22,0.015
308,Mtben,2000 ,3,18.65,0.42,0.49,0.015
309,Mtben,2001 ,1,11.87,1.44,0.14,0.015
310,Mtben,2001 ,2,6.07,0.66,0.22,0.015
311,Mtben,2001 ,3,18.65,0.42,0.49,0.015
312,Mtben,2002 ,1,11.87,1.44,0.14,0.015
313,Mtben,2002 ,2,6.07,0.66,0.22,0.015
314,Mtben,2002 ,3,18.65,0.42,0.49,0.015
315,Mtben,2003 ,1,11.87,1.44,0.14,0.015
316,Mtben,2003 ,2,6.07,0.66,0.22,0.015
317,Mtben,2003 ,3,18.65,0.42,0.49,0.015
318,Mtben,2004 ,1,11.87,1.44,0.14,0.015
319,Mtben,2004 ,2,6.07,0.66,0.22,0.015
320,Mtben,2004 ,3,18.65,0.42,0.49,0.015
321,Mtben,2005 ,1,11.87,1.44,0.14,0.015
322,Mtben,2005 ,2,6.07,0.66,0.22,0.015
323,Mtben,2005 ,3,18.65,0.42,0.49,0.015
324,Mtben,2006 ,1,11.87,1.44,0.14,0.015
325,Mtben,2006 ,2,6.07,0.66,0.22,0.015
326,Mtben,2006 ,3,18.65,0.42,0.49,0.015
327,Mtben,2007 ,1,11.87,1.44,0.14,0.015
328,Mtben,2007 ,2,6.07,0.66,0.22,0.015
329,Mtben,2007 ,3,18.65,0.42,0.49,0.015
330,Bfben,-1998,1,10.0,6.0,0.05,0.04
331,Bfben,-1998,2,10.0,6.0,0.05,0.04
332,Bfben,-1998,3,,,,
333,Bfben,1999 ,1,10.0,6.0,0.05,0.04
334,Bfben,1999 ,2,10.0,6.0,0.05,0.04
335,Bfben,1999 ,3,,,,
336,Bfben,2000 ,1,10.0,6.0,0.05,0.04
337,Bfben,2000 ,2,10.0,6.0,0.05,0.04
338,Bfben,2000 ,3,,,,
339,Bfben,2001 ,1,10.0,6.0,0.05,0.04
340,Bfben,2001 ,2,10.0,6.0,0.05,0.04
341,Bfben,2001 ,3,,,,
342,Bfben,2002 ,1,10.0,6.0,0.05,0.04
343,Bfben,2002 ,2,10.0,6.0,0.05,0.04
344,Bfben,2002 ,3,,,,
345,Bfben,2003 ,1,10.0,6.0,0.05,0.04
346,Bfben,2003 ,2,10.0,6.0,0.05,0.04
347,Bfben,2003 ,3,,,,
348,Bfben,2004 ,1,10.0,6.0,0.05,0.04
349,Bfben,2004 ,2,10.0,6.0,0.05,0.04
350,Bfben,2004 ,3,,,,
351,Bfben,2005 ,1,10.0,6.0,0.05,0.04
352,Bfben,2005 ,2,10.0,6.0,0.05,0.04
353,Bfben,2005 ,3,,,,
354,Bfben,2006 ,1,10.0,6.0,0.05,0.04
355,Bfben,2006 ,2,10.0,6.0,0.05,0.04
356,Bfben,2006 ,3,,,,
357,Bfben,2007 ,1,10.0,6.0,0.05,0.04
358,Bfben,2007 ,2,10.0,6.0,0.05,0.04
359,Bfben,2007 ,3,,,,
