ID,Perioden,NatuurlijkePersonenMetInkomen_1,Totaalinkomen_2,TotaalinkomenPerNatPersMetInkomen_3,Inkomenstrekkers_4,Nominaal_5,NaarKoopkracht1996_6,Vermogenstrekkers_7,Vermogen_8,Nominaal_9,NaarKoopkracht1996_10,Ontvangers_11,Bedrag_12,BedragPerOntvangerNominaal_13,BedragPerOntvangerKoopkracht1980_14,TotaalVerbruik_15,Voeding_16,WoninghuurWaarde_17,WoningOverigeUitgave_18,KledingEnSchoeisel_19,HygieneEnGeneeskundigeVerzorging_20,OntwikkelingEnOntspanning_21,VerkeerEnVervoer_22,OverigVerbruik_23,Koelkast_24,Diepvriezer_25,Magnetronoven_26,Vaatwasmachine_27,Wasmachine_28,Wasdroger_29,ElektrischeNaaimachine_30,Kleurentelevisie_31,Videorecorder_32,Videocamera_33,DiaprojektorFilmprojektor_34,HomeEnOfPersonalComputer_35,TVSpelcomputer_36,BandOfCassetterecorderOfDeck_37,Platenspeler_38,CompactDiscpeler_39,DigitaleAudioTapeDATRecorder_40,DigitaleCompactCassette_41,MiniDiscSpeler_42,Muziekinstrument115_43,Bromfiets_44,MotorScooter_45,Auto_46,TourcaravanVouwwagen_47,Stacaravan_48,TweedeWoningVakantiehuisjeOfBung_49,Surfplank_50,ZeilbootOfMotorboot_51,SolariumZonnebank_52
38,1954JJ00,4208.0,7474.0,1.8,,,,443.0,11570.0,26.1,139.5,89.0,309.0,3.5,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1955JJ00,4280.0,8327.0,2.0,,,,449.0,13629.0,30.3,155.5,91.0,347.0,3.8,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1956JJ00,,,,,,,423.0,14781.0,35.0,175.8,92.0,386.0,4.2,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1957JJ00,4567.0,10167.0,2.2,,,,,,,,66.0,321.0,4.9,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1958JJ00,4607.0,10776.0,2.4,,,,373.0,14834.0,39.8,184.9,55.0,315.0,5.7,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1959JJ00,4689.0,11252.0,2.4,4258.0,2.1,9.9,369.0,16876.0,45.8,210.0,58.0,332.0,5.7,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1960JJ00,4803.0,12563.0,2.6,,,,370.0,19553.0,52.8,239.0,62.0,401.0,6.4,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1961JJ00,,,,,,,383.0,21529.0,56.2,248.8,64.0,453.0,7.0,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1962JJ00,5100.0,14924.0,2.9,4568.0,2.7,11.5,,,,,155.0,622.0,4.0,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1963JJ00,5285.0,16456.0,3.1,,,,410.0,24619.0,60.0,253.1,162.0,737.0,4.5,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1964JJ00,5317.0,19413.0,3.6,4678.0,3.4,13.1,434.0,27731.0,63.8,259.6,164.0,799.0,4.9,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1965JJ00,5658.0,21584.0,3.8,,,,174.0,22890.0,131.8,501.2,164.0,864.0,5.3,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1966JJ00,5776.0,23442.0,4.0,,,,,,,,170.0,914.0,5.4,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1967JJ00,5735.0,25367.0,4.4,4972.0,4.1,14.2,199.0,24664.0,124.1,426.3,161.0,911.0,5.7,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1968JJ00,,,,,,,217.0,28124.0,129.4,431.2,160.0,943.0,5.9,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
