ID,RegioS,Perioden,VarkensrechtenInEenheden_1,VarkensrechtenInFosfaat_2,PluimveerechtenInEenheden_3,PluimveerechtenInFosfaat_4,VleesEnFokvarkens_5,KippenEnKalkoenen_6,Varkens_7,Pluimvee_8
65,LD02  ,2009JJ00,2719.0,20120.0,22257.0,11128.0,2313.0,29949.0,14960.0,9620.0
66,LD02  ,2010JJ00,2793.0,20670.0,22455.0,11228.0,2299.0,31547.0,14490.0,9860.0
67,LD02  ,2011JJ00,2712.0,20067.0,22462.0,11231.0,2285.0,30802.0,13780.0,9760.0
68,LD02  ,2012JJ00,2705.0,20019.0,21896.0,10948.0,2188.0,28927.0,11940.0,8960.0
69,LD02  ,2013JJ00,2720.0,20128.0,21915.0,10958.0,2156.0,30255.0,12060.0,9500.0
70,LD02  ,2014JJ00,2701.0,19986.0,21948.0,10974.0,2108.0,32588.0,11760.0,9740.0
71,LD02  ,2015JJ00,2710.0,20051.0,21989.0,10995.0,2098.0,33018.0,11890.0,9870.0
72,LD02  ,2016JJ00,2704.0,20007.0,22035.0,11018.0,2011.0,32374.0,11340.0,9920.0
73,LD02  ,2017JJ00,2689.0,19898.0,22055.0,11028.0,1989.0,31821.0,10710.0,9550.0
74,LD02  ,2018JJ00,2730.0,20201.0,21770.0,10885.0,1963.0,30920.0,11000.0,9330.0
75,LD02  ,2019JJ00,2690.0,19907.0,21885.0,10942.0,1947.0,29132.0,10620.0,8900.0
76,LD02  ,2020JJ00,2678.0,19815.0,22101.0,11051.0,1852.0,30508.0,10370.0,8550.0
77,LD02  ,2021JJ00,2622.0,19401.0,22308.0,11154.0,1858.0,29386.0,10170.0,8280.0
78,LD02  ,2022JJ00,2616.0,19360.0,22605.0,11303.0,1849.0,29361.0,10300.0,8340.0
79,LD02  ,2023JJ00,2626.0,19435.0,22533.0,11267.0,1783.0,28603.0,9960.0,8360.0
80,LD02  ,2024JJ00,2481.0,18359.0,21844.0,10922.0,1660.0,27630.0,9520.0,7670.0
81,LD03  ,1998JJ00,646.0,4777.0,,,609.0,7027.0,3680.0,1980.0
82,LD03  ,1999JJ00,625.0,4627.0,,,546.0,6912.0,3080.0,2010.0
83,LD03  ,2000JJ00,604.0,4472.0,,,497.0,6589.0,2790.0,1910.0
84,LD03  ,2001JJ00,556.0,4117.0,4661.0,2330.0,459.0,6300.0,2390.0,1630.0
85,LD03  ,2002JJ00,544.0,4029.0,4635.0,2318.0,431.0,6715.0,2310.0,1710.0
86,LD03  ,2003JJ00,537.0,3970.0,4525.0,2263.0,390.0,5436.0,2150.0,1420.0
87,LD03  ,2004JJ00,508.0,3757.0,4326.0,2163.0,361.0,5642.0,1940.0,1490.0
88,LD03  ,2005JJ00,494.0,3658.0,4435.0,2218.0,356.0,6058.0,2110.0,1590.0
89,LD03  ,2006JJ00,478.0,3535.0,4484.0,2242.0,345.0,5950.0,2110.0,1660.0
90,LD03  ,2007JJ00,469.0,3468.0,4397.0,2199.0,343.0,5724.0,2050.0,1580.0
91,LD03  ,2008JJ00,418.0,3091.0,4139.0,2069.0,346.0,5867.0,2110.0,1650.0
92,LD03  ,2009JJ00,403.0,2983.0,4192.0,2096.0,335.0,5255.0,2100.0,1520.0
93,LD03  ,2010JJ00,386.0,2854.0,4309.0,2155.0,317.0,5987.0,1960.0,1710.0
94,LD03  ,2011JJ00,376.0,2784.0,4308.0,2154.0,300.0,5775.0,1790.0,1620.0
95,LD03  ,2012JJ00,388.0,2871.0,4656.0,2328.0,293.0,5830.0,1590.0,1570.0
96,LD03  ,2013JJ00,364.0,2696.0,4680.0,2340.0,291.0,6031.0,1590.0,1680.0
97,LD03  ,2014JJ00,366.0,2707.0,4607.0,2304.0,277.0,6724.0,1500.0,1920.0
98,LD03  ,2015JJ00,358.0,2648.0,4616.0,2308.0,277.0,7143.0,1530.0,1940.0
99,LD03  ,2016JJ00,362.0,2677.0,4601.0,2301.0,276.0,7317.0,1510.0,2000.0
100,LD03  ,2017JJ00,363.0,2689.0,4425.0,2212.0,274.0,7269.0,1460.0,1870.0
101,LD03  ,2018JJ00,357.0,2639.0,4400.0,2200.0,272.0,6686.0,1580.0,1620.0
102,LD03  ,2019JJ00,358.0,2650.0,4258.0,2129.0,262.0,6112.0,1450.0,1530.0
103,LD03  ,2020JJ00,354.0,2619.0,4172.0,2086.0,251.0,5918.0,1470.0,1440.0
104,LD03  ,2021JJ00,346.0,2564.0,4204.0,2102.0,250.0,5723.0,1360.0,1450.0
105,LD03  ,2022JJ00,348.0,2577.0,4129.0,2065.0,253.0,5113.0,1400.0,1330.0
106,LD03  ,2023JJ00,351.0,2595.0,4061.0,2030.0,227.0,5619.0,1350.0,1360.0
107,LD03  ,2024JJ00,357.0,2642.0,4055.0,2028.0,221.0,4665.0,1260.0,1170.0
108,LD04  ,1998JJ00,6017.0,44523.0,,,4151.0,45591.0,27780.0,13580.0
109,LD04  ,1999JJ00,5873.0,43457.0,,,4592.0,47173.0,27880.0,14960.0
110,LD04  ,2000JJ00,5756.0,42595.0,,,4441.0,47431.0,27140.0,14920.0
111,LD04  ,2001JJ00,5306.0,39267.0,33482.0,16741.0,4342.0,45127.0,24340.0,12740.0
112,LD04  ,2002JJ00,5275.0,39036.0,32897.0,16448.0,3883.0,44969.0,22600.0,12290.0
113,LD04  ,2003JJ00,5132.0,37980.0,32046.0,16023.0,3702.0,36899.0,21800.0,8650.0
114,LD04  ,2004JJ00,4840.0,35820.0,29085.0,14543.0,3743.0,37198.0,21130.0,10440.0
115,LD04  ,2005JJ00,4867.0,36018.0,29104.0,14552.0,3823.0,40963.0,23770.0,11840.0
116,LD04  ,2006JJ00,4872.0,36053.0,29240.0,14620.0,3814.0,40604.0,24540.0,11950.0
117,LD04  ,2007JJ00,4912.0,36348.0,29443.0,14722.0,3878.0,40431.0,24470.0,11920.0
118,LD04  ,2008JJ00,5188.0,38392.0,29906.0,14953.0,4038.0,41136.0,26060.0,11990.0
119,LD04  ,2009JJ00,5273.0,39020.0,29698.0,14849.0,4142.0,42493.0,27340.0,12780.0
120,LD04  ,2010JJ00,5387.0,39867.0,29318.0,14659.0,4188.0,44260.0,26920.0,12870.0
121,LD04  ,2011JJ00,5341.0,39523.0,29066.0,14533.0,4253.0,41209.0,26280.0,12020.0
122,LD04  ,2012JJ00,5306.0,39267.0,29010.0,14505.0,4280.0,41182.0,24010.0,11280.0
123,LD04  ,2013JJ00,5322.0,39383.0,28769.0,14384.0,4195.0,42187.0,24180.0,11710.0
124,LD04  ,2014JJ00,5314.0,39321.0,28594.0,14297.0,4170.0,43642.0,23850.0,11690.0
125,LD04  ,2015JJ00,5280.0,39070.0,28345.0,14173.0,4331.0,44930.0,24970.0,12040.0
126,LD04  ,2016JJ00,5258.0,38910.0,28249.0,14124.0,4289.0,45098.0,24610.0,12550.0
127,LD04  ,2017JJ00,5226.0,38672.0,28283.0,14141.0,4243.0,45139.0,23410.0,12250.0
128,LD04  ,2018JJ00,5183.0,38355.0,28386.0,14193.0,4216.0,41410.0,23190.0,10950.0
129,LD04  ,2019JJ00,5196.0,38447.0,28406.0,14203.0,4166.0,39536.0,22820.0,10750.0
130,LD04  ,2020JJ00,5121.0,37895.0,28381.0,14190.0,4022.0,39834.0,22840.0,10240.0
131,LD04  ,2021JJ00,4650.0,34413.0,28371.0,14186.0,3783.0,36870.0,21050.0,9720.0
132,LD04  ,2022JJ00,4591.0,33972.0,28283.0,14141.0,3706.0,37527.0,20840.0,9520.0
133,LD04  ,2023JJ00,4541.0,33603.0,28037.0,14019.0,3520.0,36438.0,20210.0,9490.0
134,LD04  ,2024JJ00,4349.0,32183.0,27004.0,13502.0,3418.0,34272.0,19870.0,8660.0
135,LD99  ,1998JJ00,0.0,0.0,,,0.0,0.0,0.0,0.0
136,LD99  ,1999JJ00,0.0,0.0,,,0.0,0.0,0.0,0.0
137,LD99  ,2000JJ00,0.0,0.0,,,0.0,0.0,0.0,0.0
138,LD99  ,2001JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,LD99  ,2002JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,LD99  ,2003JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,LD99  ,2004JJ00,67.0,493.0,306.0,153.0,0.0,0.0,0.0,0.0
142,LD99  ,2005JJ00,54.0,398.0,191.0,96.0,0.0,0.0,0.0,0.0
143,LD99  ,2006JJ00,54.0,399.0,194.0,97.0,0.0,0.0,0.0,0.0
144,LD99  ,2007JJ00,47.0,345.0,131.0,66.0,0.0,0.0,0.0,0.0
145,LD99  ,2008JJ00,57.0,421.0,122.0,61.0,0.0,0.0,0.0,0.0
146,LD99  ,2009JJ00,59.0,438.0,107.0,54.0,0.0,0.0,0.0,0.0
147,LD99  ,2010JJ00,5.0,39.0,21.0,11.0,0.0,0.0,0.0,0.0
148,LD99  ,2011JJ00,2.0,15.0,11.0,5.0,0.0,0.0,0.0,0.0
149,LD99  ,2012JJ00,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
150,LD99  ,2013JJ00,2.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0
151,LD99  ,2014JJ00,5.0,34.0,95.0,47.0,0.0,0.0,0.0,0.0
152,LD99  ,2015JJ00,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
153,LD99  ,2016JJ00,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
154,LD99  ,2017JJ00,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
155,LD99  ,2018JJ00,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
156,LD99  ,2019JJ00,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
157,LD99  ,2020JJ00,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
158,LD99  ,2021JJ00,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
159,LD99  ,2022JJ00,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
160,LD99  ,2023JJ00,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
161,LD99  ,2024JJ00,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0
162,PV20  ,1998JJ00,146.0,1077.0,,,107.0,4639.0,670.0,1100.0
163,PV20  ,1999JJ00,146.0,1083.0,,,110.0,5601.0,640.0,1480.0
164,PV20  ,2000JJ00,144.0,1063.0,,,101.0,5583.0,590.0,1440.0
165,PV20  ,2001JJ00,137.0,1016.0,3162.0,1581.0,88.0,5599.0,480.0,1240.0
166,PV20  ,2002JJ00,135.0,1001.0,3186.0,1593.0,95.0,5792.0,530.0,1270.0
167,PV20  ,2003JJ00,135.0,1002.0,3170.0,1585.0,95.0,5271.0,530.0,1280.0
168,PV20  ,2004JJ00,133.0,987.0,3330.0,1665.0,98.0,5379.0,530.0,1230.0
169,PV20  ,2005JJ00,134.0,991.0,3180.0,1590.0,94.0,5366.0,540.0,1330.0
170,PV20  ,2006JJ00,131.0,968.0,3260.0,1630.0,96.0,5426.0,570.0,1310.0
171,PV20  ,2007JJ00,141.0,1040.0,3186.0,1593.0,97.0,5814.0,580.0,1370.0
172,PV20  ,2008JJ00,131.0,969.0,3210.0,1605.0,111.0,5987.0,660.0,1400.0
173,PV20  ,2009JJ00,133.0,982.0,3157.0,1579.0,108.0,5303.0,660.0,1290.0
174,PV20  ,2010JJ00,136.0,1007.0,3097.0,1548.0,104.0,5915.0,610.0,1360.0
175,PV20  ,2011JJ00,134.0,988.0,3147.0,1574.0,89.0,5639.0,510.0,1300.0
176,PV20  ,2012JJ00,140.0,1032.0,3237.0,1618.0,100.0,5690.0,510.0,1170.0
177,PV20  ,2013JJ00,133.0,983.0,3287.0,1644.0,106.0,6000.0,550.0,1240.0
178,PV20  ,2014JJ00,137.0,1015.0,3275.0,1637.0,107.0,6013.0,540.0,1230.0
179,PV20  ,2015JJ00,143.0,1061.0,3217.0,1609.0,113.0,6119.0,590.0,1160.0
180,PV20  ,2016JJ00,156.0,1156.0,3159.0,1580.0,110.0,5731.0,570.0,1160.0
181,PV20  ,2017JJ00,160.0,1185.0,3331.0,1665.0,106.0,5907.0,520.0,1190.0
182,PV20  ,2018JJ00,155.0,1149.0,3342.0,1671.0,117.0,5447.0,740.0,1090.0
183,PV20  ,2019JJ00,161.0,1193.0,3321.0,1660.0,123.0,5582.0,690.0,1130.0
184,PV20  ,2020JJ00,182.0,1344.0,3269.0,1634.0,148.0,4731.0,800.0,1030.0
185,PV20  ,2021JJ00,179.0,1328.0,3245.0,1623.0,135.0,4401.0,760.0,1010.0
186,PV20  ,2022JJ00,163.0,1208.0,3243.0,1622.0,117.0,3397.0,710.0,820.0
187,PV20  ,2023JJ00,158.0,1170.0,3286.0,1643.0,128.0,4297.0,600.0,880.0
188,PV20  ,2024JJ00,149.0,1103.0,3041.0,1521.0,114.0,4750.0,550.0,860.0
189,PV21  ,1998JJ00,110.0,815.0,,,81.0,5624.0,550.0,1340.0
190,PV21  ,1999JJ00,105.0,776.0,,,71.0,6696.0,450.0,1730.0
191,PV21  ,2000JJ00,102.0,752.0,,,71.0,6691.0,480.0,1720.0
192,PV21  ,2001JJ00,90.0,665.0,3803.0,1901.0,61.0,6682.0,390.0,1440.0
193,PV21  ,2002JJ00,88.0,653.0,3770.0,1885.0,55.0,7188.0,350.0,1550.0
194,PV21  ,2003JJ00,86.0,636.0,3749.0,1874.0,55.0,6209.0,350.0,1450.0
195,PV21  ,2004JJ00,82.0,609.0,3854.0,1927.0,55.0,6463.0,340.0,1390.0
196,PV21  ,2005JJ00,80.0,593.0,4036.0,2018.0,61.0,6761.0,420.0,1550.0
197,PV21  ,2006JJ00,82.0,609.0,4040.0,2020.0,53.0,7333.0,370.0,1680.0
198,PV21  ,2007JJ00,78.0,575.0,4077.0,2038.0,58.0,7459.0,380.0,1670.0
199,PV21  ,2008JJ00,72.0,532.0,4161.0,2080.0,55.0,7681.0,360.0,1740.0
200,PV21  ,2009JJ00,75.0,552.0,4087.0,2043.0,57.0,8719.0,380.0,1960.0
201,PV21  ,2010JJ00,73.0,538.0,4286.0,2143.0,57.0,7826.0,380.0,1690.0
202,PV21  ,2011JJ00,84.0,618.0,4386.0,2193.0,53.0,8061.0,340.0,1820.0
203,PV21  ,2012JJ00,80.0,590.0,4467.0,2234.0,55.0,8022.0,330.0,1620.0
204,PV21  ,2013JJ00,66.0,486.0,4482.0,2241.0,51.0,7763.0,310.0,1620.0
205,PV21  ,2014JJ00,66.0,492.0,4566.0,2283.0,49.0,7788.0,300.0,1590.0
206,PV21  ,2015JJ00,74.0,549.0,4680.0,2340.0,51.0,8946.0,310.0,1750.0
207,PV21  ,2016JJ00,78.0,577.0,4689.0,2345.0,55.0,8297.0,340.0,1680.0
208,PV21  ,2017JJ00,86.0,639.0,4590.0,2295.0,47.0,8175.0,280.0,1590.0
209,PV21  ,2018JJ00,87.0,646.0,4567.0,2283.0,49.0,6805.0,350.0,1370.0
210,PV21  ,2019JJ00,88.0,650.0,4554.0,2277.0,55.0,7642.0,360.0,1390.0
211,PV21  ,2020JJ00,81.0,600.0,4481.0,2241.0,52.0,7084.0,360.0,1240.0
212,PV21  ,2021JJ00,86.0,639.0,4295.0,2148.0,53.0,6048.0,290.0,1150.0
213,PV21  ,2022JJ00,105.0,778.0,4227.0,2113.0,73.0,5956.0,340.0,1040.0
214,PV21  ,2023JJ00,105.0,776.0,4227.0,2114.0,68.0,5893.0,400.0,1020.0
215,PV21  ,2024JJ00,110.0,814.0,4358.0,2179.0,114.0,4750.0,440.0,1050.0
216,PV22  ,1998JJ00,239.0,1765.0,,,184.0,6262.0,1190.0,1470.0
217,PV22  ,1999JJ00,231.0,1708.0,,,184.0,6797.0,1100.0,1790.0
218,PV22  ,2000JJ00,226.0,1672.0,,,176.0,6721.0,1070.0,1770.0
219,PV22  ,2001JJ00,217.0,1604.0,4015.0,2008.0,165.0,6525.0,940.0,1460.0
220,PV22  ,2002JJ00,218.0,1616.0,3881.0,1941.0,162.0,6953.0,950.0,1580.0
221,PV22  ,2003JJ00,218.0,1610.0,3836.0,1918.0,157.0,5556.0,940.0,1400.0
222,PV22  ,2004JJ00,208.0,1536.0,3769.0,1884.0,162.0,5378.0,930.0,1330.0
223,PV22  ,2005JJ00,201.0,1486.0,3834.0,1917.0,163.0,6550.0,1010.0,1620.0
224,PV22  ,2006JJ00,201.0,1486.0,3846.0,1923.0,163.0,5801.0,1090.0,1480.0
225,PV22  ,2007JJ00,205.0,1520.0,3901.0,1950.0,160.0,6294.0,1050.0,1580.0
226,PV22  ,2008JJ00,188.0,1390.0,3857.0,1928.0,161.0,6161.0,1060.0,1540.0
227,PV22  ,2009JJ00,187.0,1382.0,3906.0,1953.0,163.0,6202.0,1090.0,1580.0
228,PV22  ,2010JJ00,194.0,1435.0,4008.0,2004.0,168.0,6750.0,1090.0,1630.0
229,PV22  ,2011JJ00,178.0,1314.0,3837.0,1919.0,152.0,6423.0,960.0,1540.0
230,PV22  ,2012JJ00,185.0,1367.0,3942.0,1971.0,139.0,6449.0,820.0,1450.0
231,PV22  ,2013JJ00,185.0,1367.0,4029.0,2015.0,139.0,6323.0,860.0,1470.0
232,PV22  ,2014JJ00,182.0,1349.0,4079.0,2040.0,145.0,7078.0,860.0,1570.0
233,PV22  ,2015JJ00,182.0,1345.0,4314.0,2157.0,135.0,7471.0,820.0,1590.0
234,PV22  ,2016JJ00,170.0,1256.0,4428.0,2214.0,143.0,7564.0,830.0,1620.0
235,PV22  ,2017JJ00,175.0,1297.0,4477.0,2238.0,131.0,7545.0,710.0,1540.0
236,PV22  ,2018JJ00,174.0,1290.0,4696.0,2348.0,121.0,7080.0,820.0,1500.0
237,PV22  ,2019JJ00,169.0,1253.0,4737.0,2368.0,112.0,6491.0,840.0,1390.0
238,PV22  ,2020JJ00,170.0,1258.0,4756.0,2378.0,121.0,7644.0,840.0,1550.0
239,PV22  ,2021JJ00,163.0,1205.0,4736.0,2368.0,123.0,7668.0,880.0,1560.0
240,PV22  ,2022JJ00,163.0,1205.0,4552.0,2276.0,116.0,7492.0,830.0,1470.0
241,PV22  ,2023JJ00,152.0,1125.0,4640.0,2320.0,110.0,5954.0,590.0,1260.0
242,PV22  ,2024JJ00,169.0,1251.0,5045.0,2523.0,75.0,6019.0,640.0,1360.0
243,PV23  ,1998JJ00,1434.0,10609.0,,,1255.0,9769.0,7820.0,2660.0
244,PV23  ,1999JJ00,1406.0,10404.0,,,1131.0,10509.0,6630.0,2990.0
245,PV23  ,2000JJ00,1377.0,10190.0,,,1092.0,10276.0,6410.0,2940.0
246,PV23  ,2001JJ00,1275.0,9436.0,7330.0,3665.0,1008.0,10729.0,5470.0,2630.0
247,PV23  ,2002JJ00,1254.0,9277.0,7073.0,3536.0,908.0,10282.0,5180.0,2570.0
248,PV23  ,2003JJ00,1242.0,9189.0,7068.0,3534.0,909.0,9233.0,5260.0,2500.0
249,PV23  ,2004JJ00,1242.0,9188.0,6467.0,3233.0,909.0,8534.0,5060.0,2230.0
250,PV23  ,2005JJ00,1238.0,9163.0,6602.0,3301.0,925.0,9221.0,5640.0,2550.0
251,PV23  ,2006JJ00,1247.0,9228.0,6679.0,3340.0,913.0,9156.0,5800.0,2540.0
252,PV23  ,2007JJ00,1246.0,9221.0,6709.0,3354.0,947.0,9372.0,5890.0,2640.0
253,PV23  ,2008JJ00,1185.0,8769.0,6407.0,3204.0,979.0,10383.0,6200.0,2840.0
254,PV23  ,2009JJ00,1145.0,8476.0,6456.0,3228.0,964.0,10097.0,6290.0,2890.0
255,PV23  ,2010JJ00,1159.0,8575.0,6417.0,3208.0,973.0,10368.0,6170.0,2870.0
256,PV23  ,2011JJ00,1170.0,8659.0,7006.0,3503.0,974.0,10702.0,5920.0,3050.0
257,PV23  ,2012JJ00,1160.0,8581.0,6587.0,3293.0,948.0,9883.0,5240.0,2640.0
258,PV23  ,2013JJ00,1162.0,8601.0,6699.0,3350.0,937.0,10251.0,5330.0,2850.0
259,PV23  ,2014JJ00,1155.0,8549.0,6724.0,3362.0,930.0,11554.0,5240.0,2990.0
260,PV23  ,2015JJ00,1167.0,8635.0,6880.0,3440.0,925.0,11963.0,5300.0,3030.0
261,PV23  ,2016JJ00,1168.0,8642.0,6976.0,3488.0,890.0,11830.0,5100.0,3090.0
262,PV23  ,2017JJ00,1173.0,8680.0,7068.0,3534.0,887.0,11580.0,4800.0,2970.0
263,PV23  ,2018JJ00,1213.0,8979.0,7194.0,3597.0,876.0,11102.0,4770.0,2830.0
264,PV23  ,2019JJ00,1180.0,8732.0,7258.0,3629.0,881.0,10443.0,4700.0,2640.0
