ID,Aardoliegrondstoffen,Perioden,Beginvoorraad_1,Winning_2,RechtstreekseInvoer_3,EntrepotuitslagNaarHetBinnenland_4,RechstreekseUitvoer_5,EntrepotopslagHerkomstNederland_6,Verwerking_7,StatistischVerschil_8,Eindvoorraad_9,Beginvoorraad_10,EntrepotopslagHerkomstBuitenland_11,EntrepotopslagHerkomstNederland_12,Entrepotuitvoer_13,EntrepotuitslagNaarHetBinnenland_14,VerbruikVoorBlending_15,StatistischVerschil_16,Eindvoorraad_17
416,b,2006MM10,3415729.0,66767.0,3760679.0,531995.0,36767.0,0.0,4292481.0,0.0,3445922.0,3850188.0,4125258.0,0.0,3707100.0,531995.0,0.0,0.0,3736351.0
417,b,2006MM11,3445922.0,124819.0,3629385.0,575426.0,39000.0,0.0,4270526.0,0.0,3466026.0,3736351.0,3217605.0,0.0,2557169.0,575426.0,0.0,0.0,3821361.0
418,b,2006MM12,3466026.0,201742.0,3202421.0,698686.0,72398.0,0.0,4367700.0,0.0,3128777.0,3821361.0,4147445.0,0.0,3313214.0,698686.0,0.0,0.0,3956906.0
419,b,2006KW04,3415729.0,393328.0,10592485.0,1806107.0,148165.0,0.0,12930707.0,0.0,3128777.0,3850188.0,11490308.0,0.0,9577483.0,1806107.0,0.0,0.0,3956906.0
420,b,2006HJ02,3454580.0,615480.0,20812729.0,3744568.0,259184.0,0.0,25239396.0,0.0,3128777.0,4034683.0,24331728.0,0.0,20664937.0,3744568.0,0.0,0.0,3956906.0
421,b,2006JJ00,3356658.0,1348192.0,41477942.0,6387071.0,650710.0,0.0,48790376.0,0.0,3128777.0,3065411.0,50673396.0,0.0,43394830.0,6387071.0,0.0,0.0,3956906.0
422,b,2007MM01,3128777.0,200419.0,3183198.0,438812.0,89022.0,0.0,4205628.0,0.0,2656556.0,3956906.0,4272606.0,0.0,3738055.0,438812.0,0.0,0.0,4052645.0
423,b,2007MM02,2656556.0,167038.0,3598505.0,603349.0,49323.0,0.0,3695275.0,0.0,3280850.0,4052645.0,3513470.0,0.0,3606721.0,603349.0,0.0,0.0,3356045.0
424,b,2007MM03,3280850.0,176104.0,3033054.0,654274.0,139602.0,0.0,3733190.0,0.0,3271490.0,3356045.0,4439630.0,0.0,3384086.0,654274.0,0.0,0.0,3757315.0
425,b,2007KW01,3128777.0,543561.0,9814757.0,1696435.0,277947.0,0.0,11634093.0,0.0,3271490.0,3956906.0,12225706.0,0.0,10728862.0,1696435.0,0.0,0.0,3757315.0
426,b,2007MM04,3271490.0,173862.0,3290695.0,924913.0,105197.0,0.0,4109903.0,0.0,3445860.0,3757315.0,3739316.0,0.0,2924864.0,924913.0,0.0,0.0,3646854.0
427,b,2007MM05,3445860.0,186562.0,3533274.0,897087.0,-128179.0,0.0,4389310.0,0.0,3801652.0,3646854.0,4642690.0,0.0,3269814.0,897087.0,0.0,0.0,4122643.0
428,b,2007MM06,3801652.0,186849.0,2500001.0,844796.0,61639.0,0.0,3941146.0,0.0,3330513.0,4122643.0,4250907.0,0.0,3672813.0,844796.0,0.0,0.0,3855941.0
429,b,2007KW02,3271490.0,547273.0,9323970.0,2666796.0,38657.0,0.0,12440359.0,0.0,3330513.0,3757315.0,12632913.0,0.0,9867491.0,2666796.0,0.0,0.0,3855941.0
430,b,2007HJ01,3128777.0,1090834.0,19138727.0,4363231.0,316604.0,0.0,24074452.0,0.0,3330513.0,3956906.0,24858619.0,0.0,20596353.0,4363231.0,0.0,0.0,3855941.0
431,b,2007MM07,3330513.0,147869.0,3491761.0,666867.0,88479.0,0.0,4323310.0,0.0,3225221.0,3855941.0,4386580.0,0.0,3625293.0,666867.0,0.0,0.0,3950361.0
432,b,2007MM08,3225221.0,170942.0,3690342.0,619847.0,70218.0,0.0,4452341.0,0.0,3183793.0,3950361.0,4519237.0,0.0,3925933.0,619847.0,0.0,0.0,3923818.0
