ID,Energiedragers,Perioden,EnergieverbruikInDeSectorNijverheid_1
115,2 ,2000KW01,22.0
116,2 ,2000KW02,20.0
117,2 ,2000KW03,22.0
118,2 ,2000KW04,20.0
119,2 ,2000JJ00,83.0
120,2 ,2001KW01,20.0
121,2 ,2001KW02,21.0
122,2 ,2001KW03,23.0
123,2 ,2001KW04,24.0
124,2 ,2001JJ00,88.0
125,2 ,2002KW01,23.0
126,2 ,2002KW02,18.0
127,2 ,2002KW03,24.0
128,2 ,2002KW04,23.0
129,2 ,2002JJ00,89.0
130,2 ,2003KW01,21.0
131,2 ,2003KW02,23.0
132,2 ,2003KW03,24.0
133,2 ,2003KW04,25.0
134,2 ,2003JJ00,94.0
135,2 ,2004KW01,23.0
136,2 ,2004KW02,24.0
137,2 ,2004KW03,25.0
138,2 ,2004KW04,25.0
139,2 ,2004JJ00,96.0
140,2 ,2005KW01,25.0
141,2 ,2005KW02,22.0
142,2 ,2005KW03,23.0
143,2 ,2005KW04,25.0
144,2 ,2005JJ00,95.0
145,2 ,2006KW01,24.0
146,2 ,2006KW02,26.0
147,2 ,2006KW03,21.0
148,2 ,2006KW04,16.0
149,2 ,2006JJ00,86.0
150,2 ,2007KW01,23.0
151,2 ,2007KW02,25.0
152,2 ,2007KW03,26.0
153,2 ,2007KW04,26.0
154,2 ,2007JJ00,100.0
155,2 ,2008KW01,24.0
156,2 ,2008KW02,25.0
157,2 ,2008KW03,25.0
158,2 ,2008KW04,21.0
159,2 ,2008JJ00,94.0
160,2 ,2009KW01,15.0
161,2 ,2009KW02,13.0
162,2 ,2009KW03,22.0
163,2 ,2009KW04,24.0
164,2 ,2009JJ00,74.0
165,2 ,2010KW01,21.0
166,2 ,2010KW02,20.0
167,2 ,2010KW03,22.0
168,2 ,2010KW04,21.0
169,2 ,2010JJ00,84.0
170,2 ,2011JJ00,90.0
171,2 ,2012JJ00,93.0
172,3 ,1975JJ00,4.0
173,3 ,1976JJ00,5.0
174,3 ,1977JJ00,5.0
175,3 ,1978JJ00,5.0
176,3 ,1979JJ00,5.0
177,3 ,1980JJ00,6.0
178,3 ,1981JJ00,5.0
179,3 ,1982JJ00,12.0
180,3 ,1983JJ00,11.0
181,3 ,1984JJ00,22.0
182,3 ,1985JJ00,22.0
183,3 ,1986JJ00,21.0
184,3 ,1987JJ00,29.0
185,3 ,1988JJ00,30.0
186,3 ,1989JJ00,33.0
187,3 ,1990JJ00,35.0
188,3 ,1991JJ00,31.0
189,3 ,1992JJ00,35.0
190,3 ,1993JJ00,37.0
191,3 ,1994JJ00,28.0
192,3 ,1995JJ00,27.0
193,3 ,1996JJ00,31.0
194,3 ,1997JJ00,38.0
195,3 ,1998JJ00,38.0
196,3 ,1999KW01,9.0
197,3 ,1999KW02,9.0
198,3 ,1999KW03,10.0
199,3 ,1999KW04,9.0
200,3 ,1999JJ00,37.0
201,3 ,2000KW01,9.0
202,3 ,2000KW02,8.0
203,3 ,2000KW03,9.0
204,3 ,2000KW04,7.0
205,3 ,2000JJ00,33.0
206,3 ,2001KW01,8.0
207,3 ,2001KW02,10.0
208,3 ,2001KW03,10.0
209,3 ,2001KW04,9.0
210,3 ,2001JJ00,37.0
211,3 ,2002KW01,10.0
212,3 ,2002KW02,7.0
213,3 ,2002KW03,11.0
214,3 ,2002KW04,10.0
215,3 ,2002JJ00,38.0
216,3 ,2003KW01,9.0
217,3 ,2003KW02,10.0
218,3 ,2003KW03,10.0
219,3 ,2003KW04,11.0
220,3 ,2003JJ00,40.0
221,3 ,2004KW01,10.0
222,3 ,2004KW02,11.0
223,3 ,2004KW03,11.0
224,3 ,2004KW04,11.0
225,3 ,2004JJ00,43.0
226,3 ,2005KW01,12.0
227,3 ,2005KW02,10.0
228,3 ,2005KW03,11.0
229,3 ,2005KW04,12.0
230,3 ,2005JJ00,45.0
231,3 ,2006KW01,11.0
232,3 ,2006KW02,12.0
233,3 ,2006KW03,10.0
234,3 ,2006KW04,7.0
235,3 ,2006JJ00,39.0
236,3 ,2007KW01,11.0
237,3 ,2007KW02,12.0
238,3 ,2007KW03,12.0
239,3 ,2007KW04,13.0
240,3 ,2007JJ00,48.0
241,3 ,2008KW01,11.0
242,3 ,2008KW02,12.0
243,3 ,2008KW03,10.0
244,3 ,2008KW04,6.0
245,3 ,2008JJ00,40.0
246,3 ,2009KW01,6.0
247,3 ,2009KW02,5.0
248,3 ,2009KW03,9.0
249,3 ,2009KW04,9.0
250,3 ,2009JJ00,29.0
251,3 ,2010KW01,7.0
252,3 ,2010KW02,8.0
253,3 ,2010KW03,9.0
254,3 ,2010KW04,8.0
255,3 ,2010JJ00,31.0
256,3 ,2011JJ00,38.0
257,3 ,2012JJ00,43.0
258,4 ,1975JJ00,61.0
259,4 ,1976JJ00,62.0
260,4 ,1977JJ00,59.0
261,4 ,1978JJ00,65.0
262,4 ,1979JJ00,73.0
263,4 ,1980JJ00,68.0
264,4 ,1981JJ00,75.0
265,4 ,1982JJ00,59.0
266,4 ,1983JJ00,60.0
267,4 ,1984JJ00,71.0
268,4 ,1985JJ00,71.0
269,4 ,1986JJ00,68.0
270,4 ,1987JJ00,62.0
271,4 ,1988JJ00,66.0
272,4 ,1989JJ00,63.0
273,4 ,1990JJ00,61.0
274,4 ,1991JJ00,58.0
275,4 ,1992JJ00,54.0
276,4 ,1993JJ00,57.0
277,4 ,1994JJ00,58.0
278,4 ,1995JJ00,68.0
279,4 ,1996JJ00,64.0
280,4 ,1997JJ00,61.0
281,4 ,1998JJ00,56.0
282,4 ,1999KW01,13.0
283,4 ,1999KW02,13.0
284,4 ,1999KW03,13.0
285,4 ,1999KW04,13.0
286,4 ,1999JJ00,51.0
287,4 ,2000KW01,13.0
288,4 ,2000KW02,12.0
289,4 ,2000KW03,13.0
290,4 ,2000KW04,13.0
291,4 ,2000JJ00,51.0
292,4 ,2001KW01,12.0
293,4 ,2001KW02,12.0
294,4 ,2001KW03,13.0
295,4 ,2001KW04,14.0
296,4 ,2001JJ00,51.0
297,4 ,2002KW01,13.0
298,4 ,2002KW02,11.0
299,4 ,2002KW03,14.0
300,4 ,2002KW04,13.0
301,4 ,2002JJ00,52.0
302,4 ,2003KW01,13.0
303,4 ,2003KW02,13.0
304,4 ,2003KW03,14.0
305,4 ,2003KW04,14.0
306,4 ,2003JJ00,54.0
307,4 ,2004KW01,13.0
308,4 ,2004KW02,13.0
309,4 ,2004KW03,14.0
310,4 ,2004KW04,14.0
311,4 ,2004JJ00,53.0
312,4 ,2005KW01,13.0
313,4 ,2005KW02,12.0
314,4 ,2005KW03,12.0
315,4 ,2005KW04,13.0
316,4 ,2005JJ00,50.0
317,4 ,2006KW01,12.0
318,4 ,2006KW02,14.0
319,4 ,2006KW03,11.0
320,4 ,2006KW04,9.0
321,4 ,2006JJ00,47.0
322,4 ,2007KW01,12.0
323,4 ,2007KW02,13.0
324,4 ,2007KW03,13.0
325,4 ,2007KW04,14.0
326,4 ,2007JJ00,52.0
327,4 ,2008KW01,12.0
328,4 ,2008KW02,13.0
329,4 ,2008KW03,15.0
330,4 ,2008KW04,14.0
331,4 ,2008JJ00,54.0
332,4 ,2009KW01,10.0
333,4 ,2009KW02,9.0
334,4 ,2009KW03,13.0
335,4 ,2009KW04,15.0
336,4 ,2009JJ00,46.0
337,4 ,2010KW01,14.0
338,4 ,2010KW02,13.0
339,4 ,2010KW03,13.0
340,4 ,2010KW04,13.0
341,4 ,2010JJ00,53.0
342,4 ,2011JJ00,51.0
343,4 ,2012JJ00,49.0
344,5 ,1975JJ00,338.0
345,5 ,1976JJ00,413.0
346,5 ,1977JJ00,377.0
347,5 ,1978JJ00,419.0
348,5 ,1979JJ00,447.0
349,5 ,1980JJ00,375.0
350,5 ,1981JJ00,304.0
351,5 ,1982JJ00,246.0
352,5 ,1983JJ00,273.0
353,5 ,1984JJ00,273.0
354,5 ,1985JJ00,272.0
355,5 ,1986JJ00,321.0
356,5 ,1987JJ00,320.0
357,5 ,1988JJ00,349.0
358,5 ,1989JJ00,318.0
359,5 ,1990JJ00,336.0
360,5 ,1991JJ00,340.0
361,5 ,1992JJ00,348.0
362,5 ,1993JJ00,293.0
363,5 ,1994JJ00,304.0
364,5 ,1995JJ00,341.0
365,5 ,1996JJ00,313.0
366,5 ,1997JJ00,325.0
367,5 ,1998JJ00,319.0
368,5 ,1999KW01,83.0
369,5 ,1999KW02,91.0
370,5 ,1999KW03,86.0
371,5 ,1999KW04,98.0
372,5 ,1999JJ00,358.0
373,5 ,2000KW01,90.0
374,5 ,2000KW02,94.0
375,5 ,2000KW03,102.0
376,5 ,2000KW04,100.0
377,5 ,2000JJ00,386.0
378,5 ,2001KW01,102.0
379,5 ,2001KW02,98.0
380,5 ,2001KW03,105.0
381,5 ,2001KW04,99.0
382,5 ,2001JJ00,403.0
383,5 ,2002KW01,105.0
384,5 ,2002KW02,102.0
385,5 ,2002KW03,99.0
386,5 ,2002KW04,114.0
387,5 ,2002JJ00,420.0
388,5 ,2003KW01,107.0
389,5 ,2003KW02,113.0
390,5 ,2003KW03,118.0
391,5 ,2003KW04,126.0
392,5 ,2003JJ00,463.0
393,5 ,2004KW01,132.0
394,5 ,2004KW02,124.0
395,5 ,2004KW03,126.0
396,5 ,2004KW04,107.0
397,5 ,2004JJ00,489.0
398,5 ,2005KW01,140.0
399,5 ,2005KW02,138.0
400,5 ,2005KW03,129.0
401,5 ,2005KW04,133.0
402,5 ,2005JJ00,540.0
403,5 ,2006KW01,134.0
404,5 ,2006KW02,121.0
405,5 ,2006KW03,135.0
406,5 ,2006KW04,136.0
407,5 ,2006JJ00,525.0
408,5 ,2007KW01,143.0
409,5 ,2007KW02,157.0
410,5 ,2007KW03,169.0
411,5 ,2007KW04,176.0
412,5 ,2007JJ00,645.0
413,5 ,2008KW01,163.0
414,5 ,2008KW02,144.0
415,5 ,2008KW03,160.0
416,5 ,2008KW04,126.0
417,5 ,2008JJ00,593.0
418,5 ,2009KW01,143.0
419,5 ,2009KW02,143.0
420,5 ,2009KW03,154.0
421,5 ,2009KW04,154.0
422,5 ,2009JJ00,594.0
423,5 ,2010KW01,163.0
424,5 ,2010KW02,169.0
425,5 ,2010KW03,162.0
426,5 ,2010KW04,169.0
427,5 ,2010JJ00,664.0
428,5 ,2011JJ00,596.0
429,5 ,2012JJ00,632.0
430,6 ,1975JJ00,0.0
431,6 ,1976JJ00,0.0
432,6 ,1977JJ00,0.0
433,6 ,1978JJ00,0.0
434,6 ,1979JJ00,0.0
435,6 ,1980JJ00,0.0
436,6 ,1981JJ00,0.0
437,6 ,1982JJ00,1.0
438,6 ,1983JJ00,4.0
439,6 ,1984JJ00,61.0
440,6 ,1985JJ00,80.0
441,6 ,1986JJ00,98.0
442,6 ,1987JJ00,106.0
443,6 ,1988JJ00,115.0
444,6 ,1989JJ00,115.0
445,6 ,1990JJ00,141.0
446,6 ,1991JJ00,141.0
447,6 ,1992JJ00,126.0
448,6 ,1993JJ00,158.0
449,6 ,1994JJ00,160.0
450,6 ,1995JJ00,156.0
451,6 ,1996JJ00,143.0
452,6 ,1997JJ00,142.0
453,6 ,1998JJ00,133.0
454,6 ,1999KW01,37.0
455,6 ,1999KW02,41.0
456,6 ,1999KW03,40.0
457,6 ,1999KW04,37.0
458,6 ,1999JJ00,155.0
459,6 ,2000KW01,48.0
460,6 ,2000KW02,37.0
461,6 ,2000KW03,46.0
462,6 ,2000KW04,43.0
463,6 ,2000JJ00,172.0
464,6 ,2001KW01,44.0
465,6 ,2001KW02,48.0
466,6 ,2001KW03,52.0
467,6 ,2001KW04,41.0
468,6 ,2001JJ00,185.0
469,6 ,2002KW01,63.0
470,6 ,2002KW02,53.0
471,6 ,2002KW03,58.0
472,6 ,2002KW04,53.0
473,6 ,2002JJ00,226.0
474,6 ,2003KW01,45.0
475,6 ,2003KW02,41.0
476,6 ,2003KW03,49.0
477,6 ,2003KW04,54.0
478,6 ,2003JJ00,188.0
479,6 ,2004KW01,48.0
480,6 ,2004KW02,51.0
481,6 ,2004KW03,54.0
482,6 ,2004KW04,52.0
483,6 ,2004JJ00,205.0
484,6 ,2005KW01,49.0
485,6 ,2005KW02,55.0
486,6 ,2005KW03,52.0
487,6 ,2005KW04,56.0
488,6 ,2005JJ00,212.0
489,6 ,2006KW01,62.0
490,6 ,2006KW02,58.0
491,6 ,2006KW03,55.0
492,6 ,2006KW04,68.0
493,6 ,2006JJ00,244.0
494,6 ,2007KW01,54.0
495,6 ,2007KW02,46.0
496,6 ,2007KW03,48.0
497,6 ,2007KW04,54.0
498,6 ,2007JJ00,203.0
499,6 ,2008KW01,60.0
500,6 ,2008KW02,50.0
501,6 ,2008KW03,48.0
502,6 ,2008KW04,38.0
503,6 ,2008JJ00,196.0
504,6 ,2009KW01,42.0
505,6 ,2009KW02,40.0
506,6 ,2009KW03,48.0
507,6 ,2009KW04,55.0
508,6 ,2009JJ00,185.0
509,6 ,2010KW01,52.0
510,6 ,2010KW02,46.0
511,6 ,2010KW03,41.0
512,6 ,2010KW04,51.0
513,6 ,2010JJ00,191.0
514,6 ,2011JJ00,190.0
515,6 ,2012JJ00,161.0
516,7 ,1975JJ00,338.0
517,7 ,1976JJ00,413.0
518,7 ,1977JJ00,377.0
519,7 ,1978JJ00,419.0
520,7 ,1979JJ00,447.0
521,7 ,1980JJ00,375.0
522,7 ,1981JJ00,304.0
523,7 ,1982JJ00,245.0
524,7 ,1983JJ00,268.0
525,7 ,1984JJ00,212.0
526,7 ,1985JJ00,192.0
527,7 ,1986JJ00,222.0
528,7 ,1987JJ00,214.0
529,7 ,1988JJ00,234.0
530,7 ,1989JJ00,202.0
531,7 ,1990JJ00,195.0
532,7 ,1991JJ00,199.0
533,7 ,1992JJ00,222.0
534,7 ,1993JJ00,135.0
535,7 ,1994JJ00,143.0
536,7 ,1995JJ00,185.0
537,7 ,1996JJ00,170.0
538,7 ,1997JJ00,182.0
539,7 ,1998JJ00,185.0
540,7 ,1999KW01,46.0
541,7 ,1999KW02,50.0
542,7 ,1999KW03,47.0
543,7 ,1999KW04,60.0
544,7 ,1999JJ00,203.0
545,7 ,2000KW01,43.0
546,7 ,2000KW02,57.0
547,7 ,2000KW03,57.0
548,7 ,2000KW04,57.0
549,7 ,2000JJ00,214.0
550,7 ,2001KW01,58.0
551,7 ,2001KW02,50.0
552,7 ,2001KW03,53.0
553,7 ,2001KW04,57.0
554,7 ,2001JJ00,219.0
555,7 ,2002KW01,42.0
556,7 ,2002KW02,48.0
557,7 ,2002KW03,41.0
558,7 ,2002KW04,62.0
559,7 ,2002JJ00,193.0
560,7 ,2003KW01,62.0
561,7 ,2003KW02,72.0
562,7 ,2003KW03,69.0
563,7 ,2003KW04,72.0
564,7 ,2003JJ00,274.0
565,7 ,2004KW01,84.0
566,7 ,2004KW02,74.0
567,7 ,2004KW03,72.0
568,7 ,2004KW04,55.0
569,7 ,2004JJ00,284.0
570,7 ,2005KW01,90.0
571,7 ,2005KW02,82.0
572,7 ,2005KW03,77.0
573,7 ,2005KW04,77.0
574,7 ,2005JJ00,327.0
575,7 ,2006KW01,72.0
576,7 ,2006KW02,62.0
577,7 ,2006KW03,79.0
578,7 ,2006KW04,67.0
579,7 ,2006JJ00,281.0
580,7 ,2007KW01,89.0
581,7 ,2007KW02,111.0
582,7 ,2007KW03,121.0
583,7 ,2007KW04,122.0
584,7 ,2007JJ00,443.0
585,7 ,2008KW01,103.0
586,7 ,2008KW02,94.0
587,7 ,2008KW03,111.0
588,7 ,2008KW04,88.0
589,7 ,2008JJ00,397.0
590,7 ,2009KW01,100.0
591,7 ,2009KW02,103.0
592,7 ,2009KW03,107.0
593,7 ,2009KW04,99.0
594,7 ,2009JJ00,410.0
595,7 ,2010KW01,111.0
596,7 ,2010KW02,123.0
597,7 ,2010KW03,121.0
598,7 ,2010KW04,119.0
599,7 ,2010JJ00,473.0
600,7 ,2011JJ00,406.0
601,7 ,2012JJ00,471.0
602,8 ,1975JJ00,385.0
603,8 ,1976JJ00,390.0
604,8 ,1977JJ00,427.0
605,8 ,1978JJ00,425.0
606,8 ,1979JJ00,445.0
607,8 ,1980JJ00,403.0
608,8 ,1981JJ00,402.0
609,8 ,1982JJ00,366.0
610,8 ,1983JJ00,371.0
611,8 ,1984JJ00,400.0
612,8 ,1985JJ00,405.0
613,8 ,1986JJ00,384.0
614,8 ,1987JJ00,426.0
615,8 ,1988JJ00,418.0
616,8 ,1989JJ00,418.0
617,8 ,1990JJ00,438.0
618,8 ,1991JJ00,450.0
619,8 ,1992JJ00,446.0
620,8 ,1993JJ00,422.0
621,8 ,1994JJ00,426.0
622,8 ,1995JJ00,418.0
623,8 ,1996JJ00,421.0
624,8 ,1997JJ00,418.0
625,8 ,1998JJ00,413.0
626,8 ,1999KW01,108.0
627,8 ,1999KW02,97.0
628,8 ,1999KW03,91.0
629,8 ,1999KW04,111.0
630,8 ,1999JJ00,407.0
631,8 ,2000KW01,112.0
632,8 ,2000KW02,101.0
633,8 ,2000KW03,94.0
634,8 ,2000KW04,108.0
635,8 ,2000JJ00,415.0
636,8 ,2001KW01,105.0
637,8 ,2001KW02,94.0
638,8 ,2001KW03,87.0
639,8 ,2001KW04,101.0
640,8 ,2001JJ00,387.0
641,8 ,2002KW01,97.0
642,8 ,2002KW02,92.0
643,8 ,2002KW03,88.0
644,8 ,2002KW04,104.0
645,8 ,2002JJ00,380.0
646,8 ,2003KW01,99.0
647,8 ,2003KW02,86.0
648,8 ,2003KW03,85.0
649,8 ,2003KW04,101.0
650,8 ,2003JJ00,371.0
651,8 ,2004KW01,98.0
652,8 ,2004KW02,85.0
653,8 ,2004KW03,85.0
654,8 ,2004KW04,101.0
655,8 ,2004JJ00,369.0
656,8 ,2005KW01,101.0
657,8 ,2005KW02,90.0
658,8 ,2005KW03,87.0
659,8 ,2005KW04,96.0
660,8 ,2005JJ00,375.0
661,8 ,2006KW01,95.0
662,8 ,2006KW02,83.0
663,8 ,2006KW03,76.0
664,8 ,2006KW04,92.0
665,8 ,2006JJ00,346.0
666,8 ,2007KW01,88.0
667,8 ,2007KW02,82.0
668,8 ,2007KW03,80.0
669,8 ,2007KW04,91.0
670,8 ,2007JJ00,340.0
671,8 ,2008KW01,92.0
672,8 ,2008KW02,78.0
673,8 ,2008KW03,74.0
674,8 ,2008KW04,82.0
675,8 ,2008JJ00,326.0
676,8 ,2009KW01,75.0
677,8 ,2009KW02,70.0
678,8 ,2009KW03,74.0
679,8 ,2009KW04,85.0
680,8 ,2009JJ00,304.0
681,8 ,2010KW01,91.0
682,8 ,2010KW02,79.0
683,8 ,2010KW03,77.0
684,8 ,2010KW04,92.0
685,8 ,2010JJ00,339.0
686,8 ,2011JJ00,323.0
687,8 ,2012JJ00,319.0
688,9 ,1975JJ00,
689,9 ,1976JJ00,
690,9 ,1977JJ00,
691,9 ,1978JJ00,
692,9 ,1979JJ00,
693,9 ,1980JJ00,
694,9 ,1981JJ00,
695,9 ,1982JJ00,
696,9 ,1983JJ00,
697,9 ,1984JJ00,
698,9 ,1985JJ00,
699,9 ,1986JJ00,
700,9 ,1987JJ00,
701,9 ,1988JJ00,
702,9 ,1989JJ00,
703,9 ,1990JJ00,
704,9 ,1991JJ00,
705,9 ,1992JJ00,
706,9 ,1993JJ00,
707,9 ,1994JJ00,
708,9 ,1995JJ00,4.0
709,9 ,1996JJ00,4.0
710,9 ,1997JJ00,4.0
711,9 ,1998JJ00,4.0
712,9 ,1999KW01,1.0
713,9 ,1999KW02,1.0
714,9 ,1999KW03,1.0
715,9 ,1999KW04,1.0
716,9 ,1999JJ00,4.0
717,9 ,2000KW01,1.0
718,9 ,2000KW02,1.0
719,9 ,2000KW03,1.0
720,9 ,2000KW04,1.0
721,9 ,2000JJ00,4.0
722,9 ,2001KW01,1.0
723,9 ,2001KW02,1.0
724,9 ,2001KW03,1.0
725,9 ,2001KW04,1.0
726,9 ,2001JJ00,4.0
727,9 ,2002KW01,1.0
728,9 ,2002KW02,1.0
729,9 ,2002KW03,1.0
730,9 ,2002KW04,1.0
731,9 ,2002JJ00,4.0
732,9 ,2003KW01,1.0
733,9 ,2003KW02,1.0
734,9 ,2003KW03,1.0
735,9 ,2003KW04,1.0
736,9 ,2003JJ00,4.0
737,9 ,2004KW01,1.0
738,9 ,2004KW02,1.0
739,9 ,2004KW03,1.0
740,9 ,2004KW04,2.0
741,9 ,2004JJ00,5.0
742,9 ,2005KW01,1.0
743,9 ,2005KW02,1.0
744,9 ,2005KW03,1.0
745,9 ,2005KW04,1.0
746,9 ,2005JJ00,5.0
747,9 ,2006KW01,2.0
748,9 ,2006KW02,1.0
749,9 ,2006KW03,1.0
750,9 ,2006KW04,2.0
751,9 ,2006JJ00,6.0
752,9 ,2007KW01,2.0
753,9 ,2007KW02,1.0
754,9 ,2007KW03,1.0
755,9 ,2007KW04,2.0
756,9 ,2007JJ00,6.0
757,9 ,2008KW01,2.0
758,9 ,2008KW02,1.0
759,9 ,2008KW03,2.0
760,9 ,2008KW04,2.0
761,9 ,2008JJ00,6.0
762,9 ,2009KW01,2.0
763,9 ,2009KW02,1.0
764,9 ,2009KW03,1.0
765,9 ,2009KW04,2.0
766,9 ,2009JJ00,6.0
767,9 ,2010KW01,2.0
768,9 ,2010KW02,1.0
769,9 ,2010KW03,1.0
770,9 ,2010KW04,2.0
771,9 ,2010JJ00,5.0
772,9 ,2011JJ00,5.0
773,9 ,2012JJ00,5.0
774,10,1975JJ00,
775,10,1976JJ00,
776,10,1977JJ00,
777,10,1978JJ00,
778,10,1979JJ00,
779,10,1980JJ00,
780,10,1981JJ00,
781,10,1982JJ00,
782,10,1983JJ00,
783,10,1984JJ00,
784,10,1985JJ00,
785,10,1986JJ00,
786,10,1987JJ00,
787,10,1988JJ00,
788,10,1989JJ00,
789,10,1990JJ00,
790,10,1991JJ00,
791,10,1992JJ00,
792,10,1993JJ00,
793,10,1994JJ00,
794,10,1995JJ00,7.0
795,10,1996JJ00,7.0
796,10,1997JJ00,8.0
797,10,1998JJ00,8.0
798,10,1999KW01,2.0
799,10,1999KW02,2.0
800,10,1999KW03,1.0
801,10,1999KW04,2.0
802,10,1999JJ00,7.0
803,10,2000KW01,2.0
804,10,2000KW02,2.0
805,10,2000KW03,1.0
806,10,2000KW04,1.0
807,10,2000JJ00,5.0
808,10,2001KW01,1.0
809,10,2001KW02,2.0
810,10,2001KW03,1.0
811,10,2001KW04,1.0
812,10,2001JJ00,5.0
813,10,2002KW01,2.0
814,10,2002KW02,1.0
815,10,2002KW03,2.0
816,10,2002KW04,2.0
817,10,2002JJ00,6.0
818,10,2003KW01,2.0
819,10,2003KW02,2.0
820,10,2003KW03,1.0
821,10,2003KW04,1.0
822,10,2003JJ00,6.0
823,10,2004KW01,1.0
824,10,2004KW02,1.0
825,10,2004KW03,1.0
826,10,2004KW04,2.0
827,10,2004JJ00,6.0
828,10,2005KW01,2.0
829,10,2005KW02,2.0
830,10,2005KW03,2.0
831,10,2005KW04,1.0
832,10,2005JJ00,6.0
833,10,2006KW01,2.0
834,10,2006KW02,1.0
835,10,2006KW03,1.0
836,10,2006KW04,1.0
837,10,2006JJ00,5.0
838,10,2007KW01,1.0
839,10,2007KW02,2.0
840,10,2007KW03,1.0
841,10,2007KW04,1.0
842,10,2007JJ00,6.0
843,10,2008KW01,1.0
844,10,2008KW02,1.0
845,10,2008KW03,1.0
846,10,2008KW04,1.0
847,10,2008JJ00,6.0
848,10,2009KW01,1.0
849,10,2009KW02,1.0
850,10,2009KW03,1.0
851,10,2009KW04,1.0
852,10,2009JJ00,5.0
853,10,2010KW01,1.0
854,10,2010KW02,1.0
855,10,2010KW03,1.0
856,10,2010KW04,1.0
857,10,2010JJ00,5.0
858,10,2011JJ00,5.0
859,10,2012JJ00,5.0
860,11,1975JJ00,66.0
861,11,1976JJ00,70.0
862,11,1977JJ00,77.0
