ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
190,A052788,A019151,2023JJ00,1552.0
191,A052788,A019151,2024JJ00,1733.0
192,A052788,A019152,2021JJ00,3158.0
193,A052788,A019152,2022JJ00,3359.0
194,A052788,A019152,2023JJ00,3718.0
195,A052788,A019152,2024JJ00,4140.0
196,A052788,A019154,2021JJ00,459.0
197,A052788,A019154,2022JJ00,438.0
198,A052788,A019154,2023JJ00,436.0
199,A052788,A019154,2024JJ00,494.0
200,A052788,A019155,2021JJ00,
201,A052788,A019155,2022JJ00,
202,A052788,A019155,2023JJ00,
203,A052788,A019155,2024JJ00,
204,A052788,A019156,2021JJ00,2699.0
205,A052788,A019156,2022JJ00,2921.0
206,A052788,A019156,2023JJ00,3282.0
207,A052788,A019156,2024JJ00,3646.0
208,A052788,A041720,2021JJ00,149.0
209,A052788,A041720,2022JJ00,187.0
210,A052788,A041720,2023JJ00,193.0
211,A052788,A041720,2024JJ00,197.0
212,A052788,A019157,2021JJ00,0.0
213,A052788,A019157,2022JJ00,0.0
214,A052788,A019157,2023JJ00,0.0
215,A052788,A019157,2024JJ00,0.0
216,A052788,A019158,2021JJ00,0.0
217,A052788,A019158,2022JJ00,0.0
218,A052788,A019158,2023JJ00,0.0
219,A052788,A019158,2024JJ00,0.0
220,A052788,A019161,2021JJ00,0.0
221,A052788,A019161,2022JJ00,0.0
222,A052788,A019161,2023JJ00,0.0
223,A052788,A019161,2024JJ00,0.0
224,A052788,A019162,2021JJ00,0.0
225,A052788,A019162,2022JJ00,0.0
226,A052788,A019162,2023JJ00,0.0
227,A052788,A019162,2024JJ00,0.0
228,A052788,A019163,2021JJ00,149.0
229,A052788,A019163,2022JJ00,187.0
230,A052788,A019163,2023JJ00,193.0
231,A052788,A019163,2024JJ00,197.0
232,A052788,A019164,2021JJ00,0.0
233,A052788,A019164,2022JJ00,0.0
234,A052788,A019164,2023JJ00,0.0
235,A052788,A019164,2024JJ00,0.0
236,A052788,A019165,2021JJ00,149.0
237,A052788,A019165,2022JJ00,187.0
238,A052788,A019165,2023JJ00,193.0
239,A052788,A019165,2024JJ00,197.0
240,A052789,A019149,2021JJ00,1418.0
241,A052789,A019149,2022JJ00,1454.0
